GEOID,HEROP_ID,SmokeP
01,040US01,0.162
02,040US02,0.162
04,040US04,0.131
05,040US05,0.199
06,040US06,0.099
08,040US08,0.109
09,040US09,0.103
10,040US10,0.138
11,040US11,0.114
12,040US12,0.12
13,040US13,0.128
15,040US15,0.105
16,040US16,0.124
17,040US17,0.128
18,040US18,0.169
19,040US19,0.155
20,040US20,0.151
21,040US21,0.176
22,040US22,0.171
23,040US23,0.16
24,040US24,0.098
25,040US25,0.107
26,040US26,0.16
27,040US27,0.134
28,040US28,0.181
29,040US29,0.178
30,040US30,0.16
31,040US31,0.136
32,040US32,0.149
33,040US33,0.115
34,040US34,0.107
35,040US35,0.155
36,040US36,0.115
37,040US37,0.149
38,040US38,0.158
39,040US39,0.177
40,040US40,0.16
41,040US41,0.128
42,040US42,0.156
44,040US44,0.123
45,040US45,0.162
46,040US46,0.146
47,040US47,0.192
48,040US48,0.12
49,040US49,0.069
50,040US50,0.137
51,040US51,0.123
53,040US53,0.101
54,040US54,0.223
55,040US55,0.15
56,040US56,0.159
