theme,construct,proxy,metadata,url
Geography,Geographic Characteristics,Park Area,Park_Cover,https://github.com/healthyregions/oeps/blob/main/metadata/Park_Cover.md
Geography,Geographic Boundaries,"HEROP_ID, GEOID, and Census Flags",Geographic_Boundaries,https://github.com/healthyregions/oeps/blob/main/metadata/GeographicBoundaries.md
Social,Marital Status,"Percent males aged 15 or older who are married, never married, separated, divorced, or widowed",Marital_Status,https://github.com/healthyregions/oeps/blob/main/metadata/Marital_Status.md
Social,Residential Segregation Measures,"Dissimilarity, Interaction, and Isolation Indices for Black, Asian, & Hispanic Groups",Residential_Segregation,https://github.com/healthyregions/oeps/blob/main/metadata/Residential_Segregation.md
Social,Household Characteristics,"	Total Population in Households, % Nonrelatives in Family Households, % Nonrelatives in Non-family Households, % Males 15 years and over who are divorced, Average family size, etc.",HouseholdType,https://github.com/healthyregions/oeps/blob/main/metadata/HouseholdType.md
Social,Race & Ethnicity,Population percentages by race and ethnicity,Race_Ethnicity,https://github.com/healthyregions/oeps/blob/main/metadata/Race_Ethnicity.md
Social,Age & Demographic,"Population with a Disability, % Less than High School degree",Other_Demographic_2018,https://github.com/healthyregions/oeps/blob/main/metadata/Other_Demographic_2018.md
Social,Age & Demographic,Population percentages split by age groups and male/female ratios,Demographics,https://github.com/healthyregions/oeps/blob/main/metadata/Demographics.md
Social,Community Overlay Variables,"Hypersegregated Cities, Southern Blackbelt, Native American Reservations",Overlay,https://github.com/healthyregions/oeps/blob/main/metadata/Overlay.md
Social,Educational Characteristics,"Population percentage with or without varying levels of educational attainment, further grouped by age",Educational_Characteristics,https://github.com/healthyregions/oeps/blob/main/metadata/Educational_Characteristics.md
Social,Veteran Population,"Total Veteran Population, % Veteran Population",VetPop,https://github.com/healthyregions/oeps/blob/main/metadata/VetPop.md
Environment,Urban/Suburban/Rural Classification,"Primary RUCA Code, Secondary RUCA Code by County",Rural_Urban_Classification_County,https://github.com/healthyregions/oeps/blob/main/metadata/Rural_Urban_Classification_County.md
Environment,Urban/Suburban/Rural Classification,"Primary RUCA Code, Secondary RUCA Code by Tract & ZCTA",Rural_Urban_Classification_T_Z,https://github.com/healthyregions/oeps/blob/main/metadata/Rural_Urban_Classification_T_Z.md
