HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
050US21007,4689,424,1043,493,462,2731,627,562,1618,51.89,1.27,0.4,14.77,0.22,516,569,6307,1762.0,246.87,,,,0.19
050US21017,11888,1227,2575,1191,1119,6972,1329,1360,3675,53.48,6.86,0.44,14.95,0.23,1332,1674,15563,4610.0,289.74,3.0,0.01,0.0,0.27
050US21031,7642,757,1588,759,646,4629,870,917,2260,54.72,3.2,0.2,21.9,0.22,800,924,9902,3031.0,426.09,1.0,0.0,0.0,0.26
050US21065,8661,750,1772,786,778,4953,1113,984,2602,52.23,0.33,0.08,25.29,0.21,1033,1106,11263,2798.0,253.09,2.0,0.01,0.0,0.29
050US21069,8465,1020,1934,887,817,5063,1023,968,2458,55.37,1.28,0.18,21.5,0.25,961,1052,10923,3671.0,348.54,,,,0.26
050US21093,67089,7257,14923,7162,7929,43453,7550,6008,14260,60.72,5.69,2.11,9.5,0.25,6977,7667,81349,24556.0,623.39,18.0,0.03,0.0,0.2
050US21099,10978,1286,2506,1203,1082,6435,1492,1164,3036,54.9,1.84,0.49,24.36,0.25,1188,1520,14014,4377.0,412.56,,,,0.28
050US21131,6434,610,1306,639,505,3718,840,732,1755,53.8,0.7,0.42,29.79,0.22,705,806,8189,1745.0,400.85,,,,0.3
050US21151,59160,5136,10590,8104,11050,41141,5392,4876,11707,63.4,2.38,1.0,12.98,0.21,5424,5434,70867,20809.0,437.35,12.0,0.03,0.0,0.24
050US21155,11428,1143,2705,1262,1064,6964,1406,1124,3106,56.22,2.7,0.23,19.56,0.24,1426,1358,14534,4795.0,343.04,5.0,0.01,0.0,0.26
050US21179,27801,2897,6110,3100,2789,17054,3213,2978,6609,57.42,2.1,0.61,10.79,0.24,3166,3361,34410,13097.0,417.51,13.0,0.03,0.0,0.24
050US17091,67493,6620,14644,8489,8489,43561,7709,6715,17609,58.37,10.19,0.95,12.15,0.23,6811,7392,85102,27390.0,676.49,12.0,0.02,0.0,0.09
050US17187,10282,1080,2081,1516,1354,6688,1351,988,3180,56.81,9.41,2.61,12.28,0.22,912,1058,13462,4486.0,542.37,2.0,0.0,0.0,0.14
050US17197,427886,41129,102250,52458,44598,273156,45491,37967,83650,60.48,17.06,5.34,9.09,0.26,53269,51785,511536,157861.0,835.88,75.0,0.09,0.0,0.12
050US18027,18355,2596,5505,2440,2000,12053,2236,1771,4947,61.19,4.81,0.13,26.79,0.29,1698,2131,23302,8945.0,429.49,5.0,0.01,0.0,0.15
050US18061,24066,2269,5082,2473,2074,13967,2897,2971,6707,53.68,1.84,0.44,10.96,0.23,2666,3153,30773,9618.0,484.51,3.0,0.01,0.0,0.24
050US01001,33781,3263,7579,3855,3337,21630,4131,2694,8050,58.83,2.77,1.03,11.31,0.24,3874,3979,41831,10660.0,594.44,3.0,0.0,0.0,0.22
050US01005,15712,1390,3127,1434,1658,9871,1657,1651,4634,55.81,4.29,0.37,26.97,0.21,1672,1780,20346,5100.0,885.0,3.0,0.0,0.0,0.23
050US01023,7541,671,1467,807,694,4273,1074,900,2884,49.03,0.56,0.1,18.59,0.2,826,980,10425,2672.0,913.46,3.0,0.0,0.0,0.26
050US01035,7156,715,1466,872,613,4124,1075,826,2707,50.38,0.84,0.14,19.25,0.21,740,861,9863,2546.0,850.2,1.0,0.0,0.0,0.25
050US01051,51203,4736,10221,5243,5253,32794,5750,4659,11770,58.8,2.89,0.48,13.62,0.22,5525,5757,62973,15547.0,618.44,2.0,0.0,0.0,0.22
050US01055,61781,5793,12358,6484,6309,37830,7243,6790,18877,54.38,3.77,0.72,15.48,0.22,7054,6994,80658,23835.0,535.28,10.0,0.02,0.0,0.21
050US01065,8689,971,1873,1128,844,5289,970,1180,2717,54.63,0.87,0.26,16.35,0.23,822,1065,11406,2765.0,643.98,1.0,0.0,0.0,0.26
050US01089,227057,20902,44167,24006,24700,141563,26834,21085,51308,57.79,4.84,2.54,8.87,0.22,23828,27873,278365,64895.0,801.58,38.0,0.05,0.0,0.19
050US01113,36079,4258,7831,3421,3753,23529,3899,3353,7776,61.19,5.36,0.89,16.68,0.25,3618,3949,43855,12077.0,641.15,3.0,0.0,0.0,0.2
050US01117,130525,12500,28904,14336,12099,82532,13510,13497,30125,58.66,5.74,2.01,7.85,0.24,15293,14900,160650,38486.0,785.37,16.0,0.02,0.0,0.21
050US02016,4453,240,599,275,529,2656,424,382,334,60.78,13.88,40.0,11.18,0.17,482,633,4787,2695.0,4392.09,,,,
050US02130,8774,840,1713,801,870,5244,991,1161,1950,56.48,5.08,7.69,7.32,0.22,894,1011,10724,3511.0,4856.85,4.0,0.0,0.0,
050US02180,5779,957,1926,799,768,4174,670,393,742,71.1,2.55,1.61,15.93,0.34,501,562,6521,1623.0,22971.86,,,,
050US02282,417,62,92,41,43,264,41,41,85,60.67,7.26,8.27,8.2,0.27,37,67,502,187.0,7623.24,1.0,0.0,0.0,
050US05011,6336,682,1505,737,530,3899,662,756,2014,55.59,15.11,0.0,18.04,0.24,654,776,8350,2847.0,649.23,,,,0.24
050US05015,15653,1557,3486,1733,1465,8953,2248,2029,6102,50.19,15.0,1.2,14.19,0.22,1607,1905,21755,6652.0,629.96,5.0,0.01,0.0,0.24
050US05019,14526,1186,2352,2610,3062,10084,1283,1294,3593,60.85,4.69,0.7,10.79,0.19,1287,1306,18119,5235.0,866.07,5.0,0.01,0.0,0.22
050US05025,4714,437,1100,573,420,2769,577,568,1650,52.35,1.87,0.04,11.39,0.23,523,602,6364,1807.0,597.78,2.0,0.0,0.0,0.25
050US05063,21969,2405,5009,2494,2205,13751,2573,2332,6398,56.8,6.19,0.63,14.22,0.24,2359,2437,28367,8856.0,763.95,,,,0.22
050US05067,10767,973,1963,874,1092,6729,1253,1064,2985,56.11,2.82,0.04,21.1,0.2,1022,1236,13752,3426.0,633.92,6.0,0.01,0.0,0.17
050US05121,10096,1031,2232,1129,943,6320,1058,1262,3482,54.44,1.95,0.0,17.29,0.23,1066,1152,13578,4464.0,652.22,,,,0.2
050US06001,1083270,97506,192220,93865,103705,713994,106455,93101,215917,61.06,22.45,29.59,12.04,0.21,113547,110960,1299187,303815.0,737.3,308.0,0.42,0.0,0.07
050US06003,614,39,137,114,72,417,68,109,293,51.75,9.16,0.7,11.1,0.21,18,65,907,174.0,738.34,,,,0.11
050US06005,22055,1534,3267,1978,1530,11581,3003,3387,9952,43.31,13.57,1.32,9.7,0.15,2349,2756,32007,6230.0,594.57,14.0,0.02,0.0,0.14
050US06013,702165,65505,149353,72857,68013,436346,78858,69200,169782,57.46,25.42,16.33,10.62,0.23,81117,83086,871947,208362.0,717.08,115.0,0.16,0.0,0.08
050US06019,583713,78636,156778,71970,74241,415328,53835,47323,114438,66.53,52.74,10.23,24.71,0.29,55764,56028,698151,214436.0,5958.07,138.0,0.02,0.0,0.06
050US06023,86862,7364,14590,9105,12763,57241,9122,9774,22647,58.33,11.31,3.06,9.66,0.19,7151,7879,109509,28550.0,3568.16,15.0,0.0,0.0,0.21
050US06033,36917,3683,7324,3516,3231,20426,5137,5540,13941,49.0,20.0,1.03,14.81,0.21,3709,4388,50858,13492.0,1256.51,12.0,0.01,0.0,0.11
