HEROP_ID,TotPcp,TotSp
040US28,1646,3032
040US37,6715,12052
040US40,2469,3832
040US51,6226,11088
040US54,1479,2267
040US22,2958,6077
040US26,7934,13119
040US25,6848,13731
040US16,985,1677
040US12,13738,26609
040US31,1309,2124
040US53,5904,9499
040US35,1601,2383
040US46,656,998
040US48,14934,28433
040US06,28810,49880
040US01,3031,5194
040US13,6293,11241
040US42,10212,19844
040US29,4234,7956
040US08,4079,7301
040US49,1585,3106
040US47,4622,8487
040US56,375,620
040US36,16887,35579
040US20,2042,3157
040US02,652,933
040US32,1595,2975
040US17,10167,17182
040US50,680,960
040US30,772,1302
040US19,2260,3124
040US45,3125,5726
040US33,1265,2089
040US04,4266,8267
040US11,1069,2607
040US34,7151,14237
040US24,5191,10488
040US23,1434,2039
040US15,1296,2115
040US10,735,1305
040US44,945,1792
040US21,2878,5368
040US39,8805,15791
040US55,4764,7903
040US41,3463,5597
040US38,561,899
040US05,1879,2911
040US18,4389,7969
040US27,4842,7441
040US09,2991,6337
