HEROP_ID,NoIntP
860US36083,32.19
860US35441,35.97
860US35051,21.7
860US35121,26.39
860US35058,27.22
860US35619,29.78
860US35016,17.55
860US36115,0.0
860US36353,21.54
860US36728,50.0
860US35229,
860US99574,5.15
860US99729,13.98
860US36027,28.03
860US35470,27.89
860US86544,78.59
860US35173,7.46
860US35098,34.11
860US71653,33.95
860US81524,10.26
860US93308,14.24
860US20012,13.65
860US83811,33.84
860US04554,18.75
860US60034,11.05
860US21529,23.79
860US02671,8.82
860US04019,0.0
860US49854,18.7
860US56127,26.95
860US04766,34.36
860US39150,37.93
860US59870,14.06
860US59014,19.09
860US02461,3.46
860US88045,25.42
860US99517,10.79
860US99639,20.41
860US99768,47.46
860US85264,19.35
860US86334,17.71
860US85501,31.24
860US85638,21.64
860US85726,
860US72756,19.46
860US72950,29.33
860US71846,28.56
860US93592,47.89
860US93060,21.13
860US93960,20.72
860US93235,24.58
860US93622,26.42
860US90018,18.85
860US96057,26.68
860US93666,44.7
860US94952,8.07
860US94127,4.16
860US96034,20.59
860US93620,19.77
860US49934,4.14
860US28428,7.19
860US39465,18.25
860US65747,7.52
860US64112,5.59
860US39144,18.95
860US03076,7.08
860US97368,15.4
860US15316,6.25
860US19137,14.53
860US29440,27.1
860US69341,16.88
860US11550,13.23
860US78404,21.25
860US84753,100.0
860US05450,16.08
860US24171,27.06
860US23092,42.39
860US24622,57.49
860US44123,19.01
860US98382,10.2
860US73505,10.57
860US25425,11.12
860US97630,25.32
860US82225,26.11
860US35079,18.9
860US08073,0.0
860US87506,23.47
860US88301,34.11
860US87558,18.72
860US88042,29.81
860US88055,21.43
860US10171,
860US10110,
860US12758,14.54
860US10282,0.0
860US14212,29.89
860US11956,0.0
860US14788,0.0
860US10040,13.59
860US11501,7.9
860US14035,23.33
860US13617,12.65
860US13316,20.88
860US34287,17.28
860US33413,9.17
860US32421,18.19
860US30417,24.54
860US30816,18.89
860US30332,
860US30705,19.2
860US31631,36.26
860US31038,10.61
860US30464,32.14
860US31018,25.92
860US30428,63.53
860US96777,32.58
860US96746,9.39
860US83553,21.06
860US61414,14.82
860US13102,31.03
860US27893,28.26
860US27295,21.4
860US28504,16.96
860US28787,11.98
860US27825,46.43
860US28611,38.67
860US28089,38.71
860US58205,
860US43084,2.85
860US44493,0.0
860US44233,4.55
860US43203,24.32
860US44671,0.0
860US43330,26.83
860US01236,0.74
860US01003,0.0
860US49861,23.24
860US48625,25.33
860US48233,
860US48091,23.0
860US49948,23.83
860US55029,18.18
860US56467,10.88
860US56639,17.78
860US56671,30.63
860US56001,9.64
860US56313,21.62
860US39140,37.67
860US39759,14.89
860US38920,57.14
860US39170,22.96
860US39069,27.36
860US38945,0.0
860US39332,13.21
860US64093,7.76
860US90301,15.86
860US95545,92.11
860US80023,2.75
860US81227,
860US80515,8.29
860US06412,5.25
860US06481,13.29
860US19716,
860US34488,25.68
860US34202,4.09
860US62982,21.1
860US47708,13.83
860US51243,19.33
860US30660,66.58
860US41073,11.24
860US70357,33.58
860US71254,57.09
860US42464,22.77
860US41083,34.61
860US40444,18.52
860US41035,26.82
860US40057,24.19
860US41612,47.83
860US40025,0.0
860US40313,13.93
860US41725,0.0
860US40144,27.21
860US71360,16.47
860US71268,16.09
860US70575,53.33
860US71479,27.65
860US04039,10.08
860US04622,31.03
860US04354,14.35
860US04975,0.0
860US04920,23.08
860US20899,37.89
860US21717,0.0
860US64125,30.6
860US63653,14.48
860US64066,0.0
860US65556,31.85
860US65623,40.0
860US65612,12.23
860US59456,37.5
860US59054,26.47
860US59735,25.25
860US59834,23.12
860US68137,8.55
860US69333,9.22
860US68841,15.76
860US68304,7.14
860US03280,16.76
860US03753,2.95
860US07621,8.64
860US08740,14.76
860US16244,21.26
860US15422,71.13
860US18444,12.43
860US17576,0.0
860US15049,16.98
860US19102,2.65
860US18617,30.65
860US29108,34.02
860US29030,26.95
860US29483,12.99
860US29591,38.24
860US29117,
860US29368,0.0
860US57422,14.16
860US57054,13.55
860US37066,14.72
860US38301,25.57
860US37174,4.63
860US60129,8.57
860US61839,15.32
860US61049,22.12
860US60144,0.0
860US60302,10.8
860US60472,37.49
860US47421,19.89
860US47916,33.33
860US47860,37.93
860US46961,32.63
860US47281,37.78
860US50230,13.7
860US50227,30.0
860US50551,6.52
860US50105,6.29
860US52033,16.55
860US50559,24.67
860US51230,6.96
860US67747,17.54
860US66621,
860US67457,14.05
860US40372,22.18
860US99109,24.14
860US99166,25.24
860US98304,19.17
860US98830,26.67
860US26405,32.37
860US26554,14.88
860US25271,18.66
860US98638,17.6
860US24844,34.35
860US24845,8.21
860US24736,28.47
860US26250,26.76
860US54521,17.71
860US24847,41.74
860US54985,
860US83116,15.61
860US26151,30.08
860US98305,18.71
860US24656,39.09
860US19731,14.08
860US46376,5.0
860US54896,25.89
860US33404,22.57
860US35548,34.58
860US36775,38.56
860US71651,19.72
860US53504,25.47
860US03101,18.86
860US21802,
860US02141,11.96
860US66019,50.37
860US61315,13.58
860US46987,17.33
860US48083,8.02
860US04490,6.25
860US06059,
860US80290,
860US99124,25.36
860US05747,18.33
860US76483,20.71
860US88134,0.0
860US07702,7.46
860US17083,0.0
860US84629,10.62
860US19103,7.11
860US15015,2.67
860US17250,100.0
860US43970,0.0
860US43529,19.32
860US12307,19.53
860US36522,21.54
860US30165,17.77
860US85922,0.0
860US85620,16.73
860US84531,96.35
860US96120,11.08
860US82063,5.83
860US93643,13.52
860US96080,17.76
860US95458,21.95
860US74578,25.72
860US97624,29.94
860US97343,47.62
860US97148,7.13
860US16616,40.32
860US97123,6.59
860US97424,13.69
860US17756,17.99
860US97758,48.78
860US97494,0.0
860US19442,
860US17887,46.04
860US15078,42.93
860US15737,10.0
860US15546,19.85
860US18428,14.29
860US18814,3.8
860US17041,0.0
860US85019,26.71
860US71665,34.23
860US71671,26.76
860US71998,
860US72476,19.26
860US71837,30.42
860US71763,33.76
860US71858,46.25
860US93254,17.65
860US20520,
860US20427,
860US32714,7.18
860US32134,22.23
860US33498,1.12
860US31021,31.35
860US30521,27.29
860US31804,10.58
860US30252,4.2
860US39842,23.45
860US30474,20.48
860US95835,1.87
860US93203,31.91
860US95364,
860US91203,15.74
860US95363,11.79
860US93665,73.93
860US90071,4.2
860US95724,
860US80302,3.59
860US80746,62.5
860US81223,23.19
860US81243,12.5
860US80218,6.3
860US19977,8.35
860US20202,
860US34681,0.0
860US32097,8.53
860US30513,14.04
860US31318,11.01
860US31780,36.52
860US30326,5.03
860US30293,45.54
860US96786,11.62
860US83244,0.0
860US83544,20.08
860US83218,11.82
860US83467,20.18
860US62089,19.81
860US61243,27.97
860US62987,38.03
860US60171,17.92
860US60643,15.77
860US62865,25.45
860US61936,7.83
860US61039,9.97
860US47457,0.0
860US47337,26.32
860US46183,0.0
860US46068,20.25
860US47836,
860US47683,2.25
860US47969,25.64
860US52060,21.45
860US51244,12.5
860US50603,33.16
860US52647,10.47
860US51036,8.11
860US66216,5.99
860US66728,32.0
860US67520,21.01
860US40380,28.91
860US42431,20.26
860US41260,34.09
860US40404,
860US42210,24.52
860US42411,28.25
860US40049,
860US70549,28.08
860US70582,23.54
860US95441,11.06
860US94574,7.59
860US90621,7.61
860US95485,17.98
860US93664,11.96
860US37338,24.82
860US37374,17.1
860US76597,
860US37132,
860US37246,
860US75752,14.21
860US78076,36.75
860US79781,20.65
860US78653,5.49
860US77880,31.34
860US75779,17.14
860US78014,44.66
860US76305,25.2
860US75652,25.86
860US77575,18.68
860US76801,19.8
860US78058,12.25
860US76877,20.35
860US78881,53.13
860US75844,31.46
860US77954,33.82
860US78620,4.26
860US79731,33.71
860US76148,4.64
860US75929,16.19
860US75831,26.81
