HEROP_ID,TotTracts
050US21007,3
050US21017,6
050US21031,5
050US21065,4
050US21069,4
050US21093,22
050US21099,5
050US21131,3
050US21151,19
050US21155,6
050US21179,9
050US17091,29
050US17187,5
050US17197,152
050US18027,7
050US18061,6
050US01001,12
050US01005,9
050US01023,4
050US01035,5
050US01051,15
050US01055,30
050US01065,6
050US01089,73
050US01113,13
050US01117,48
050US02016,2
050US02130,4
050US02180,2
050US02282,1
050US05011,5
050US05015,5
050US05019,5
050US05025,2
050US05063,8
050US05067,5
050US05121,4
050US06001,361
050US06003,1
050US06005,9
050US06013,208
050US06019,199
050US06023,31
050US06033,15
050US06037,2347
050US06047,49
050US06057,20
050US06081,158
050US06085,372
050US06115,14
050US08013,68
050US08029,7
050US08049,3
050US08077,29
050US08083,7
050US08091,1
050US09009,190
050US11001,179
050US12009,114
050US12023,12
050US12039,9
050US12055,27
050US12065,4
050US12073,68
050US12095,207
050US12107,17
050US12123,5
050US12127,114
050US12131,12
050US12133,7
050US13009,9
050US13027,5
050US13103,10
050US13121,204
050US13141,2
050US13149,3
050US13179,15
050US13183,3
050US13189,5
050US13209,3
050US13229,4
050US13267,5
050US13271,3
050US13291,6
050US13305,6
050US13319,3
050US15007,16
050US16015,1
050US16023,1
050US16025,1
050US16027,29
050US16037,1
050US16039,5
050US16043,3
050US16061,3
050US16063,1
050US16085,3
050US19175,4
050US20053,2
050US20095,3
050US20135,2
050US20199,1
050US48011,1
050US48025,7
050US48035,7
050US48053,8
050US48055,8
050US48083,3
050US29057,2
050US29143,6
050US29157,5
050US29189,199
050US29199,2
050US29207,8
050US30015,2
050US30023,3
050US30029,19
050US30039,1
050US30057,3
050US30071,1
050US30077,2
050US30085,3
050US30087,4
050US30105,3
050US31091,1
050US53065,12
050US21189,2
050US21195,19
050US21217,5
050US21237,2
050US21239,8
050US22001,12
050US22009,9
050US22011,7
050US22029,5
050US22031,7
050US22033,92
050US22047,7
050US22071,177
050US22081,2
050US22099,11
050US22119,11
050US23013,11
050US23015,10
050US24003,105
050US18103,10
050US18129,7
050US18147,5
050US19001,3
050US19045,12
050US19083,6
050US19111,11
050US31167,2
050US34003,179
050US34007,127
050US34013,210
050US34023,175
050US34041,23
050US35007,3
050US35011,1
050US35051,4
050US36013,36
050US36029,237
050US36043,19
050US36045,26
050US36047,761
050US36053,25
050US36065,77
050US36077,17
050US36081,669
050US36091,50
050US36115,17
050US37007,6
050US37027,17
050US37039,7
050US37049,21
050US37055,11
050US37059,7
050US37069,12
050US37083,12
050US37091,5
050US37093,9
050US37099,9
050US37111,10
050US37117,6
050US37127,18
050US37165,7
050US37175,7
050US37199,5
050US38017,33
050US38037,1
050US38085,2
050US38099,6
050US39035,447
050US39039,9
050US39043,19
050US39125,5
050US40065,8
050US48103,1
050US48141,161
050US48151,2
050US48161,7
050US48167,67
050US48199,11
050US48213,17
050US48229,1
050US48241,8
050US48245,73
050US48261,2
050US48289,3
050US48317,2
050US48333,2
050US48347,13
050US48361,21
050US48371,4
050US48395,5
050US48423,41
050US48427,15
050US48457,5
050US48471,10
050US48475,3
050US48477,6
050US48499,10
050US49001,2
050US49003,11
050US49011,54
050US40073,4
