HEROP_ID,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,HispP,AsianP,NoHsP,ChildrenP,Age45_49,Age50_54,AgeOv18,EssnWrkE,AreaSqMi,AlcTot,AlcDens,AlcPerCap,Ndvi
040US28,1818976,188575,407928,212886,212059,1184622,197536,182350,449478,59.59,3.03,0.95,16.08,76,183522,194751,2268454,650010,46924.14,438,0.01,0,0.27
040US37,6292010,603193,1294042,676295,700320,4015345,676977,618435,1570998,58.22,9.22,2.78,12.64,77,686210,690424,7863008,2167395,48619.17,633,0.01,0,0.23
040US40,2370201,263992,536998,262995,280151,1566301,255043,230875,589230,60.42,10.4,2.13,12.19,76,229908,245790,2959431,854170,68595.72,560,0.01,0,0.12
040US51,5316101,509955,1042099,547867,583501,3398107,567471,508806,1230246,58.83,9.17,6.32,10.69,78,564733,592357,6546347,1647448,39481.74,445,0.01,0,
040US54,1110962,99291,209144,110333,118202,667545,132236,133367,344719,53.36,1.5,0.79,13.48,80,117794,124958,1455681,385150,24041.11,68,0.0,0,
040US22,2878435,309339,615510,301500,329326,1876915,310932,287507,676707,60.08,5.04,1.71,15.19,76,281619,305087,3555142,1011686,43203.7,277,0.01,0,0.16
040US26,6140446,572374,1226636,669114,717149,3802412,722076,667775,1620944,56.25,5.0,3.06,9.47,78,646308,698963,7761390,2204163,56602.68,1302,0.02,0,0.14
040US25,4372072,362681,766847,459381,492489,2750218,481780,433667,1078224,56.8,11.55,6.48,9.57,80,460384,496392,5450296,1410862,7801.21,1430,0.18,0,0.12
040US16,994832,114164,250361,120633,113385,663428,105507,101489,253801,60.9,12.39,1.41,9.43,74,98136,100923,1248633,368213,82644.71,120,0.0,0,0.25
040US12,12385211,1117420,2308718,1201106,1284168,7644981,1399430,1314377,4064376,53.75,25.17,2.71,12.05,80,1326465,1422372,16449587,4120574,53648.32,2137,0.04,0,0.16
040US31,1146162,131812,264249,129350,136886,753272,125370,114929,286080,60.34,10.67,2.32,8.91,75,109634,119414,1432242,452975,76817.24,166,0.0,0,0.22
040US53,4587962,453008,909873,444352,485160,2972063,487173,454466,1073499,59.43,12.5,8.33,8.89,78,467768,476486,5661461,1509709,66452.74,421,0.01,0,
040US35,1256755,128357,281753,140188,147856,815957,139817,132632,341515,58.6,48.54,1.51,14.74,76,120433,131970,1598270,412109,121311.32,98,0.0,0,0.15
040US46,514415,60407,119006,57056,60737,331685,59203,55477,136808,59.14,3.7,1.46,8.28,75,47405,54298,651223,211132,75809.65,94,0.0,0,0.15
040US48,17254695,1998869,4085565,1987192,1998210,11847281,1658878,1445748,3337814,64.31,39.17,4.69,16.8,74,1777695,1733345,20592509,5896795,261256.05,2584,0.01,0,0.19
040US06,24759648,2480679,5055988,2583578,2809630,16482385,2465921,2192477,5315457,61.35,38.88,14.32,17.07,77,2577771,2578082,30075105,7920148,155793.02,6054,0.04,0,0.22
