HEROP_ID,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OpRxRt,OdMortRt,OdMortRtAv
050US21007,3.0,9.68,1.0,2.0,30.58,0.67,3.0,19.18,1.0,3.0,19.18,1.0,4.2,23.4,23.88
050US21017,5.0,22.82,0.83,5.0,12.91,0.83,5.0,10.53,0.83,5.0,12.91,0.83,34.3,62.5,31.64
050US21031,0.0,42.4,0.0,1.0,37.05,0.2,4.0,17.72,0.8,4.0,13.24,0.8,26.6,28.8,23.08
050US21065,4.0,12.88,1.0,4.0,13.52,1.0,4.0,12.88,1.0,4.0,10.15,1.0,39.1,81.7,51.1
050US21069,4.0,13.93,1.0,4.0,13.93,1.0,4.0,13.93,1.0,4.0,6.63,1.0,38.2,33.7,33.34
050US21093,22.0,4.0,1.0,22.0,7.38,1.0,22.0,7.16,1.0,22.0,5.2,1.0,67.1,29.0,18.7
050US21099,5.0,14.12,1.0,3.0,22.42,0.6,4.0,20.97,0.8,4.0,20.86,0.8,12.3,22.6,22.08
050US21131,3.0,0.0,1.0,3.0,16.26,1.0,3.0,16.26,1.0,3.0,16.26,1.0,36.0,60.0,50.4
050US21151,19.0,7.86,1.0,19.0,8.68,1.0,19.0,12.97,1.0,19.0,7.11,1.0,29.7,66.7,38.92
050US21155,6.0,6.08,1.0,6.0,13.78,1.0,0.0,33.72,0.0,6.0,13.78,1.0,40.5,37.6,24.12
050US21179,9.0,13.28,1.0,9.0,14.67,1.0,9.0,14.06,1.0,9.0,7.59,1.0,39.6,36.3,23.26
050US17091,27.0,12.02,0.93,27.0,12.07,0.93,28.0,9.8,0.97,28.0,9.55,0.97,55.1,37.4,20.86
050US17187,4.0,26.46,0.8,5.0,10.16,1.0,5.0,10.16,1.0,5.0,10.16,1.0,32.3,11.3,15.08
050US17197,148.0,11.4,0.97,147.0,13.01,0.97,147.0,10.5,0.97,152.0,7.5,1.0,31.2,20.0,18.66
050US18027,2.0,35.81,0.29,6.0,12.52,0.86,7.0,11.2,1.0,7.0,11.2,1.0,32.8,13.5,16.04
050US18061,5.0,17.99,0.83,4.0,19.6,0.67,5.0,17.99,0.83,5.0,17.99,0.83,60.2,33.6,22.44
050US01001,9.0,23.81,0.75,10.0,15.27,0.83,10.0,16.06,0.83,6.0,32.59,0.5,98.3,11.6,11.58
050US01005,8.0,14.21,0.89,6.0,22.62,0.67,6.0,21.45,0.67,6.0,22.26,0.67,22.8,7.6,11.54
050US01023,3.0,26.06,0.75,3.0,23.11,0.75,3.0,23.11,0.75,3.0,23.84,0.75,37.8,9.6,15.56
050US01035,4.0,23.24,0.8,4.0,23.48,0.8,1.0,43.92,0.2,1.0,44.93,0.2,113.3,21.0,18.5
050US01051,10.0,26.88,0.67,12.0,20.27,0.8,12.0,19.68,0.8,4.0,35.46,0.27,26.8,12.1,10.38
050US01055,30.0,9.75,1.0,30.0,11.41,1.0,30.0,9.39,1.0,29.0,10.01,0.97,102.8,22.7,21.76
050US01065,6.0,18.43,1.0,5.0,19.29,0.83,6.0,18.64,1.0,3.0,35.0,0.5,22.6,9.2,15.28
050US01089,71.0,11.66,0.97,69.0,10.9,0.95,71.0,11.26,0.97,73.0,9.15,1.0,87.3,24.6,15.76
050US01113,11.0,15.01,0.85,11.0,13.82,0.85,11.0,15.48,0.85,11.0,13.72,0.85,35.9,21.5,14.48
050US01117,34.0,26.1,0.71,42.0,17.16,0.88,44.0,19.14,0.92,38.0,21.78,0.79,64.6,21.6,18.3
050US02016,2.0,23.94,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.1,15.6,18.54
050US02130,4.0,0.0,1.0,4.0,9.75,1.0,4.0,0.0,1.0,4.0,0.0,1.0,49.5,21.0,21.32
050US02180,2.0,0.0,1.0,2.0,14.46,1.0,2.0,14.46,1.0,2.0,14.46,1.0,3.0,15.3,20.38
050US02282,1.0,0.0,1.0,0.0,1667.25,0.0,1.0,0.0,1.0,0.0,1473.95,0.0,8.1,19.1,19.74
050US05011,5.0,10.75,1.0,5.0,10.14,1.0,5.0,10.14,1.0,5.0,8.5,1.0,73.8,11.1,14.7
050US05015,3.0,23.9,0.6,5.0,11.01,1.0,5.0,18.42,1.0,5.0,10.99,1.0,37.4,24.6,20.72
050US05019,4.0,9.73,0.8,3.0,18.2,0.6,3.0,18.2,0.6,0.0,45.62,0.0,54.7,9.7,14.78
050US05025,1.0,23.07,0.5,0.0,43.44,0.0,0.0,41.53,0.0,0.0,43.16,0.0,4.9,12.8,14.96
050US05063,8.0,8.99,1.0,8.0,14.72,1.0,8.0,9.9,1.0,8.0,11.73,1.0,132.5,15.8,16.2
050US05067,4.0,11.13,0.8,4.0,18.58,0.8,4.0,15.9,0.8,4.0,15.9,0.8,55.0,18.5,17.84
050US05121,4.0,12.74,1.0,4.0,13.6,1.0,4.0,11.9,1.0,4.0,12.74,1.0,20.4,21.5,19.24
050US06001,361.0,3.78,1.0,360.0,5.64,1.0,361.0,5.51,1.0,361.0,4.86,1.0,18.2,19.3,11.72
050US06003,0.0,61.34,0.0,0.0,43.65,0.0,1.0,0.0,1.0,1.0,0.0,1.0,23.0,31.0,24.8
050US06005,4.0,36.57,0.44,4.0,31.38,0.44,4.0,36.57,0.44,4.0,36.57,0.44,31.8,29.4,26.34
050US06013,208.0,7.72,1.0,207.0,9.57,1.0,208.0,8.05,1.0,208.0,7.46,1.0,22.9,20.3,12.32
050US06019,196.0,4.99,0.98,189.0,9.79,0.95,187.0,9.45,0.94,185.0,9.96,0.93,41.9,17.4,13.6
050US06023,31.0,6.56,1.0,27.0,15.76,0.9,26.0,18.7,0.84,30.0,10.15,0.97,46.8,35.7,33.6
050US06033,6.0,29.55,0.4,14.0,15.04,0.93,6.0,30.91,0.4,14.0,10.87,0.93,27.0,71.0,48.28
050US06037,,,,,,,,,,,,,24.5,20.3,9.4
050US06047,49.0,5.73,1.0,48.0,12.39,0.98,48.0,9.85,0.98,47.0,10.97,0.96,32.8,19.3,14.72
050US06057,19.0,14.75,0.95,18.0,16.63,0.9,20.0,12.65,1.0,19.0,15.3,0.95,38.7,35.3,20.42
050US06081,157.0,6.45,0.99,156.0,6.18,0.99,157.0,5.81,0.99,157.0,6.93,0.99,17.7,16.2,10.32
050US06085,372.0,5.56,1.0,371.0,7.66,1.0,371.0,6.64,1.0,372.0,6.04,1.0,18.4,15.8,9.02
050US06115,12.0,10.01,0.86,12.0,14.79,0.86,11.0,15.28,0.79,11.0,16.09,0.79,29.2,19.8,16.32
050US08013,66.0,9.63,0.97,67.0,9.08,0.99,67.0,10.81,0.99,67.0,5.67,0.99,39.8,21.8,16.06
050US08029,5.0,19.72,0.71,4.0,21.42,0.57,5.0,19.72,0.71,7.0,11.32,1.0,37.6,25.1,18.8
050US08049,0.0,87.61,0.0,3.0,8.81,1.0,2.0,24.96,0.67,2.0,16.17,0.67,12.5,17.9,18.14
050US08077,27.0,10.72,0.93,27.0,11.71,0.93,27.0,14.19,0.93,27.0,11.26,0.93,52.9,26.8,20.04
050US08083,7.0,13.25,1.0,7.0,15.13,1.0,7.0,15.13,1.0,7.0,11.56,1.0,29.8,25.8,21.38
050US08091,0.0,44.08,0.0,0.0,45.96,0.0,0.0,45.96,0.0,0.0,45.96,0.0,15.9,21.1,20.44
050US09009,190.0,4.93,1.0,187.0,9.26,0.99,190.0,5.6,1.0,190.0,6.2,1.0,48.9,46.4,31.26
050US11001,179.0,2.17,1.0,179.0,4.08,1.0,179.0,9.24,1.0,179.0,2.7,1.0,32.6,58.3,34.64
050US12009,112.0,11.82,0.98,113.0,11.44,1.0,113.0,13.75,0.99,113.0,10.75,0.99,53.5,58.8,38.16
050US12023,11.0,17.94,0.92,10.0,14.33,0.83,9.0,20.52,0.75,9.0,21.75,0.75,37.8,23.3,21.14
050US12039,8.0,13.52,0.89,9.0,13.05,1.0,8.0,17.26,0.89,8.0,14.77,0.89,8.5,12.7,10.34
050US12055,16.0,27.75,0.59,24.0,18.5,0.89,24.0,17.38,0.89,20.0,20.49,0.74,36.6,38.8,20.02
050US12065,0.0,36.04,0.0,1.0,30.96,0.33,3.0,17.73,0.75,1.0,34.9,0.25,2.9,18.8,15.48
050US12073,67.0,10.75,0.99,67.0,13.07,0.99,67.0,11.2,0.99,68.0,9.24,1.0,61.4,13.8,9.16
050US12095,207.0,9.06,1.0,207.0,9.05,1.0,207.0,8.43,1.0,207.0,8.45,1.0,35.7,25.2,17.56
050US12107,17.0,13.31,1.0,11.0,26.0,0.65,11.0,25.94,0.65,13.0,18.79,0.76,34.6,25.7,18.48
050US12123,3.0,21.74,0.6,3.0,15.28,0.75,4.0,14.11,0.8,4.0,14.11,0.8,47.9,22.2,18.54
050US12127,106.0,14.25,0.93,112.0,10.43,0.99,106.0,11.93,0.93,113.0,9.34,0.99,48.4,57.5,26.56
050US12131,11.0,16.09,0.92,4.0,29.68,0.36,1.0,45.76,0.08,6.0,33.49,0.5,29.4,27.0,18.64
050US12133,5.0,23.0,0.71,5.0,23.19,0.71,5.0,23.19,0.71,0.0,42.63,0.0,31.9,24.3,19.08
050US13009,9.0,7.08,1.0,9.0,8.77,1.0,9.0,8.06,1.0,9.0,13.0,1.0,42.2,10.6,11.64
050US13027,4.0,15.03,0.8,4.0,14.4,0.8,4.0,15.54,0.8,4.0,14.4,0.8,97.6,10.3,12.26
050US13103,3.0,38.09,0.3,7.0,25.96,0.7,9.0,20.33,0.9,2.0,40.6,0.2,20.9,15.0,12.04
050US13121,202.0,8.92,0.99,204.0,8.69,1.0,203.0,8.9,1.0,204.0,6.52,1.0,65.0,19.2,15.5
050US13141,2.0,12.88,1.0,1.0,33.92,0.5,1.0,33.32,0.5,0.0,39.7,0.0,10.1,10.4,14.04
050US13149,0.0,41.38,0.0,0.0,36.83,0.0,2.0,20.95,0.67,0.0,34.54,0.0,0.1,24.9,18.24
050US13179,13.0,15.39,0.87,13.0,16.22,0.87,13.0,16.04,0.87,13.0,15.42,0.87,32.6,14.5,12.04
050US13183,1.0,22.22,0.33,1.0,30.86,0.33,1.0,29.87,0.33,2.0,27.42,0.67,0.2,15.0,14.9
050US13189,3.0,25.67,0.6,5.0,14.94,1.0,5.0,8.99,1.0,0.0,37.35,0.0,64.1,20.1,16.2
050US13209,3.0,13.62,1.0,3.0,21.04,1.0,2.0,23.38,0.67,2.0,23.38,0.67,13.7,15.0,16.42
050US13229,2.0,27.56,0.5,2.0,27.39,0.5,2.0,27.39,0.5,0.0,35.69,0.0,35.5,27.7,19.18
050US13267,3.0,18.79,0.6,3.0,18.79,0.6,3.0,18.79,0.6,3.0,18.79,0.6,36.5,18.8,16.66
050US13271,1.0,28.7,0.33,1.0,42.93,0.33,0.0,51.19,0.0,0.0,55.82,0.0,8.5,13.8,15.36
050US13291,1.0,38.56,0.17,5.0,17.24,0.83,5.0,17.24,0.83,5.0,17.24,0.83,60.0,30.0,22.5
050US13305,6.0,17.72,1.0,6.0,17.72,1.0,6.0,17.72,1.0,4.0,20.57,0.67,100.6,31.2,21.2
050US13319,3.0,4.22,1.0,3.0,24.38,1.0,3.0,26.77,1.0,2.0,28.92,0.67,53.3,15.3,14.64
050US15007,15.0,17.68,0.88,11.0,25.63,0.69,,,,15.0,16.2,0.88,29.7,20.0,15.28
050US16015,0.0,97.72,0.0,0.0,88.2,0.0,1.0,0.0,1.0,0.0,98.37,0.0,9.2,21.3,18.22
050US16023,0.0,100.86,0.0,1.0,0.0,1.0,0.0,96.54,0.0,0.0,96.54,0.0,118.2,15.5,16.38
050US16025,1.0,0.0,1.0,0.0,68.63,0.0,0.0,60.26,0.0,0.0,65.57,0.0,-9.0,15.9,16.48
050US16027,29.0,4.31,1.0,29.0,9.26,1.0,29.0,6.34,1.0,29.0,5.92,1.0,27.1,13.0,10.84
050US16037,1.0,0.0,1.0,0.0,132.11,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.4,17.4,17.4
050US16039,5.0,8.84,1.0,4.0,19.88,0.8,4.0,19.88,0.8,0.0,59.05,0.0,23.4,14.7,15.3
050US16043,2.0,21.88,0.67,1.0,45.66,0.33,1.0,37.03,0.33,1.0,37.03,0.33,15.1,14.2,15.76
050US16061,0.0,83.5,0.0,1.0,50.74,0.33,0.0,62.43,0.0,1.0,43.47,0.33,14.1,17.3,16.3
050US16063,0.0,97.58,0.0,0.0,95.28,0.0,0.0,97.58,0.0,0.0,98.12,0.0,13.4,15.7,16.46
050US16085,0.0,81.09,0.0,3.0,5.76,1.0,0.0,80.14,0.0,2.0,14.56,0.67,21.0,18.1,19.1
050US19175,0.0,49.67,0.0,3.0,14.18,0.75,3.0,14.18,0.75,3.0,12.58,0.75,54.8,18.2,14.54
050US20053,0.0,59.91,0.0,2.0,13.54,1.0,0.0,48.4,0.0,0.0,57.2,0.0,59.5,14.3,14.18
050US20095,0.0,67.34,0.0,1.0,24.41,0.33,1.0,24.41,0.33,0.0,52.86,0.0,24.7,20.0,17.64
050US20135,0.0,81.19,0.0,2.0,0.0,1.0,0.0,74.19,0.0,0.0,82.32,0.0,52.7,9.8,13.0
050US20199,0.0,112.44,0.0,0.0,56.65,0.0,0.0,56.65,0.0,0.0,62.29,0.0,3.1,11.1,15.04
050US48011,0.0,48.23,0.0,0.0,52.58,0.0,0.0,46.76,0.0,0.0,50.67,0.0,20.3,12.7,14.7
050US48025,6.0,10.23,0.86,7.0,9.34,1.0,1.0,35.81,0.14,0.0,48.75,0.0,14.1,11.5,12.14
050US48035,1.0,53.36,0.14,6.0,20.3,0.86,6.0,23.7,0.86,0.0,50.41,0.0,13.9,22.3,13.98
050US48053,6.0,21.41,0.75,7.0,17.32,0.88,6.0,20.66,0.75,7.0,13.79,0.88,13.9,14.7,13.34
050US48055,8.0,9.75,1.0,7.0,20.33,0.88,8.0,12.73,1.0,8.0,12.88,1.0,6.5,10.9,11.0
050US48083,0.0,53.05,0.0,3.0,15.4,1.0,0.0,60.38,0.0,3.0,15.4,1.0,14.3,9.7,13.42
050US29057,2.0,12.03,1.0,0.0,47.9,0.0,0.0,54.1,0.0,2.0,12.03,1.0,57.9,22.4,21.18
050US29143,6.0,14.18,1.0,2.0,31.68,0.33,2.0,29.52,0.33,2.0,31.61,0.33,4.4,25.2,21.7
050US29157,5.0,9.59,1.0,5.0,8.77,1.0,5.0,8.77,1.0,5.0,7.88,1.0,7.0,22.0,21.68
050US29189,189.0,12.73,0.95,199.0,8.51,1.0,199.0,7.67,1.0,199.0,8.77,1.0,68.8,40.1,27.82
050US29199,0.0,40.65,0.0,2.0,5.01,1.0,0.0,68.26,0.0,0.0,40.65,0.0,40.8,13.2,14.62
050US29207,6.0,20.45,0.75,6.0,19.0,0.75,4.0,24.07,0.5,6.0,18.64,0.75,38.0,18.9,19.76
050US30015,0.0,92.38,0.0,2.0,0.0,1.0,0.0,92.64,0.0,0.0,92.46,0.0,15.4,15.0,16.9
050US30023,3.0,3.1,1.0,3.0,1.6,1.0,3.0,28.51,1.0,3.0,3.1,1.0,52.7,42.9,23.7
050US30029,19.0,11.27,1.0,17.0,14.23,0.89,17.0,17.24,0.89,17.0,15.04,0.89,66.1,17.3,16.28
050US30039,0.0,87.1,0.0,1.0,0.0,1.0,0.0,100.92,0.0,0.0,87.1,0.0,18.5,19.3,18.6
050US30057,0.0,87.37,0.0,2.0,30.57,0.67,0.0,89.91,0.0,0.0,87.67,0.0,9.4,17.6,17.36
050US30071,0.0,97.43,0.0,1.0,0.0,1.0,0.0,105.43,0.0,1.0,0.0,1.0,41.3,11.2,15.44
050US30077,0.0,51.08,0.0,1.0,31.37,0.5,0.0,54.45,0.0,0.0,51.08,0.0,55.7,28.4,22.38
050US30085,0.0,88.95,0.0,3.0,0.0,1.0,1.0,46.43,0.33,3.0,0.0,1.0,26.0,24.1,18.38
050US30087,4.0,0.0,1.0,1.0,63.06,0.25,1.0,70.64,0.25,1.0,63.06,0.25,13.6,12.6,17.32
050US30105,,,,2.0,20.0,0.67,2.0,20.0,0.67,2.0,20.0,0.67,18.7,11.2,15.92
050US31091,,,,0.0,85.98,0.0,0.0,82.94,0.0,0.0,82.94,0.0,14.6,8.4,12.26
050US53065,10.0,14.53,0.83,9.0,23.36,0.75,1.0,86.07,0.08,8.0,22.2,0.67,50.9,23.3,19.38
050US21189,2.0,8.22,1.0,0.0,43.78,0.0,1.0,29.28,0.5,2.0,8.22,1.0,192.2,63.4,47.38
050US21195,17.0,16.82,0.89,10.0,27.04,0.53,12.0,25.02,0.63,15.0,16.78,0.79,119.9,52.5,41.56
050US21217,5.0,18.74,1.0,5.0,9.57,1.0,5.0,11.91,1.0,5.0,6.08,1.0,47.2,46.6,28.24
050US21237,2.0,5.58,1.0,2.0,23.38,1.0,2.0,5.58,1.0,2.0,5.58,1.0,76.6,80.9,50.98
050US21239,8.0,11.1,1.0,8.0,11.1,1.0,8.0,11.1,1.0,8.0,10.9,1.0,31.3,38.0,27.22
050US22001,10.0,17.33,0.83,12.0,13.08,1.0,11.0,13.11,0.92,11.0,16.72,0.92,28.4,30.0,21.26
050US22009,8.0,17.2,0.89,7.0,17.56,0.78,7.0,17.56,0.78,7.0,20.83,0.78,34.7,30.1,19.36
050US22011,2.0,29.87,0.29,6.0,15.09,0.86,5.0,18.26,0.71,5.0,17.56,0.71,29.5,20.2,16.88
050US22029,4.0,13.27,0.8,4.0,13.27,0.8,4.0,22.8,0.8,0.0,59.85,0.0,32.8,13.3,16.5
050US22031,6.0,12.81,0.86,6.0,17.42,0.86,1.0,44.79,0.14,0.0,45.56,0.0,18.3,17.5,15.7
050US22033,92.0,6.89,1.0,92.0,7.3,1.0,90.0,9.07,0.98,89.0,9.21,0.97,98.2,47.1,19.88
050US22047,7.0,2.78,1.0,5.0,18.95,0.71,3.0,29.65,0.43,6.0,19.22,0.86,9.3,32.3,17.4
050US22071,177.0,2.68,1.0,177.0,5.67,1.0,177.0,4.03,1.0,177.0,4.52,1.0,87.6,70.1,35.76
050US22081,0.0,41.11,0.0,2.0,9.07,1.0,2.0,9.07,1.0,0.0,53.23,0.0,44.8,11.7,14.34
050US22099,10.0,16.13,0.91,11.0,14.31,1.0,11.0,14.31,1.0,11.0,15.14,1.0,14.9,19.7,15.06
050US22119,8.0,18.57,0.73,11.0,11.1,1.0,11.0,10.93,1.0,7.0,21.52,0.64,40.6,19.7,14.92
050US23013,2.0,34.62,0.18,7.0,25.43,0.7,10.0,17.66,0.91,10.0,16.45,0.91,34.1,37.4,21.92
050US23015,2.0,37.78,0.2,9.0,20.43,0.9,9.0,19.44,0.9,9.0,19.38,0.9,37.1,27.9,21.94
050US24003,104.0,14.75,0.99,102.0,13.53,0.98,103.0,8.91,0.98,105.0,7.87,1.0,44.0,46.6,37.22
050US18103,10.0,11.86,1.0,10.0,12.99,1.0,10.0,11.85,1.0,10.0,12.7,1.0,23.5,22.6,18.78
050US18129,5.0,27.79,0.71,5.0,27.79,0.71,6.0,14.52,0.86,6.0,14.27,0.86,49.5,19.2,18.32
050US18147,2.0,34.65,0.4,4.0,25.8,0.8,4.0,18.97,0.8,4.0,18.97,0.8,17.5,14.3,17.18
050US19001,0.0,70.7,0.0,3.0,13.73,1.0,1.0,37.71,0.33,1.0,32.62,0.33,13.8,12.4,12.44
050US19045,10.0,14.84,0.83,12.0,7.82,1.0,11.0,13.34,0.92,10.0,13.87,0.83,36.6,18.8,12.16
050US19083,0.0,61.33,0.0,5.0,19.05,0.83,0.0,56.62,0.0,0.0,47.07,0.0,35.8,8.1,9.56
050US19111,9.0,18.07,0.82,11.0,9.14,1.0,11.0,8.5,1.0,9.0,17.58,0.82,34.6,17.3,14.08
050US31167,2.0,11.22,1.0,2.0,18.9,1.0,2.0,18.9,1.0,2.0,18.9,1.0,-9.0,7.0,9.64
050US34003,179.0,7.89,1.0,179.0,5.93,1.0,179.0,4.57,1.0,179.0,5.02,1.0,27.2,19.2,13.8
050US34007,127.0,7.23,1.0,127.0,6.21,1.0,127.0,5.12,1.0,127.0,4.5,1.0,61.1,53.4,46.6
050US34013,210.0,4.44,1.0,210.0,4.27,1.0,210.0,3.44,1.0,210.0,3.09,1.0,30.2,36.6,28.7
050US34023,175.0,10.41,1.0,175.0,9.36,1.0,175.0,7.47,1.0,175.0,6.67,1.0,27.7,25.4,20.68
050US34041,23.0,14.31,1.0,23.0,11.1,1.0,22.0,9.83,0.96,23.0,10.39,1.0,29.9,29.1,22.32
050US35007,1.0,22.37,0.33,2.0,30.38,0.67,0.0,85.07,0.0,2.0,30.38,0.67,74.9,44.3,31.88
050US35011,1.0,0.0,1.0,0.0,78.47,0.0,0.0,78.47,0.0,0.0,78.47,0.0,5.3,28.7,26.48
050US35051,3.0,21.74,0.75,3.0,21.74,0.75,0.0,94.7,0.0,0.0,94.7,0.0,24.0,56.7,32.84
050US36013,31.0,12.62,0.86,33.0,10.19,0.94,34.0,10.72,0.94,33.0,11.27,0.92,41.9,33.2,20.0
050US36029,231.0,10.04,0.97,235.0,8.61,0.99,236.0,5.95,1.0,236.0,6.36,1.0,58.2,30.7,25.44
050US36043,15.0,20.25,0.79,16.0,20.38,0.84,16.0,19.05,0.84,17.0,17.83,0.89,17.5,17.3,13.0
050US36045,21.0,16.02,0.81,21.0,18.02,0.81,22.0,16.12,0.85,20.0,18.85,0.77,49.0,26.9,15.18
050US36047,761.0,2.34,1.0,761.0,4.23,1.0,761.0,2.73,1.0,761.0,3.14,1.0,14.6,18.3,12.42
050US36053,,,,,,,,,,,,,43.0,18.7,13.56
050US36065,,,,,,,,,,,,,39.6,28.4,18.64
050US36077,0.0,65.93,0.0,13.0,17.4,0.76,12.0,18.49,0.71,9.0,24.1,0.53,47.7,18.7,14.04
050US36081,669.0,3.86,1.0,669.0,5.04,1.0,669.0,3.62,1.0,669.0,3.89,1.0,12.7,18.1,10.86
