HEROP_ID,A15_24P
860US36083,12.86
860US35441,11.57
860US35051,12.28
860US35121,13.34
860US35058,8.7
860US35619,12.74
860US35016,12.9
860US36115,19.19
860US36353,17.5
860US36728,11.5
860US35229,100.0
860US99574,13.63
860US99729,2.97
860US36027,12.12
860US35470,38.05
860US86544,17.7
860US35173,10.06
860US35098,8.61
860US71653,12.49
860US81524,15.41
860US93308,12.67
860US20012,9.31
860US83811,8.13
860US04554,11.2
860US60034,12.33
860US21529,10.07
860US02671,4.33
860US04019,0.0
860US49854,9.91
860US56127,12.21
860US04766,7.85
860US39150,13.6
860US59870,8.59
860US59014,10.16
860US02461,9.94
860US88045,10.29
860US99517,12.08
860US99639,9.65
860US99768,10.14
860US85264,14.7
860US86334,10.89
860US85501,12.4
860US85638,8.28
860US85726,
860US72756,12.92
860US72950,17.91
860US71846,15.84
860US93592,0.0
860US93060,15.2
860US93960,12.9
860US93235,16.34
860US93622,18.6
860US90018,14.33
860US96057,7.7
860US93666,12.82
860US94952,10.55
860US94127,9.16
860US96034,7.63
860US93620,13.88
860US49934,10.43
860US28428,10.44
860US39465,13.22
860US65747,6.82
860US64112,15.83
860US39144,32.95
860US03076,12.78
860US97368,5.31
860US15316,2.75
860US19137,8.35
860US29440,12.4
860US69341,11.42
860US11550,12.85
860US78404,12.92
860US84753,50.0
860US05450,10.92
860US24171,10.38
860US23092,15.65
860US24622,4.78
860US44123,14.53
860US98382,7.44
860US73505,13.79
860US25425,13.85
860US97630,10.93
860US82225,14.04
860US35079,12.15
860US08073,8.37
860US87506,9.3
860US88301,10.38
860US87558,18.91
860US88042,0.0
860US88055,0.0
860US10171,
860US10110,
860US12758,13.59
860US10282,2.91
860US14212,14.71
860US11956,6.6
860US14788,6.85
860US10040,12.38
860US11501,9.42
860US14035,0.0
860US13617,35.8
860US13316,11.01
860US34287,7.24
860US33413,13.61
860US32421,13.17
860US30417,10.4
860US30816,8.75
860US30332,98.23
860US30705,12.54
860US31631,6.27
860US31038,1.59
860US30464,19.28
860US31018,14.32
860US30428,13.55
860US96777,11.5
860US96746,9.09
860US83553,10.05
860US61414,10.35
860US13102,0.0
860US27893,13.47
860US27295,11.4
860US28504,10.9
860US28787,9.8
860US27825,0.0
860US28611,11.36
860US28089,63.59
860US58205,89.05
860US43084,11.36
860US44493,0.0
860US44233,12.25
860US43203,10.1
860US44671,0.0
860US43330,17.65
860US01236,12.19
860US01003,98.95
860US49861,8.75
860US48625,11.08
860US48233,
860US48091,15.02
860US49948,7.74
860US55029,0.0
860US56467,7.03
860US56639,8.72
860US56671,18.03
860US56001,30.5
860US56313,23.91
860US39140,7.14
860US39759,30.83
860US38920,6.19
860US39170,13.89
860US39069,12.52
860US38945,21.74
860US39332,14.51
860US64093,28.95
860US90301,14.01
860US95545,9.9
860US80023,10.63
860US81227,0.0
860US80515,13.0
860US06412,10.33
860US06481,10.38
860US19716,99.48
860US34488,10.03
860US34202,9.4
860US62982,10.52
860US47708,1.22
860US51243,16.83
860US30660,16.28
860US41073,9.32
860US70357,9.17
860US71254,17.25
860US42464,8.82
860US41083,17.48
860US40444,10.03
860US41035,15.24
860US40057,14.42
860US41612,0.0
860US40025,20.83
860US40313,23.13
860US41725,0.0
860US40144,16.87
860US71360,14.65
860US71268,7.89
860US70575,0.0
860US71479,8.33
860US04039,7.04
860US04622,6.27
860US04354,10.33
860US04975,
860US04920,9.04
860US20899,2.31
860US21717,22.08
860US64125,10.8
860US63653,17.1
860US64066,13.16
860US65556,17.06
860US65623,0.0
860US65612,9.99
860US59456,31.23
860US59054,7.6
860US59735,9.41
860US59834,5.59
860US68137,9.83
860US69333,6.83
860US68841,13.69
860US68304,12.5
860US03280,6.7
860US03753,6.75
860US07621,13.62
860US08740,13.91
860US16244,3.52
860US15422,4.76
860US18444,9.41
860US17576,0.0
860US15049,7.78
860US19102,16.73
860US18617,18.34
860US29108,15.45
860US29030,5.91
860US29483,12.64
860US29591,12.07
860US29117,99.81
860US29368,0.0
860US57422,2.01
860US57054,7.07
860US37066,10.41
860US38301,17.12
860US37174,10.67
860US60129,4.62
860US61839,16.23
860US61049,15.89
860US60144,0.0
860US60302,9.56
860US60472,12.32
860US47421,10.71
860US47916,27.42
860US47860,11.46
860US46961,24.79
860US47281,5.0
860US50230,9.05
860US50227,0.0
860US50551,22.34
860US50105,14.55
860US52033,7.94
860US50559,20.21
860US51230,21.15
860US67747,13.45
860US66621,99.27
860US67457,12.2
860US40372,12.39
860US99109,13.09
860US99166,6.08
860US98304,0.0
860US98830,4.48
860US26405,21.5
860US26554,15.58
860US25271,10.27
860US98638,15.66
860US24844,3.35
860US24845,29.47
860US24736,5.68
860US26250,12.08
860US54521,8.88
860US24847,30.77
860US54985,14.22
860US83116,8.48
860US26151,3.46
860US98305,4.52
860US24656,7.65
860US19731,0.0
860US46376,20.15
860US54896,5.97
860US33404,12.05
860US35548,11.97
860US36775,5.96
860US71651,44.33
860US53504,9.69
860US03101,11.44
860US21802,0.0
860US02141,14.94
860US66019,9.21
860US61315,15.02
860US46987,8.9
860US48083,13.22
860US04490,9.77
860US06059,
860US80290,
860US99124,15.87
860US05747,10.84
860US76483,13.62
860US88134,0.0
860US07702,12.06
860US17083,15.69
860US84629,14.63
860US19103,7.95
860US15015,8.83
860US17250,0.0
860US43970,53.75
860US43529,16.77
860US12307,23.22
860US36522,13.3
860US30165,13.26
860US85922,0.0
860US85620,15.96
860US84531,19.28
860US96120,17.43
860US82063,36.92
860US93643,7.13
860US96080,11.93
860US95458,11.86
860US74578,16.62
860US97624,8.67
860US97343,8.37
860US97148,16.25
860US16616,3.28
860US97123,12.59
860US97424,10.49
860US17756,9.06
860US97758,4.04
860US97494,0.0
860US19442,
860US17887,6.47
860US15078,5.81
860US15737,4.69
860US15546,20.65
860US18428,12.46
860US18814,10.0
860US17041,31.05
860US85019,17.0
860US71665,12.72
860US71671,10.86
860US71998,100.0
860US72476,16.57
860US71837,12.27
860US71763,5.24
860US71858,14.0
860US93254,17.6
860US20520,
860US20427,
860US32714,11.26
860US32134,10.53
860US33498,9.85
860US31021,12.51
860US30521,10.69
860US31804,12.55
860US30252,15.37
860US39842,12.39
860US30474,12.47
860US95835,9.35
860US93203,18.71
860US95364,
860US91203,9.82
860US95363,15.43
860US93665,13.71
860US90071,
860US95724,75.0
860US80302,43.65
860US80746,0.0
860US81223,3.27
860US81243,14.85
860US80218,8.28
860US19977,11.92
860US20202,
860US34681,7.61
860US32097,12.17
860US30513,8.98
860US31318,43.52
860US31780,11.38
860US30326,12.64
860US30293,14.01
860US96786,18.17
860US83244,17.68
860US83544,9.79
860US83218,12.23
860US83467,10.22
860US62089,8.58
860US61243,11.29
860US62987,14.61
860US60171,8.56
860US60643,13.36
860US62865,5.61
860US61936,10.34
860US61039,12.06
860US47457,11.18
860US47337,16.95
860US46183,0.0
860US46068,11.45
860US47836,
860US47683,7.22
860US47969,7.24
860US52060,10.7
860US51244,17.95
860US50603,9.29
860US52647,10.48
860US51036,17.29
860US66216,14.56
860US66728,0.0
860US67520,6.55
860US40380,12.97
860US42431,11.91
860US41260,13.61
860US40404,96.72
860US42210,9.08
860US42411,11.44
860US40049,0.0
860US70549,17.15
860US70582,13.82
860US95441,13.01
860US94574,9.53
860US90621,14.79
860US95485,7.81
860US93664,5.15
860US37338,8.6
860US37374,11.99
860US76597,1.67
860US37132,96.48
860US37246,
860US75752,11.01
860US78076,16.19
860US79781,9.02
860US78653,10.17
860US77880,2.42
860US75779,0.0
860US78014,14.38
860US76305,8.5
860US75652,16.94
860US77575,13.58
860US76801,14.78
860US78058,10.08
860US76877,14.68
860US78881,9.0
860US75844,12.0
860US77954,9.65
860US78620,12.99
860US79731,14.42
860US76148,13.21
860US75929,8.92
860US75831,9.32
860US79081,11.7
860US76676,9.09
860US24153,15.34
860US84648,14.6
860US84751,14.92
860US05056,11.0
860US05079,6.46
860US05405,100.0
860US22514,5.75
860US24483,6.56
860US24013,13.64
860US22845,0.0
860US17885,4.67
860US98045,9.33
860US99203,11.09
860US26562,5.29
860US26763,7.94
860US15027,8.1
860US54143,11.5
860US97838,13.24
860US36766,0.0
860US35650,10.66
860US36784,11.57
860US35579,8.17
860US36268,12.14
860US99833,15.36
860US99701,16.49
860US99654,13.09
860US86520,20.01
860US86326,11.48
860US85924,7.27
860US29670,12.94
860US57346,14.52
860US37324,12.05
860US57236,10.87
860US37377,9.71
860US37315,100.0
860US37725,10.23
860US38029,
860US38047,0.0
860US37770,9.27
860US70772,10.2
860US70128,13.43
860US70648,14.55
860US04450,7.74
860US04472,8.56
860US33432,10.56
860US83823,8.35
860US46327,19.99
860US61112,0.0
860US04851,0.0
860US60958,13.28
860US46799,11.64
860US20818,16.59
860US50314,14.32
860US70517,13.49
860US40383,12.16
860US49878,12.1
860US04739,9.08
860US38844,17.0
860US63775,11.69
860US01340,11.01
860US49248,11.75
860US02343,16.72
860US49780,16.68
860US07720,10.42
860US87830,10.12
860US49722,10.71
860US27053,10.16
860US65802,19.97
860US65742,11.46
860US58801,13.73
860US07079,23.4
860US07870,28.57
860US03447,8.23
860US07723,16.12
860US02873,0.0
860US57754,9.69
860US10605,9.43
860US37738,11.25
860US11207,13.89
860US37620,12.24
860US79346,11.74
860US75488,4.06
860US05488,11.55
860US57641,5.65
860US24605,12.18
860US23310,11.39
860US24426,12.0
860US98422,11.85
860US99114,11.19
860US25514,9.11
860US28533,90.76
860US28032,10.1
860US45142,12.99
860US58368,8.99
860US58622,7.44
860US58007,20.39
860US43467,24.71
860US43008,6.81
860US44615,13.42
860US45745,9.95
860US44682,9.51
860US44507,11.37
860US43142,15.69
860US43736,2.86
860US43750,7.83
860US44011,10.46
860US74016,10.62
860US74003,13.53
860US74464,22.03
860US73441,27.88
860US97525,9.55
860US97064,8.76
860US97355,9.96
860US97434,15.59
860US16617,10.68
860US97886,14.24
860US16340,14.37
860US17097,7.6
860US15557,13.16
860US15420,7.93
860US16652,16.08
860US19559,9.05
860US18430,0.0
860US15301,13.17
860US17965,8.97
860US15901,6.82
860US17829,16.09
860US19564,0.0
860US15077,13.33
860US17920,10.76
860US17822,
860US19107,15.75
860US02876,20.96
860US29646,13.32
860US29003,12.4
860US29014,10.44
860US29135,15.14
860US10456,16.61
860US13343,6.38
860US14456,22.31
860US11417,14.46
860US13440,11.26
860US13856,10.28
860US11104,7.61
860US10024,5.14
860US12456,16.33
860US10535,3.98
860US11212,12.32
860US11694,8.27
860US11415,9.82
860US28777,7.62
860US27827,18.97
860US27891,18.63
860US28465,4.94
860US38053,11.08
860US37727,10.54
860US11209,9.04
860US37148,13.62
860US10703,13.51
860US79714,14.45
860US75551,8.42
860US78851,0.0
860US28607,43.9
860US58239,35.71
860US98244,13.51
860US99141,6.42
860US26836,11.28
860US86054,11.53
860US82835,11.86
860US35654,12.85
860US35242,11.77
860US02139,21.08
860US63853,12.32
860US70139,
860US47654,41.46
860US50673,12.87
860US02180,8.69
860US04952,9.28
860US01199,
860US92662,7.71
860US99174,20.0
860US24577,7.22
860US07662,13.86
860US88028,0.0
860US11360,6.62
860US14854,0.0
860US87025,5.82
860US16253,2.78
860US84329,54.55
860US15715,12.42
860US38562,9.14
860US04068,13.89
860US04750,23.74
860US03579,0.58
860US50272,4.2
860US21871,15.02
860US46814,11.22
860US02647,0.0
860US48081,10.01
860US04654,15.49
860US55605,13.3
860US20812,12.92
860US59917,12.24
860US59761,6.83
860US59313,11.9
860US59724,0.0
860US03832,7.43
860US08751,15.39
860US07756,5.27
860US88256,12.11
860US48440,10.71
860US13064,13.66
860US55041,9.22
860US27983,10.6
860US45898,8.36
860US73560,12.63
860US73932,11.15
860US07846,0.0
860US29720,11.88
860US29512,11.41
860US20762,17.54
860US01532,11.44
860US01719,13.43
860US48322,12.83
860US48014,15.73
860US48614,11.13
860US48034,9.9
860US49938,11.7
860US49879,8.87
860US56470,9.6
860US56162,8.07
860US56082,24.19
860US55723,10.24
860US55055,12.81
860US56676,7.67
860US56369,11.84
860US38632,13.14
860US39116,16.0
860US39090,12.41
860US39094,10.43
860US39633,11.25
860US63650,10.75
860US65706,13.01
860US65041,9.74
860US63041,12.5
860US64109,14.11
860US63084,15.16
860US63117,8.38
860US65254,13.98
860US59101,12.7
860US59405,17.23
860US59032,13.92
860US68844,4.21
860US69163,12.73
860US68068,6.41
860US69357,12.12
860US89143,10.34
860US03835,17.87
860US03242,22.65
860US07031,11.45
860US08738,2.41
860US87499,6.59
860US87827,0.0
860US87325,13.5
860US87711,1.68
860US88355,
860US87053,10.29
860US11451,
860US01029,7.83
860US48312,12.14
860US48667,
860US48743,0.0
860US48066,13.49
860US55744,9.77
860US55786,10.61
860US55075,14.11
860US56647,7.9
860US55431,9.41
860US55155,
860US39365,11.29
860US39439,9.85
860US39565,12.93
860US35545,22.13
860US36051,10.68
860US36471,15.23
860US36067,13.62
860US35446,12.83
860US35580,11.0
860US35034,16.9
860US35960,8.67
860US35254,82.85
860US99733,1.35
860US36280,7.95
860US86556,30.44
860US85932,10.05
860US71646,12.42
860US36524,16.57
860US84536,18.94
