HEROP_ID,MedcdExp,ExpSsp,NoPrphLw,NtPrFrDsSy,PrExcInj,PrNtRefInj,NoLwRmUnc
040US28,5526832167,0,0,0,0,0,1
040US37,13780306363,1,0,0,0,0,0
040US40,5119072454,0,0,0,0,0,1
040US51,11356482821,1,0,0,0,0,0
040US54,3950044130,0,0,1,0,0,0
040US22,11832706272,1,0,0,0,0,0
040US26,18357881940,0,0,1,0,0,0
040US25,17622935900,1,0,1,0,1,0
040US16,2162996139,1,0,0,0,0,0
040US12,24504283362,1,0,0,0,0,0
040US31,2178227037,0,0,0,0,0,1
040US53,14959703300,1,0,0,0,0,0
040US35,5278429102,1,0,0,0,0,0
040US46,906411270,0,0,0,0,0,1
040US48,40796277797,0,0,0,0,0,1
040US06,88735876561,1,0,0,0,0,0
040US01,5916189723,0,0,0,0,0,1
040US13,10908940349,1,0,0,0,0,0
040US42,32241387916,0,0,0,0,0,1
040US29,10252142000,0,0,0,0,0,1
040US08,9299627439,1,0,0,0,0,0
040US49,2758078549,1,0,0,0,0,0
040US47,10160181851,1,0,0,0,0,0
040US56,593682253,0,0,0,0,0,1
040US36,60281679030,1,0,0,0,0,0
040US20,3620593018,0,0,0,0,0,1
040US02,2113813188,0,1,0,0,0,0
040US32,3995621251,1,0,0,1,0,0
040US17,18589281649,1,0,0,0,0,0
040US50,1639381130,1,0,1,0,0,0
040US30,1888589216,1,0,0,0,0,0
040US19,5268433098,0,0,0,0,0,1
040US45,6512470426,0,0,0,0,1,0
040US33,1998974283,1,0,0,0,1,0
040US04,13178700072,0,0,0,0,0,1
040US11,2901113778,1,0,0,0,0,0
040US34,16092750284,1,0,0,0,0,0
040US24,11808141383,1,0,0,0,0,0
040US23,2941220236,1,0,0,0,0,0
040US15,2223706647,1,0,0,0,0,0
040US10,2254530291,1,0,0,0,0,0
040US44,2599424865,1,0,0,0,1,0
040US21,10246350395,1,0,0,0,0,0
040US39,23650438546,1,0,0,0,0,0
040US55,9224879953,0,0,0,1,0,0
040US41,9483314126,0,0,0,1,0,0
040US38,1174487740,1,0,0,0,0,0
040US05,6899029518,0,0,1,0,0,0
040US18,12497966677,1,0,0,0,1,0
040US27,12767857927,1,0,0,0,0,0
040US09,8598198181,1,0,0,0,1,0
