HEROP_ID,Age15_24P,ForDqP,ForDqTot
040US28,14.22,13.98,74.98
040US37,13.56,8.54,64.7
040US40,13.86,9.49,39.61
040US51,13.45,7.83,72.74
040US54,12.49,9.28,43.21
040US22,13.53,10.84,50.2
040US26,13.92,15.31,87.62
040US25,13.94,9.57,68.72
040US16,13.87,6.28,62.24
040US12,12.07,18.45,200.21
040US31,13.98,8.02,36.59
040US53,12.74,5.53,48.09
040US35,13.77,7.39,39.08
040US46,13.63,6.84,18.91
040US48,14.29,9.65,56.57
040US06,13.78,13.7,126.0
040US01,13.53,10.68,54.4
040US13,13.98,12.97,110.09
040US42,13.04,8.16,44.8
040US29,13.43,9.58,61.91
040US08,13.25,9.84,80.8
040US49,16.14,6.16,60.09
040US47,13.18,10.85,69.9
040US56,13.17,4.08,23.06
040US36,13.16,8.35,35.12
040US20,14.36,8.33,41.11
040US02,14.11,4.67,24.11
040US32,12.3,19.26,201.96
040US17,13.44,11.71,78.12
040US50,14.26,5.51,24.1
040US30,13.24,4.79,20.11
040US19,14.16,7.86,39.23
040US45,13.34,10.58,69.99
040US33,13.31,7.69,58.34
040US04,13.77,14.24,148.17
040US11,13.37,7.09,37.66
040US34,12.7,9.83,66.75
040US24,12.89,8.94,85.45
040US23,11.79,9.54,49.56
040US15,12.27,5.53,41.27
040US10,12.72,7.35,56.28
040US44,14.42,12.24,92.47
040US21,13.45,10.88,53.37
040US39,13.29,14.76,82.39
040US55,13.56,9.73,57.3
040US41,12.52,5.21,43.23
040US38,15.19,4.17,11.68
040US05,13.56,9.39,46.92
040US18,14.1,14.76,95.37
040US27,13.0,9.29,63.59
040US09,13.76,8.46,55.12
