HEROP_ID,OtpCtTmDr,OtpAvTmDr,OtpTmDrP
040US28,192,56.06,0.29
040US37,1754,19.83,0.8
040US40,633,29.53,0.61
040US51,1414,22.41,0.74
040US54,210,39.98,0.43
040US22,686,32.94,0.6
040US26,2037,24.42,0.73
040US25,1443,10.18,0.98
040US16,88,43.05,0.3
040US12,3420,20.57,0.81
040US31,277,25.65,0.52
040US53,1092,24.18,0.75
040US35,308,31.19,0.62
040US46,48,45.81,0.22
040US48,4065,21.27,0.77
040US06,7448,13.54,0.92
040US01,658,33.28,0.56
040US13,1559,21.0,0.79
040US42,2742,16.86,0.85
040US29,814,33.09,0.58
040US08,1007,21.32,0.81
040US49,491,19.31,0.84
040US47,885,30.28,0.59
040US56,0,86.42,0.0
040US36,4326,14.36,0.88
040US20,393,33.75,0.51
040US02,90,37.31,0.54
040US32,596,15.72,0.87
040US17,2550,17.71,0.82
040US50,98,30.38,0.53
040US30,83,51.95,0.31
040US19,265,49.93,0.32
040US45,733,26.03,0.66
040US33,213,25.76,0.72
040US04,1309,17.44,0.85
040US11,179,5.62,1.0
040US34,1968,10.43,0.98
040US24,1334,11.84,0.95
040US23,167,39.97,0.47
040US15,226,28.33,0.65
040US10,218,10.2,1.0
040US44,241,8.62,0.99
040US21,668,28.45,0.6
040US39,2465,17.13,0.84
040US55,880,29.55,0.63
040US41,567,29.34,0.68
040US38,60,48.81,0.29
040US05,244,50.94,0.36
040US18,973,25.56,0.64
040US27,807,31.78,0.6
040US09,821,10.27,0.99
