HEROP_ID,NoIntP
050US21007,20.49
050US21017,22.81
050US21031,28.62
050US21065,28.73
050US21069,23.93
050US21093,15.16
050US21099,27.49
050US21131,27.09
050US21151,15.74
050US21155,22.75
050US21179,13.97
050US17091,18.73
050US17187,13.6
050US17197,8.88
050US18027,28.56
050US18061,25.9
050US01001,17.21
050US01005,32.61
050US01023,32.6
050US01035,44.1
050US01051,15.85
050US01055,19.48
050US01065,33.84
050US01089,10.61
050US01113,23.37
050US01117,9.26
050US02016,18.2
050US02130,10.93
050US02180,22.82
050US02282,26.94
050US05011,27.47
050US05015,24.96
050US05019,25.44
050US05025,34.69
050US05063,28.31
050US05067,29.71
050US05121,25.51
050US06001,8.77
050US06003,10.0
050US06005,11.61
050US06013,6.62
050US06019,16.79
050US06023,13.67
050US06033,20.87
050US06037,12.56
050US06047,13.42
050US06057,11.45
050US06081,7.18
050US06085,6.03
050US06115,13.86
050US08013,6.14
050US08029,21.58
050US08049,10.04
050US08077,11.48
050US08083,24.27
050US08091,9.25
050US09009,13.49
050US11001,14.06
050US12009,10.08
050US12023,17.18
050US12039,36.6
050US12055,21.95
050US12065,23.03
050US12073,8.82
050US12095,10.34
050US12107,23.7
050US12123,24.73
050US12127,16.47
050US12131,13.89
050US12133,21.74
050US13009,20.97
050US13027,26.22
050US13103,14.96
050US13121,9.75
050US13141,47.04
050US13149,27.19
050US13179,11.16
050US13183,13.89
050US13189,31.96
050US13209,22.05
050US13229,30.66
050US13267,24.56
050US13271,59.55
050US13291,19.76
050US13305,20.98
050US13319,34.03
050US15007,12.27
050US16015,15.23
050US16023,15.2
050US16025,23.35
050US16027,14.33
050US16037,18.32
050US16039,14.77
050US16043,15.57
050US16061,29.28
050US16063,23.9
050US16085,8.25
050US19175,18.1
050US20053,19.97
050US20095,19.76
050US20135,20.17
050US20199,18.08
050US48011,15.85
050US48025,34.56
050US48035,20.48
050US48053,18.46
050US48055,25.46
050US48083,20.89
050US29057,23.96
050US29143,25.76
050US29157,18.35
050US29189,10.72
050US29199,21.49
050US29207,23.12
050US30015,25.33
050US30023,24.24
050US30029,12.89
050US30039,18.35
050US30057,16.33
050US30071,25.09
050US30077,21.06
050US30085,31.65
050US30087,25.77
050US30105,16.98
050US31091,27.99
050US53065,21.23
050US21189,34.51
050US21195,24.3
050US21217,21.22
050US21237,35.92
050US21239,13.61
050US22001,20.98
050US22009,27.03
050US22011,20.27
050US22029,31.88
050US22031,25.82
050US22033,12.75
050US22047,22.76
050US22071,23.48
050US22081,29.95
050US22099,21.3
050US22119,47.39
050US23013,10.63
050US23015,14.93
050US24003,7.11
050US18103,19.05
050US18129,17.59
050US18147,24.7
050US19001,22.91
050US19045,19.61
050US19083,22.2
050US19111,20.54
050US31167,14.72
050US34003,8.73
050US34007,13.88
050US34013,16.23
050US34023,9.4
050US34041,11.24
050US35007,29.51
050US35011,28.42
050US35051,33.99
050US36013,18.6
050US36029,15.39
050US36043,16.33
050US36045,13.53
050US36047,17.28
050US36053,14.18
050US36065,15.88
050US36077,16.89
050US36081,14.19
050US36091,8.1
050US36115,16.92
050US37007,22.92
050US37027,19.22
050US37039,21.1
050US37049,16.44
050US37055,7.35
050US37059,14.29
050US37069,19.21
050US37083,34.47
050US37091,31.87
050US37093,17.23
050US37099,21.52
050US37111,23.57
050US37117,25.5
050US37127,21.03
050US37165,34.99
050US37175,16.36
050US37199,26.96
050US38017,9.37
050US38037,25.23
050US38085,38.04
050US38099,27.99
050US39035,17.99
050US39039,16.09
050US39043,14.5
050US39125,20.19
050US40065,14.11
050US48103,32.72
050US48141,17.57
050US48151,26.42
050US48161,29.14
050US48167,11.24
050US48199,15.61
050US48213,21.82
050US48229,38.55
050US48241,28.68
050US48245,25.18
050US48261,51.78
050US48289,23.76
050US48317,29.34
050US48333,26.37
050US48347,17.51
050US48361,16.02
050US48371,30.46
050US48395,23.48
050US48423,16.32
050US48427,38.86
050US48457,25.42
050US48471,16.43
050US48475,22.83
050US48477,24.27
050US48499,18.55
050US49001,21.56
050US49003,10.27
050US49011,5.98
050US40073,22.14
050US40079,28.52
050US40145,11.13
050US41005,8.59
050US41021,20.43
050US41033,14.32
050US41035,16.65
050US41039,10.43
050US41043,13.09
050US41051,9.2
050US41055,15.64
050US41061,14.98
050US42005,20.89
050US42029,8.87
050US42035,19.18
050US42059,18.3
050US42067,23.77
050US42091,8.41
