HEROP_ID,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD,MlHcvD,FlHcvD,AmInHcvD,AsPiHcvD,BlkHcvD,HspHcvD,U50HcvD,A50_74HcvD,O75HcvD,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MdMarijLaw
040US28,22900,15200,7800,5700,16600,600,7800,15200,159,113,46.0,,,43.0,,10.0,131.0,,170.8,121.4,49.4,,,41.0,,10.2,132.8,1.2,1.0,1.0,1,0,1.0,1/1/2005,6/1/2006,7/1/2008,,6/30/2006,7/1/2015,7/1/2015,1.0,1,7/1/2015,7/1/2015,,1.0,1.0,0.0,0
040US37,66400,44500,21400,17600,46900,1400,21800,44200,460,330,130.0,11.0,,104.0,,17.0,409.0,,504.6,361.4,143.2,6.2,,136.2,8.0,36.2,432.4,3.6,1.0,1.0,1,0,1.0,8/13/2005,1/1/2006,7/1/2007,,1/1/2006,4/9/2013,,1.0,0,5/1/2013,5/1/2013,,1.0,1.0,0.0,0
040US40,53300,38000,19600,15000,41500,1100,5700,52100,555,375,180.0,59.0,,61.0,25.0,71.0,446.0,19.0,509.6,345.0,164.6,55.6,,43.6,19.6,58.4,416.2,11.4,1.0,1.0,1,1,1.0,5/15/1990,1/1/1991,7/1/2006,11/1/2015,5/15/1990,,,0.0,0,11/1/2013,,11/1/2014,1.0,0.0,1.0,0
040US51,39900,26100,11400,10000,26300,1000,13600,23800,290,226,64.0,,10.0,96.0,,13.0,252.0,,324.2,240.4,83.8,,3.4,108.8,,18.4,282.6,1.4,1.0,1.0,1,1,1.0,4/1/2003,9/1/2003,6/1/2006,7/1/2015,4/1/2003,7/1/2015,,1.0,0,7/1/2013,5/1/2015,,1.0,1.0,0.0,0
040US54,20600,14400,6900,10100,10900,200,1600,19800,116,82,34.0,,,,,,89.0,,111.0,81.6,29.4,,,4.2,,6.6,78.2,,1.0,1.0,1,1,1.0,6/11/1995,6/1/1995,5/1/2013,6/8/2012,6/11/1995,6/12/2015,,1.0,0,6/1/2015,7/1/2016,,1.0,1.0,0.0,0
040US22,50000,35400,17200,14500,36400,1700,24300,28300,382,279,103.0,,,166.0,,12.0,328.0,15.0,374.0,268.4,105.6,,,159.8,1.2,23.4,311.2,7.4,1.0,1.0,1,0,1.0,7/1/2006,7/1/2006,1/1/2009,,7/1/2006,8/1/2014,,1.0,0,9/1/2015,9/1/2015,,1.0,1.0,0.0,0
040US26,69100,46000,22900,19600,47600,1700,24900,44100,368,256,112.0,,,115.0,17.0,,328.0,11.0,464.4,330.0,134.4,,,149.8,21.4,17.2,401.8,22.2,1.0,1.0,1,0,1.0,1/1/1988,1/1/1990,1/1/2003,,1/3/2002,1/4/2017,,1.0,0,11/1/2014,4/1/2017,,1.0,0.75,0.0,1
040US25,38100,26800,10800,13600,23000,800,5300,32400,267,191,76.0,,,44.0,41.0,16.0,215.0,,284.6,204.6,80.0,,1.4,36.8,38.2,24.8,226.4,4.2,1.0,1.0,1,1,1.0,1/1/1992,12/1/1992,1/1/2011,7/1/2014,1/1/1994,8/2/2012,,1.0,0,9/1/2012,7/1/2014,,1.0,1.0,0.0,1
040US16,11200,7500,3700,2500,8500,200,100,11100,84,60,24.0,,,,,,60.0,,103.6,75.6,28.0,,,,3.8,,83.0,,1.0,1.0,1,0,1.0,1/1/1967,1/1/1990,4/1/2008,,4/4/2000,7/1/2018,,0.5,0,7/1/2015,,7/1/2015,1.0,0.0,1.0,0
040US12,151000,104300,46600,37200,109000,4400,27300,123900,1222,870,352.0,,13.0,171.0,144.0,99.0,1004.0,110.0,1248.2,881.6,366.6,,6.6,168.8,136.6,91.6,1048.2,93.2,1.0,1.0,1,0,1.0,6/18/2009,12/1/2010,10/1/2011,,7/1/2009,10/1/2012,,1.0,0,7/1/2015,7/1/2016,,1.0,1.0,0.0,1
040US31,7900,5000,2500,1500,5800,200,1700,5900,79,51,28.0,,,17.0,,,67.0,,81.2,57.0,24.2,,,12.2,,3.4,56.6,,1.0,1.0,1,0,1.0,4/14/2011,8/1/2011,1/1/2017,,8/27/2011,8/24/2017,8/24/2017,1.0,1,6/1/2015,,,1.0,0.0,0.0,0
040US53,54200,37500,16900,9400,43300,1600,5600,49000,528,375,153.0,26.0,17.0,39.0,35.0,17.0,472.0,12.0,586.4,409.2,177.2,23.6,24.4,42.2,34.4,26.6,510.8,27.0,1.0,1.0,1,0,1.0,7/22/2007,8/1/2011,1/1/2012,,7/22/2007,6/10/2010,,1.0,0,7/1/2010,8/1/2015,,1.0,1.0,0.0,1
040US35,26700,19800,8300,9100,18300,600,700,27500,175,143,32.0,,,,99.0,11.0,142.0,,201.4,153.2,48.2,9.8,,,112.0,22.2,157.4,,1.0,1.0,1,1,1.0,7/15/2004,7/1/2004,8/1/2005,9/28/2012,7/15/2004,6/15/2007,,1.0,0,5/1/2001,4/1/2016,4/1/2014,1.0,1.0,1.0,1
040US46,3700,2300,1100,1200,2100,100,100,3300,29,21,,,,,,,,,31.6,22.8,1.4,,,,,,5.6,,1.0,1.0,1,0,1.0,3/29/2010,3/1/2010,3/1/2012,,7/1/2010,7/1/2017,7/1/2017,1.0,1,7/1/2016,7/1/2016,,1.0,1.0,0.0,0
