HEROP_ID,PcpPer100k,SpPer100k
140US01117030317,0.0,0.0
140US01119011500,68.49,22.83
140US01121010900,354.61,515.8
140US01125010102,363.52,1321.88
140US01089000701,0.0,0.0
140US01089002200,0.0,0.0
140US01089003000,38.62,0.0
140US01095030902,0.0,0.0
140US01097000401,0.0,0.0
140US01097000402,0.0,0.0
140US01097000902,102.62,0.0
140US01097001302,0.0,0.0
140US01097002200,0.0,0.0
140US01003011501,153.4,511.33
140US01009050500,13.41,0.0
140US01015000300,0.0,0.0
140US01015001600,0.0,0.0
140US01025957700,0.0,0.0
140US01025958002,0.0,0.0
140US01031011000,0.0,0.0
140US01031011100,824.93,641.61
140US01033020500,0.0,0.0
140US01037961200,0.0,0.0
140US01039961700,49.26,0.0
140US01039962300,0.0,0.0
140US01039962800,0.0,0.0
140US01047956202,0.0,0.0
140US01047956701,0.0,0.0
140US01053969800,0.0,0.0
140US01055000300,37.98,0.0
140US01055000500,56.02,0.0
140US01059972900,0.0,0.0
140US01063060000,0.0,0.0
140US01069040301,25.95,259.54
140US01069041200,0.0,0.0
140US01071950400,0.0,0.0
140US01073000400,0.0,29.32
140US01073000700,0.0,0.0
140US01073002900,0.0,51.02
140US01073004800,99.16,247.89
140US01073005101,0.0,0.0
140US01073010500,0.0,0.0
140US01073011207,0.0,18.98
140US01073012910,30.88,1050.03
140US01073014405,0.0,0.0
140US01077010700,0.0,0.0
140US01079979300,0.0,0.0
140US01081040400,28.05,70.14
140US01081040700,37.24,37.24
140US01083020801,24.19,24.19
140US01085781100,0.0,0.0
140US01089000302,0.0,0.0
140US01101001400,27.61,0.0
140US01101002800,19.41,0.0
140US01101005410,0.0,56.86
140US01103000200,0.0,0.0
140US01103005303,263.7,87.9
140US01105686800,0.0,0.0
140US01107050400,59.08,39.39
140US01113030200,86.58,0.0
140US01117030215,0.0,0.0
140US01125010204,61.86,226.8
140US01125010601,0.0,0.0
140US01125011901,0.0,33.65
140US01125012800,0.0,0.0
140US01129044000,58.98,0.0
140US01133965700,24.39,24.39
140US01097002800,0.0,62.46
140US01097003606,0.0,691.05
140US01097003708,81.68,0.0
140US01097005900,0.0,0.0
140US01097006701,100.23,0.0
140US01099076200,0.0,0.0
140US01003010500,165.32,404.11
140US01129044100,0.0,0.0
140US01131035200,61.96,0.0
140US01133965600,36.98,0.0
140US01055010800,0.0,35.12
140US01059973000,183.28,201.61
140US01063060100,55.65,0.0
140US01063060200,0.0,0.0
140US01065040100,0.0,0.0
140US01065040300,0.0,0.0
140US01069040302,0.0,0.0
140US01073011803,20.61,0.0
140US01077010600,30.16,0.0
140US01081040300,0.0,0.0
140US01081040800,0.0,0.0
140US01081041300,138.05,745.44
140US01025957800,44.12,0.0
140US01031010800,0.0,0.0
140US01051031100,24.38,0.0
140US01055000600,50.51,0.0
140US01087232300,73.31,0.0
140US01055000700,0.0,0.0
140US01089001000,0.0,0.0
140US01089001500,0.0,0.0
140US01089001903,0.0,661.96
140US01089002701,151.23,151.23
140US01089003100,1329.16,3498.83
140US01089010624,0.0,0.0
140US01089011013,0.0,0.0
140US01091973300,0.0,0.0
140US01095030701,257.14,142.86
140US01073012908,66.14,99.21
140US01073013002,0.0,0.0
140US01073013902,269.06,0.0
140US01073014102,0.0,0.0
140US01073014408,732.19,337.93
140US01003011407,100.32,60.19
140US01005950300,0.0,0.0
140US01009050102,56.55,0.0
140US01013952800,160.64,160.64
140US01015000200,665.62,1487.86
140US01015000400,0.0,0.0
140US01015001700,0.0,0.0
140US01017954400,0.0,0.0
140US01097002501,0.0,0.0
140US01097003204,189.8,352.49
140US01097003404,0.0,0.0
140US01097003502,42.3,0.0
140US01097003706,0.0,0.0
140US01097003902,105.15,0.0
140US01073002200,0.0,116.32
140US01073003200,240.0,80.0
140US01073003900,0.0,0.0
140US01073005000,0.0,59.44
140US01073005702,0.0,0.0
140US01073010100,0.0,0.0
140US01101005606,46.47,0.0
140US01097005100,0.0,0.0
140US01097006404,0.0,0.0
140US01097006405,0.0,54.41
140US01101005612,0.0,0.0
140US01103000300,0.0,171.41
140US01097007700,244.3,81.43
140US01099075800,0.0,0.0
140US01101000600,2051.58,3575.62
140US01101001200,0.0,0.0
140US01073010702,179.25,1115.32
140US01073010900,0.0,0.0
140US01073011802,0.0,0.0
140US01101002700,282.73,239.23
140US01101005301,0.0,0.0
140US01101005604,395.37,1496.75
140US01103000900,0.0,20.15
140US01111000100,0.0,0.0
140US01111000300,98.38,49.19
140US01113030500,83.37,125.05
140US01117030211,0.0,0.0
140US01117030319,1538.46,2624.43
140US01117980000,,inf
140US01121010700,0.0,0.0
140US01121011100,0.0,0.0
140US01125010103,0.0,0.0
140US01125010405,0.0,0.0
140US01125011401,0.0,0.0
140US01125011703,0.0,0.0
140US01019955702,27.11,0.0
140US01023956800,49.52,0.0
140US01097006901,0.0,0.0
140US01043965401,0.0,0.0
140US01045020500,322.75,215.17
140US01047956400,0.0,32.26
140US01047957000,0.0,0.0
140US01033020200,0.0,103.79
140US01037961100,0.0,0.0
140US01083020600,210.84,421.67
