HEROP_ID,TotPop,TotUnits,Ovr65P,WhiteP,BlackP,AmIndP,PacIsP,OtherP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkP,MobileP,LngTermP,RentalP,UnitDens
050US21007,7914,3915,21.4,93.0,4.9,0.2,0.0,0.3,16.2,5.5,22.0,7797.0,6252.0,3195,18.2,10.5,6.5,1.8,32141,26911,0.4612,6.5,27.9,17.4,11.6,53.6,17.3,30.0,50.9,15.9
050US21017,19998,9085,19.2,91.2,6.6,0.0,0.0,0.1,14.1,5.6,12.1,19760.0,15506.0,9250,17.0,6.0,4.7,4.2,32273,27676,0.4597,6.1,30.7,13.6,11.7,48.7,5.6,22.2,89.0,31.4
050US21031,12756,5976,18.1,96.6,0.5,0.1,0.0,0.5,17.7,7.4,19.3,12544.0,9850.0,5077,20.3,8.6,6.8,3.7,31385,22672,0.4446,10.2,39.6,13.3,6.1,59.0,29.0,28.0,69.0,14.0
050US21065,14187,6929,19.1,97.1,0.1,0.4,0.0,0.9,26.9,10.1,18.6,14062.0,11233.0,4806,27.7,5.2,8.6,2.4,29107,18609,0.453,10.8,34.9,12.0,13.3,60.5,20.4,31.1,69.6,27.4
050US21069,14519,6732,17.9,96.3,2.2,0.2,0.0,0.2,18.9,8.4,12.5,14487.0,10992.0,5726,24.3,8.4,4.1,2.3,32859,23512,0.4627,11.2,36.0,15.2,12.3,57.9,31.9,24.9,67.9,19.3
050US21093,109627,46970,14.1,78.4,12.0,0.2,0.0,0.7,11.6,6.7,10.5,106907.0,79654.0,47832,17.0,16.5,6.4,2.5,37514,30779,0.4559,7.9,22.1,13.2,12.0,50.0,9.8,18.5,94.0,75.3
050US21099,18833,9162,16.8,93.3,4.6,0.2,0.0,0.5,22.4,4.0,20.8,18567.0,14190.0,7607,21.4,8.3,6.7,2.9,30879,21542,0.4607,7.0,40.7,9.2,9.2,64.1,19.0,22.4,65.5,22.2
050US21131,10081,5424,17.9,97.1,0.2,0.0,0.0,0.4,31.5,5.7,23.4,9759.0,7965.0,3336,30.3,3.9,9.2,2.9,29284,18011,0.4195,12.6,24.7,17.1,9.4,66.0,33.8,37.8,40.3,13.5
050US21151,92090,36978,13.8,91.1,4.3,0.4,0.0,0.5,17.9,6.5,8.4,85648.0,72942.0,43048,17.0,7.8,5.4,5.0,30555,26528,0.4645,14.4,19.6,13.6,11.3,47.8,8.0,17.5,91.4,84.5
050US21155,19257,8336,16.8,89.9,7.3,0.2,0.0,0.2,21.3,7.9,10.8,18242.0,14610.0,7609,20.6,7.4,5.5,2.3,33620,22747,0.439,12.7,38.4,10.0,9.5,61.3,15.0,31.0,61.1,24.3
050US21179,45915,19211,15.9,92.1,5.1,0.1,0.0,0.5,7.7,3.3,6.4,45385.0,34995.0,22054,17.1,9.1,4.9,1.9,37685,30856,0.4227,7.5,33.0,13.5,10.1,55.8,6.7,23.5,51.0,46.0
050US17091,109924,45626,16.7,78.1,14.9,0.2,0.0,0.2,13.0,5.4,11.7,104421.0,84804.0,50893,13.4,7.6,6.2,3.3,37273,28445,0.4308,9.8,22.7,17.5,11.9,55.5,6.3,23.9,77.2,67.4
050US17187,16981,7683,19.1,87.8,4.0,1.0,0.0,0.2,11.5,8.5,11.6,15837.0,13268.0,7943,13.6,8.2,4.6,0.9,33831,27899,0.411,16.4,23.3,16.1,9.4,53.8,2.4,28.6,51.4,14.2
050US17197,689704,245246,13.1,72.0,11.3,0.4,0.0,0.3,6.8,4.9,5.2,680424.0,517722.0,353027,9.0,5.3,6.6,1.9,45948,37967,0.4087,8.9,19.1,13.2,11.8,45.0,1.3,21.0,47.3,293.4
050US18027,33277,12565,15.4,92.7,1.7,0.0,0.0,0.4,11.9,3.5,9.6,32691.0,23504.0,14719,14.3,7.6,5.1,2.4,32547,23600,0.4247,5.4,40.2,10.2,14.0,60.9,8.0,28.5,66.1,29.3
