HEROP_ID,RxCtTmDr,RxAvTmDr,RxTmDrP
040US28,638,7.46,0.96
040US37,2167,5.7,0.99
040US40,1012,5.72,0.97
040US51,1888,5.28,0.99
040US54,463,6.84,0.96
040US22,1105,5.66,0.96
040US26,2731,5.58,0.97
040US25,1475,2.65,1.0
040US16,262,9.59,0.88
040US12,4212,3.47,0.99
040US31,515,5.57,0.97
040US53,1406,5.97,0.96
040US35,443,11.02,0.89
040US46,192,11.6,0.85
040US48,5153,4.52,0.98
040US06,7971,3.15,0.99
040US01,1150,6.29,0.97
040US13,1946,5.38,0.99
040US42,3193,3.68,0.99
040US29,1352,5.72,0.97
040US08,1205,6.04,0.96
040US49,566,6.01,0.96
040US47,1475,6.12,0.99
040US56,113,11.69,0.86
040US36,4883,2.85,0.99
040US20,744,5.59,0.97
040US02,128,76.08,0.77
040US32,668,5.4,0.97
040US17,3090,3.65,0.99
040US50,170,10.92,0.92
040US30,209,18.11,0.77
040US19,813,6.33,0.99
040US45,1086,6.07,0.98
040US33,288,7.11,0.98
040US04,1444,7.0,0.94
040US11,179,1.3,1.0
040US34,2009,1.87,1.0
040US24,1399,3.49,1.0
040US23,326,14.38,0.91
040US15,342,12.24,0.97
040US10,218,2.92,1.0
040US44,244,2.47,1.0
040US21,1094,6.7,0.98
040US39,2947,4.29,1.0
040US55,1365,6.05,0.97
040US41,788,6.98,0.94
040US38,176,11.01,0.86
040US05,652,6.95,0.95
040US18,1503,5.34,0.99
040US27,1287,6.22,0.96
040US09,833,3.14,1.0
