HEROP_ID,Ruca1,Ruca2,Rurality
860US36083,7.0,7.0,Rural
860US35441,2.0,2.0,Suburban
860US35051,2.0,2.0,Suburban
860US35121,7.0,7.1,Rural
860US35058,5.0,5.0,Rural
860US35619,2.0,2.0,Suburban
860US35016,7.0,7.1,Rural
860US36115,1.0,1.0,Urban
860US36353,2.0,2.0,Suburban
860US36728,10.0,10.0,Rural
860US35229,1.0,1.0,Urban
860US99574,10.0,10.0,Rural
860US99729,10.0,10.0,Rural
860US36027,7.0,7.0,Rural
860US35470,10.0,10.0,Rural
860US86544,8.0,8.1,Rural
860US35173,1.0,1.0,Urban
860US35098,5.0,5.0,Rural
860US71653,7.0,7.0,Rural
860US81524,2.0,2.0,Suburban
860US93308,1.0,1.0,Urban
860US20012,1.0,1.0,Urban
860US83811,10.0,10.2,Rural
860US04554,10.0,10.0,Rural
860US60034,2.0,2.0,Suburban
860US21529,1.0,1.0,Urban
860US02671,1.0,1.0,Urban
860US04019,2.0,2.0,Suburban
860US49854,8.0,8.0,Rural
860US56127,8.0,8.0,Rural
860US04766,8.0,8.0,Rural
860US39150,5.0,5.0,Rural
860US59870,2.0,2.0,Suburban
860US59014,2.0,2.0,Suburban
860US02461,1.0,1.0,Urban
860US88045,10.0,10.0,Rural
860US99517,1.0,1.0,Urban
860US99639,10.0,10.0,Rural
860US99768,10.0,10.0,Rural
860US85264,10.0,10.1,Rural
860US86334,2.0,2.0,Suburban
860US85501,4.0,4.0,Suburban
860US85638,10.0,10.0,Rural
860US85726,1.0,1.0,Urban
860US72756,1.0,1.0,Urban
860US72950,10.0,10.0,Rural
860US71846,10.0,10.0,Rural
860US93592,10.0,10.2,Rural
860US93060,2.0,2.0,Suburban
860US93960,4.0,4.0,Suburban
860US93235,1.0,1.0,Urban
860US93622,7.0,7.0,Rural
860US90018,1.0,1.0,Urban
860US96057,8.0,8.0,Rural
860US93666,4.0,4.0,Suburban
860US94952,1.0,1.0,Urban
860US94127,1.0,1.0,Urban
860US96034,8.0,8.0,Rural
860US93620,7.0,7.0,Rural
860US49934,7.0,7.2,Rural
860US28428,1.0,1.0,Urban
860US39465,1.0,1.0,Urban
860US65747,10.0,10.0,Rural
860US64112,1.0,1.0,Urban
860US39144,5.0,5.0,Rural
860US03076,1.0,1.0,Urban
860US97368,5.0,5.0,Rural
860US15316,2.0,2.0,Suburban
860US19137,1.0,1.0,Urban
860US29440,4.0,4.0,Suburban
860US69341,4.0,4.0,Suburban
860US11550,1.0,1.0,Urban
860US78404,1.0,1.0,Urban
860US84753,4.0,4.0,Suburban
860US05450,10.0,10.0,Rural
860US24171,6.0,6.0,Rural
860US23092,10.0,10.0,Rural
860US24622,8.0,8.0,Rural
860US44123,1.0,1.0,Urban
860US98382,4.0,4.0,Suburban
860US73505,1.0,1.0,Urban
860US25425,2.0,2.0,Suburban
860US97630,7.0,7.0,Rural
860US82225,10.0,10.0,Rural
860US35079,2.0,2.0,Suburban
860US08073,1.0,1.0,Urban
860US87506,2.0,2.0,Suburban
860US88301,10.0,10.0,Rural
860US87558,10.0,10.0,Rural
860US88042,2.0,2.0,Suburban
860US88055,5.0,5.0,Rural
860US10171,1.0,1.0,Urban
860US10110,1.0,1.0,Urban
860US12758,10.0,10.0,Rural
860US10282,1.0,1.0,Urban
860US14212,1.0,1.0,Urban
860US11956,1.0,1.0,Urban
860US14788,4.0,4.0,Suburban
860US10040,1.0,1.0,Urban
860US11501,1.0,1.0,Urban
860US14035,2.0,2.0,Suburban
860US13617,7.0,7.0,Rural
860US13316,10.0,10.0,Rural
860US34287,1.0,1.0,Urban
860US33413,1.0,1.0,Urban
860US32421,2.0,2.0,Suburban
860US30417,7.0,7.1,Rural
860US30816,2.0,2.0,Suburban
860US30332,1.0,1.0,Urban
860US30705,2.0,2.0,Suburban
860US31631,5.0,5.0,Rural
860US31038,2.0,2.0,Suburban
860US30464,8.0,8.0,Rural
860US31018,8.0,8.0,Rural
860US30428,10.0,10.0,Rural
860US96777,10.0,10.0,Rural
860US96746,5.0,5.0,Rural
860US83553,8.0,8.0,Rural
860US61414,5.0,5.0,Rural
860US13102,2.0,2.0,Suburban
860US27893,4.0,4.0,Suburban
860US27295,1.0,1.0,Urban
860US28504,4.0,4.0,Suburban
860US28787,1.0,1.0,Urban
860US27825,7.0,7.0,Rural
860US28611,2.0,2.0,Suburban
860US28089,5.0,5.0,Rural
860US58205,7.0,7.0,Rural
860US43084,6.0,6.0,Rural
860US44493,3.0,3.0,Rural
860US44233,1.0,1.0,Urban
860US43203,1.0,1.0,Urban
860US44671,5.0,5.1,Rural
860US43330,9.0,9.0,Rural
860US01236,7.0,7.0,Rural
860US01003,1.0,1.0,Urban
860US49861,4.0,4.0,Suburban
860US48625,7.0,7.0,Rural
860US48233,1.0,1.0,Urban
