HEROP_ID,NoIntP
140US01117030317,7.37
140US01119011500,39.39
140US01121010900,21.94
140US01125010102,15.36
140US01089000701,25.17
140US01089002200,18.25
140US01089003000,38.63
140US01095030902,16.01
140US01097000401,46.83
140US01097000402,38.11
140US01097000902,13.93
140US01097001302,45.9
140US01097002200,37.49
140US01003011501,15.69
140US01009050500,27.05
140US01015000300,45.33
140US01015001600,28.58
140US01025957700,51.05
140US01025958002,44.95
140US01031011000,13.55
140US01031011100,11.72
140US01033020500,22.54
140US01037961200,22.43
140US01039961700,33.46
140US01039962300,25.6
140US01039962800,23.59
140US01047956202,24.32
140US01047956701,7.8
140US01053969800,45.45
140US01055000300,23.08
140US01055000500,36.98
140US01059972900,30.19
140US01063060000,48.75
140US01069040301,17.58
140US01069041200,43.64
140US01071950400,19.63
140US01073000400,37.03
140US01073000700,47.44
140US01073002900,42.55
140US01073004800,10.83
140US01073005101,40.55
140US01073010500,28.92
140US01073011207,16.69
140US01073012910,1.05
140US01073014405,5.69
140US01077010700,34.66
140US01079979300,29.51
140US01081040400,7.9
140US01081040700,0.0
140US01083020801,9.6
140US01085781100,46.71
140US01089000302,23.46
140US01101001400,11.04
140US01101002800,19.85
140US01101005410,11.42
140US01103000200,5.6
140US01103005303,19.95
140US01105686800,21.45
140US01107050400,24.33
140US01113030200,25.37
140US01117030215,5.47
140US01125010204,5.57
140US01125010601,18.72
140US01125011901,19.41
140US01125012800,24.01
140US01129044000,41.75
140US01133965700,25.06
140US01097002800,33.72
140US01097003606,9.28
140US01097003708,11.17
140US01097005900,21.96
140US01097006701,26.55
140US01099076200,50.99
140US01003010500,14.81
140US01129044100,25.14
140US01131035200,48.91
140US01133965600,34.15
140US01055010800,23.38
140US01059973000,28.36
140US01063060100,48.45
140US01063060200,47.09
140US01065040100,40.57
140US01065040300,26.42
140US01069040302,17.87
140US01073011803,11.4
140US01077010600,20.08
140US01081040300,17.9
140US01081040800,7.12
140US01081041300,20.69
140US01025957800,35.5
140US01031010800,14.91
140US01051031100,6.54
140US01055000600,28.17
140US01087232300,53.02
140US01055000700,30.0
140US01089001000,12.53
140US01089001500,9.39
140US01089001903,4.0
140US01089002701,7.24
140US01089003100,20.1
140US01089010624,4.87
140US01089011013,2.39
140US01091973300,33.29
140US01095030701,13.68
140US01073012908,10.29
140US01073013002,29.37
140US01073013902,17.9
