HEROP_ID,RxCtTmDr,RxAvTmDr,RxTmDrP
050US21007,3.0,3.13,1.0
050US21017,5.0,9.56,0.83
050US21031,4.0,17.72,0.8
050US21065,4.0,10.15,1.0
050US21069,4.0,11.22,1.0
050US21093,22.0,5.85,1.0
050US21099,4.0,14.97,0.8
050US21131,3.0,16.26,1.0
050US21151,19.0,4.15,1.0
050US21155,6.0,12.43,1.0
050US21179,9.0,7.38,1.0
050US17091,29.0,6.59,1.0
050US17187,5.0,3.17,1.0
050US17197,152.0,3.62,1.0
050US18027,7.0,4.27,1.0
050US18061,6.0,11.45,1.0
050US01001,12.0,6.36,1.0
050US01005,8.0,7.51,0.89
050US01023,4.0,13.83,1.0
050US01035,4.0,17.0,0.8
050US01051,14.0,7.19,0.93
050US01055,30.0,5.36,1.0
050US01065,6.0,11.93,1.0
050US01089,73.0,2.9,1.0
050US01113,13.0,7.28,1.0
050US01117,48.0,4.34,1.0
050US02016,,,
050US02130,4.0,0.0,1.0
050US02180,2.0,14.46,1.0
050US02282,0.0,1667.25,0.0
050US05011,5.0,6.19,1.0
050US05015,5.0,4.02,1.0
050US05019,4.0,9.81,0.8
050US05025,1.0,23.07,0.5
050US05063,8.0,5.07,1.0
050US05067,4.0,13.63,0.8
050US05121,4.0,6.56,1.0
050US06001,361.0,2.2,1.0
050US06003,0.0,43.65,0.0
050US06005,8.0,12.93,0.89
050US06013,208.0,3.07,1.0
050US06019,196.0,3.77,0.98
050US06023,31.0,6.53,1.0
050US06033,15.0,8.85,1.0
050US06037,,,
050US06047,49.0,4.29,1.0
050US06057,19.0,9.58,0.95
050US06081,157.0,2.72,0.99
050US06085,372.0,2.37,1.0
050US06115,13.0,6.0,0.93
050US08013,67.0,3.86,0.99
050US08029,7.0,5.45,1.0
050US08049,3.0,8.81,1.0
050US08077,28.0,5.3,0.97
050US08083,7.0,13.25,1.0
050US08091,1.0,0.0,1.0
050US09009,190.0,2.2,1.0
050US11001,179.0,1.3,1.0
050US12009,114.0,3.45,1.0
050US12023,12.0,9.9,1.0
050US12039,9.0,6.37,1.0
050US12055,26.0,8.39,0.96
050US12065,3.0,17.73,0.75
050US12073,68.0,4.21,1.0
050US12095,207.0,2.0,1.0
050US12107,17.0,11.95,1.0
050US12123,4.0,14.11,0.8
050US12127,114.0,3.05,1.0
050US12131,11.0,12.13,0.92
050US12133,6.0,13.64,0.86
050US13009,9.0,3.92,1.0
050US13027,4.0,13.4,0.8
050US13103,10.0,8.15,1.0
050US13121,204.0,2.27,1.0
050US13141,2.0,12.88,1.0
050US13149,2.0,20.89,0.67
050US13179,14.0,12.45,0.93
050US13183,2.0,17.87,0.67
050US13189,5.0,7.39,1.0
050US13209,3.0,12.15,1.0
050US13229,4.0,4.91,1.0
050US13267,5.0,5.75,1.0
050US13271,2.0,10.7,0.67
050US13291,5.0,17.24,0.83
050US13305,6.0,14.64,1.0
050US13319,3.0,14.03,1.0
050US15007,16.0,7.68,0.94
050US16015,0.0,88.2,0.0
050US16023,1.0,0.0,1.0
050US16025,0.0,60.26,0.0
050US16027,29.0,3.01,1.0
050US16037,1.0,0.0,1.0
050US16039,4.0,19.88,0.8
050US16043,2.0,13.42,0.67
050US16061,1.0,49.66,0.33
050US16063,1.0,0.0,1.0
050US16085,3.0,0.0,1.0
050US19175,4.0,13.29,1.0
050US20053,2.0,13.54,1.0
050US20095,1.0,22.34,0.33
050US20135,2.0,5.26,1.0
050US20199,1.0,0.0,1.0
050US48011,1.0,0.0,1.0
050US48025,7.0,7.75,1.0
050US48035,6.0,17.36,0.86
050US48053,7.0,13.79,0.88
050US48055,8.0,8.09,1.0
050US48083,3.0,15.4,1.0
050US29057,2.0,0.0,1.0
050US29143,6.0,10.41,1.0
050US29157,5.0,1.64,1.0
050US29189,199.0,2.06,1.0
050US29199,2.0,5.01,1.0
050US29207,8.0,6.89,1.0
050US30015,2.0,0.0,1.0
050US30023,3.0,0.0,1.0
050US30029,17.0,9.75,0.89
050US30039,1.0,0.0,1.0
050US30057,1.0,46.11,0.33
050US30071,1.0,0.0,1.0
050US30077,1.0,31.37,0.5
050US30085,1.0,53.71,0.33
050US30087,3.0,21.51,0.75
050US30105,2.0,20.0,0.67
050US31091,0.0,83.31,0.0
050US53065,10.0,16.79,0.83
050US21189,2.0,8.2,1.0
050US21195,18.0,6.45,0.95
050US21217,5.0,7.91,1.0
050US21237,2.0,0.0,1.0
050US21239,8.0,7.36,1.0
050US22001,12.0,5.91,1.0
050US22009,9.0,6.65,1.0
050US22011,6.0,13.0,0.86
050US22029,5.0,2.89,1.0
050US22031,7.0,8.11,1.0
050US22033,92.0,2.77,1.0
050US22047,6.0,9.11,0.86
050US22071,177.0,2.27,1.0
050US22081,0.0,41.11,0.0
050US22099,11.0,4.12,1.0
050US22119,11.0,8.41,1.0
050US23013,10.0,15.25,0.91
050US23015,9.0,14.59,0.9
050US24003,105.0,3.61,1.0
050US18103,10.0,10.54,1.0
050US18129,7.0,5.22,1.0
050US18147,5.0,12.69,1.0
050US19001,3.0,5.3,1.0
050US19045,12.0,8.87,1.0
050US19083,6.0,7.21,1.0
050US19111,11.0,7.84,1.0
050US31167,2.0,15.1,1.0
050US34003,179.0,1.02,1.0
050US34007,127.0,1.52,1.0
050US34013,210.0,1.04,1.0
050US34023,175.0,1.54,1.0
050US34041,23.0,3.64,1.0
050US35007,3.0,3.3,1.0
050US35011,1.0,0.0,1.0
050US35051,3.0,15.92,0.75
050US36013,36.0,5.93,1.0
050US36029,237.0,2.34,1.0
050US36043,19.0,7.18,1.0
050US36045,24.0,10.47,0.92
050US36047,761.0,0.73,1.0
050US36053,,,
050US36065,,,
050US36077,15.0,13.25,0.88
050US36081,669.0,1.09,1.0
050US36091,50.0,5.94,1.0
050US36115,16.0,11.62,0.94
050US37007,6.0,11.32,1.0
050US37027,17.0,5.41,1.0
050US37039,6.0,17.37,0.86
050US37049,21.0,5.42,1.0
050US37055,10.0,9.78,0.91
050US37059,7.0,7.04,1.0
050US37069,12.0,8.27,1.0
050US37083,12.0,4.57,1.0
050US37091,5.0,6.04,1.0
050US37093,9.0,10.59,1.0
050US37099,8.0,13.54,0.89
050US37111,10.0,9.9,1.0
050US37117,6.0,10.27,1.0
050US37127,18.0,5.24,1.0
050US37165,7.0,6.25,1.0
050US37175,7.0,6.47,1.0
050US37199,5.0,13.09,1.0
050US38017,33.0,3.51,1.0
050US38037,1.0,0.0,1.0
050US38085,0.0,62.93,0.0
050US38099,6.0,9.76,1.0
050US39035,447.0,2.59,1.0
050US39039,9.0,6.32,1.0
050US39043,18.0,9.78,0.95
050US39125,5.0,12.51,1.0
050US40065,7.0,10.38,0.88
050US48103,1.0,0.0,1.0
050US48141,161.0,3.71,1.0
050US48151,2.0,11.79,1.0
050US48161,7.0,9.96,1.0
050US48167,66.0,4.12,0.99
050US48199,10.0,7.62,0.91
050US48213,17.0,6.63,1.0
050US48229,0.0,149.67,0.0
050US48241,8.0,6.44,1.0
050US48245,72.0,4.85,0.99
050US48261,0.0,87.89,0.0
050US48289,2.0,13.68,0.67
050US48317,1.0,30.52,0.5
050US48333,2.0,6.46,1.0
050US48347,12.0,9.81,0.92
050US48361,21.0,6.36,1.0
050US48371,4.0,1.54,1.0
050US48395,4.0,11.55,0.8
050US48423,41.0,3.49,1.0
050US48427,14.0,10.01,0.93
050US48457,4.0,15.41,0.8
050US48471,10.0,8.19,1.0
050US48475,3.0,10.35,1.0
050US48477,6.0,6.28,1.0
050US48499,10.0,6.98,1.0
050US49001,1.0,28.48,0.5
050US49003,10.0,11.78,0.91
050US49011,54.0,2.17,1.0
050US40073,3.0,12.64,0.75
050US40079,11.0,8.27,0.92
050US40145,22.0,6.62,1.0
050US41005,79.0,5.87,0.99
050US41021,1.0,0.0,1.0
050US41033,16.0,5.85,1.0
050US41035,16.0,18.7,0.8
050US41039,83.0,5.4,0.95
050US41043,20.0,4.5,0.95
050US41051,171.0,2.23,1.0
050US41055,0.0,56.7,0.0
050US41061,6.0,16.09,0.75
050US42005,17.0,9.74,0.89
050US42029,116.0,3.08,1.0
050US42035,9.0,6.55,1.0
050US42059,8.0,7.53,0.89
050US42067,4.0,14.05,0.8
050US42091,211.0,1.89,1.0
050US42111,20.0,8.91,0.95
050US45005,3.0,6.16,1.0
050US45019,83.0,4.4,0.97
050US45025,10.0,6.18,1.0
050US45043,15.0,7.63,1.0
050US45063,74.0,5.28,1.0
050US45077,28.0,5.68,1.0
050US45091,46.0,4.66,1.0
050US46073,1.0,0.0,1.0
050US46093,4.0,13.91,0.8
050US46095,1.0,0.0,1.0
050US46123,2.0,7.48,1.0
050US47001,17.0,5.77,0.94
050US47003,9.0,11.88,1.0
050US47005,5.0,14.86,1.0
050US47019,16.0,8.91,0.94
050US47029,8.0,14.78,0.89
050US47049,4.0,2.57,1.0
050US47063,12.0,2.98,1.0
050US47073,13.0,7.98,1.0
050US47081,4.0,19.66,0.67
050US47097,8.0,11.13,0.89
050US47121,3.0,15.29,1.0
050US47149,49.0,3.42,1.0
050US47173,3.0,12.53,0.75
050US48007,6.0,5.99,1.0
050US25001,56.0,4.28,0.98
050US25013,103.0,2.69,1.0
050US25025,204.0,1.27,1.0
050US26033,9.0,33.38,0.56
050US26053,7.0,8.59,0.88
050US26063,12.0,13.38,0.92
050US26097,2.0,37.48,0.33
050US26115,39.0,5.76,1.0
