HEROP_ID,GEOID
040US28,28
040US37,37
040US40,40
040US51,51
040US54,54
040US22,22
040US26,26
040US25,25
040US16,16
040US12,12
040US31,31
040US53,53
040US35,35
040US46,46
040US48,48
040US06,6
040US01,1
040US13,13
040US42,42
040US29,29
040US08,8
040US49,49
040US47,47
040US56,56
040US36,36
040US20,20
040US02,2
040US32,32
040US17,17
040US50,50
040US30,30
040US19,19
040US45,45
040US33,33
040US04,4
040US11,11
040US34,34
040US24,24
040US23,23
040US15,15
040US10,10
040US44,44
040US21,21
040US39,39
040US55,55
040US41,41
040US38,38
040US05,5
040US18,18
040US27,27
040US09,9
