HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP
050US21007,3.0,1.0,1.0,2.0,0.0,,3.0,0.0,0.0,12.75,48.97,145.06,26.28,133.26,,21.19,122.92,690.54,1.0,0.33,0.33,0.67,0.0,,1.0,0.0,0.0
050US21017,5.0,2.0,2.0,4.0,0.0,,5.0,2.0,1.0,11.62,39.62,117.25,28.91,134.18,,12.91,44.33,130.62,0.83,0.33,0.33,0.67,0.0,,0.83,0.33,0.17
050US21031,4.0,1.0,1.0,0.0,0.0,,2.0,0.0,,17.72,58.63,172.82,52.37,189.66,,33.66,125.36,,0.8,0.2,0.2,0.0,0.0,,0.4,0.0,
050US21065,4.0,1.0,1.0,2.0,0.0,,4.0,1.0,1.0,12.88,49.61,140.89,30.77,172.38,,12.88,49.61,140.89,1.0,0.25,0.25,0.5,0.0,,1.0,0.25,0.25
050US21069,2.0,0.0,0.0,2.0,0.0,,4.0,2.0,2.0,27.02,100.26,345.13,32.28,147.58,,6.63,24.85,73.5,0.5,0.0,0.0,0.5,0.0,,1.0,0.5,0.5
050US21093,22.0,19.0,14.0,10.0,1.0,,22.0,15.0,10.0,3.23,10.95,30.69,30.65,106.41,,5.96,19.16,54.7,1.0,0.86,0.64,0.45,0.05,,1.0,0.68,0.45
050US21099,3.0,2.0,2.0,0.0,0.0,,1.0,0.0,,17.34,56.1,166.95,57.1,220.46,,38.43,157.34,,0.6,0.4,0.4,0.0,0.0,,0.2,0.0,
050US21131,3.0,1.0,1.0,2.0,0.0,,3.0,1.0,1.0,16.26,64.25,191.79,28.13,132.18,,16.26,64.25,191.79,1.0,0.33,0.33,0.67,0.0,,1.0,0.33,0.33
050US21151,19.0,15.0,11.0,19.0,11.0,3.0,19.0,12.0,6.0,4.45,14.55,42.95,8.76,28.74,83.98,7.2,24.76,72.12,1.0,0.79,0.58,1.0,0.58,0.16,1.0,0.63,0.32
050US21155,6.0,2.0,2.0,0.0,,,6.0,2.0,1.0,12.43,41.07,122.04,69.74,,,13.78,44.82,132.96,1.0,0.33,0.33,0.0,,,1.0,0.33,0.17
050US21179,9.0,4.0,2.0,0.0,0.0,,9.0,5.0,4.0,11.31,44.64,132.48,45.66,231.72,,7.44,26.59,78.61,1.0,0.44,0.22,0.0,0.0,,1.0,0.56,0.44
050US17091,27.0,19.0,,28.0,16.0,,27.0,16.0,,10.88,31.95,,11.34,35.52,,12.86,39.64,,0.93,0.66,,0.97,0.55,,0.93,0.55,
050US17187,4.0,0.0,,0.0,,,3.0,0.0,,26.76,115.11,,69.21,,,27.66,115.4,,0.8,0.0,,0.0,,,0.6,0.0,
050US17197,152.0,126.0,,148.0,34.0,,152.0,123.0,,7.1,19.43,,15.61,51.6,,7.08,19.64,,1.0,0.83,,0.97,0.22,,1.0,0.81,
050US18027,3.0,0.0,,0.0,,,2.0,0.0,,31.88,140.16,,71.85,,,36.74,172.11,,0.43,0.0,,0.0,,,0.29,0.0,
050US18061,5.0,2.0,1.0,0.0,0.0,,0.0,0.0,,18.69,53.77,158.99,43.7,193.59,,38.3,159.96,,0.83,0.33,0.17,0.0,0.0,,0.0,0.0,
050US01001,11.0,5.0,,1.0,0.0,,0.0,0.0,,14.96,49.26,,39.64,145.24,,40.97,154.1,,0.92,0.42,,0.08,0.0,,0.0,0.0,
050US01005,0.0,,,0.0,,,0.0,,,64.97,,,81.58,,,68.08,,,0.0,,,0.0,,,0.0,,
050US01023,0.0,0.0,,0.0,,,0.0,,,66.75,216.5,,74.06,,,78.41,,,0.0,0.0,,0.0,,,0.0,,
050US01035,4.0,1.0,1.0,0.0,,,0.0,,,23.48,71.32,259.63,66.09,,,66.09,,,0.8,0.2,0.2,0.0,,,0.0,,
050US01051,12.0,4.0,5.0,4.0,0.0,,9.0,2.0,,19.34,51.99,139.68,38.92,131.13,,24.53,77.53,,0.8,0.27,0.33,0.27,0.0,,0.6,0.13,
050US01055,30.0,19.0,10.0,29.0,13.0,,27.0,4.0,,8.42,24.01,74.71,12.91,41.57,,16.07,53.15,,1.0,0.63,0.33,0.97,0.43,,0.9,0.13,
050US01065,3.0,1.0,,0.0,,,1.0,,,25.62,99.28,,94.69,,,52.76,,,0.5,0.17,,0.0,,,0.17,,
050US01089,73.0,58.0,,68.0,26.0,,70.0,43.0,,7.36,19.73,,14.99,47.46,,11.38,33.64,,1.0,0.79,,0.93,0.36,,0.96,0.59,
050US01113,11.0,8.0,,11.0,4.0,,11.0,4.0,,14.78,46.22,,18.62,61.43,,18.61,61.43,,0.85,0.62,,0.85,0.31,,0.85,0.31,
050US01117,44.0,27.0,,28.0,1.0,,40.0,2.0,,12.1,34.61,,29.04,91.86,,21.64,70.44,,0.92,0.56,,0.58,0.02,,0.83,0.04,
050US02016,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02130,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02180,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US02282,,,,,,,,,,,,,,,,,,,,,,,,,,,
050US05011,4.0,0.0,,,,,4.0,0.0,,28.28,180.85,,,,,28.28,187.2,,0.8,0.0,,,,,0.8,0.0,
050US05015,5.0,3.0,2.0,0.0,,,0.0,0.0,,10.99,32.55,96.1,80.65,,,47.01,196.85,,1.0,0.6,0.4,0.0,,,0.0,0.0,
050US05019,0.0,0.0,,0.0,,,0.0,0.0,,48.69,205.0,,71.59,,,45.62,205.51,,0.0,0.0,,0.0,,,0.0,0.0,
