HEROP_ID,Age15_24P,ForDqP,ForDqTot
050US21007,11.8,10.53,32.33
050US21017,11.47,9.77,42.33
050US21031,11.02,13.86,30.8
050US21065,10.93,14.6,42.5
050US21069,11.77,10.05,29.0
050US21093,13.96,10.15,71.84
050US21099,12.27,13.48,41.2
050US21131,10.92,16.6,38.33
050US21151,21.35,9.29,56.43
050US21155,12.09,9.23,27.67
050US21179,12.97,9.93,81.57
050US17091,15.29,15.6,88.69
050US17187,16.55,11.42,52.6
050US17197,14.09,11.9,158.95
050US18027,13.48,10.46,54.14
050US18061,11.45,11.05,93.0
050US01001,13.03,7.45,42.0
050US01005,11.99,13.37,35.78
050US01023,11.48,17.7,53.0
050US01035,11.87,16.78,40.0
050US01051,12.92,7.42,58.54
050US01055,12.43,10.76,41.86
050US01065,13.25,13.2,28.0
050US01089,13.62,5.91,38.38
050US01113,12.32,11.05,50.83
050US01117,12.51,6.12,62.72
050US02016,13.98,3.55,3.0
050US02130,12.11,4.32,17.25
050US02180,15.79,6.15,22.0
050US02282,12.19,5.9,3.0
050US05011,11.57,12.1,26.8
050US05015,11.47,7.42,37.2
050US05019,25.34,8.95,45.5
050US05025,12.07,12.4,40.0
050US05063,12.61,8.01,35.5
050US05067,11.41,10.18,36.2
050US05121,11.77,8.57,53.67
050US06001,12.02,10.58,86.31
050US06003,16.23,9.4,29.0
050US06005,9.27,9.8,103.86
050US06013,12.43,12.88,181.09
050US06019,14.95,20.1,178.42
050US06023,16.11,8.51,50.15
050US06033,10.52,13.07,136.42
050US06037,13.8,13.42,93.76
050US06047,16.5,28.08,266.2
050US06057,9.46,7.29,85.28
050US06081,10.83,5.08,38.9
050US06085,12.26,7.64,65.08
050US06115,13.98,21.96,247.67
050US08013,18.55,3.98,37.37
050US08029,10.52,7.31,43.29
050US08049,10.2,5.05,103.5
050US08077,13.2,6.22,68.5
050US08083,11.12,8.35,36.75
050US08091,6.5,6.3,59.0
050US09009,13.93,9.82,67.43
050US11001,13.37,7.09,37.66
050US12009,10.92,17.27,207.2
050US12023,12.56,14.86,99.5
050US12039,11.67,13.24,63.67
050US12055,9.18,15.45,106.41
050US12065,8.96,11.55,79.5
050US12073,25.42,8.68,65.08
050US12095,14.72,19.56,208.29
050US12107,10.85,16.11,85.07
050US12123,10.86,18.68,55.0
050US12127,11.57,17.92,232.14
050US12131,9.82,24.17,193.8
050US12133,11.82,15.07,105.67
050US13009,22.0,13.91,61.33
050US13027,11.34,16.48,52.0
050US13103,13.16,9.48,122.5
050US13121,14.09,13.49,116.75
050US13141,9.95,21.57,58.67
050US13149,12.44,19.3,88.67
050US13179,17.91,10.02,80.56
050US13183,13.53,12.75,87.5
050US13189,12.59,13.24,61.6
050US13209,16.45,17.63,34.67
050US13229,11.19,10.93,37.75
050US13267,12.46,14.6,62.75
050US13271,10.66,17.75,38.0
050US13291,9.01,10.27,142.0
050US13305,11.98,12.95,52.83
050US13319,11.71,17.8,49.0
050US15007,10.4,6.76,68.25
050US16015,9.35,6.7,104.0
050US16023,5.53,7.6,20.0
050US16025,9.03,5.6,12.0
050US16027,14.37,11.51,180.0
050US16037,10.48,5.2,24.0
050US16039,16.31,6.54,40.0
050US16043,14.63,6.3,35.33
050US16061,10.25,2.57,7.0
050US16063,13.79,8.8,49.0
050US16085,7.05,9.77,113.33
050US19175,13.43,10.22,41.75
050US20053,12.44,8.65,29.5
050US20095,11.7,8.7,22.0
050US20135,7.92,10.55,15.0
050US20199,9.52,12.4,21.0
050US48011,9.5,7.7,14.0
050US48025,14.25,10.73,33.33
050US48035,10.71,9.01,19.71
050US48053,12.39,6.26,36.38
050US48055,16.38,9.39,32.71
050US48083,8.22,9.63,27.0
050US29057,11.45,11.75,42.0
050US29143,11.64,10.48,36.83
050US29157,11.84,7.96,31.8
050US29189,12.76,8.14,96.71
050US29199,12.58,8.7,16.0
050US29207,12.04,10.35,42.88
050US30015,12.89,3.3,6.5
050US30023,11.86,8.62,32.0
050US30029,11.01,7.04,47.13
050US30039,9.91,4.3,12.0
050US30057,8.31,3.77,9.0
050US30071,10.91,0.7,2.67
050US30077,11.28,9.8,29.5
050US30085,14.18,5.26,8.6
050US30087,13.64,9.97,13.75
050US30105,11.56,3.3,5.4
050US31091,13.75,7.1,4.0
050US53065,11.1,6.22,27.0
050US21189,14.09,16.6,26.0
050US21195,12.38,12.01,29.16
050US21217,16.28,11.16,60.6
050US21237,10.96,17.73,30.0
050US21239,12.12,5.62,49.8
050US22001,12.77,10.8,45.67
050US22009,12.17,15.03,69.78
050US22011,13.34,11.89,49.0
050US22029,13.01,11.6,40.6
050US22031,12.15,13.21,41.0
050US22033,17.95,9.11,58.11
050US22047,12.63,13.25,49.75
050US22071,12.42,12.4,40.4
050US22081,11.26,16.1,53.5
050US22099,12.89,13.39,91.11
050US22119,12.2,13.37,48.45
050US23013,9.83,8.82,46.3
050US23015,9.79,5.76,27.75
050US24003,12.54,5.54,65.67
050US18103,12.84,19.43,99.0
050US18129,11.96,10.87,66.43
