HEROP_ID,NoIntP
040US28,24.44
040US37,15.71
040US40,17.69
040US51,12.8
040US54,20.26
040US22,20.84
040US26,14.69
040US25,10.95
040US16,13.25
040US12,13.1
040US31,13.45
040US53,8.79
040US35,21.24
040US46,15.59
040US48,14.76
040US06,10.64
040US01,19.81
040US13,15.06
040US42,15.29
040US29,15.85
040US08,9.41
040US49,7.73
040US47,18.03
040US56,12.62
040US36,13.9
040US20,14.5
040US02,11.46
040US32,13.25
040US17,13.83
040US50,13.06
040US30,15.45
040US19,15.0
040US45,17.72
040US33,9.31
040US04,12.85
040US11,14.06
040US34,11.52
040US24,10.69
040US23,13.66
040US15,11.85
040US10,11.82
040US44,13.29
040US21,17.89
040US39,14.72
040US55,14.09
040US41,10.5
040US38,13.95
040US05,21.07
040US18,16.29
040US27,11.63
040US09,11.57
