HEROP_ID,BupCtTmDr,BupCtTmBk,BupCtTmWk,MetCtTmDr,MetCtTmBk,MetCtTmWk,NalCtTmDr,NalCtTmBk,NalCtTmWk,BupAvTmDr,BupAvTmBk,BupAvTmWk,MetAvTmDr,MetAvTmBk,MetAvTmWk,NalAvTmDr,NalAvTmBk,NalAvTmWk,BupTmDrP,BupTmBkP,BupTmWkP,MetTmDrP,MetTmBkP,MetTmWkP,NalTmDrP,NalTmBkP,NalTmWkP,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,TotPop10,UrbPop10,RuralPop10,CenRuralP,DmySgrg,DmyBlckBlt,PrcNtvRsrv,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt
050US01001,11.0,5.0,,1.0,0.0,,0.0,0.0,,14.96,49.26,,39.64,145.24,,40.97,154.1,,0.92,0.42,,0.08,0.0,,0.0,0.0,,0.58,0.42,0.0,,54571,31650,22921,0.42,0,1,0.0,502.84,236.31,183.0,86.0,453.9,2145.69,266.84,165.0,780.0,97.0
050US01003,27.0,11.0,,4.0,,,1.0,,,16.69,52.06,,47.88,,,49.02,,,0.84,0.34,,0.12,,,0.03,,,0.34,0.22,0.44,,182265,105205,77060,0.42,0,0,0.0,618.44,353.5,803.0,459.0,476.27,11350.3,368.75,629.0,14990.0,487.0
050US01005,0.0,,,0.0,,,0.0,,,64.97,,,81.58,,,68.08,,,0.0,,,0.0,,,0.0,,,0.0,0.0,1.0,,27457,8844,18613,0.68,0,1,0.0,902.36,240.63,150.0,40.0,690.04,4848.94,261.1,111.0,780.0,42.0
050US01007,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,24.33,70.14,208.92,57.7,197.9,,53.64,197.38,,0.25,0.25,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,,22915,7252,15663,0.68,1,0,0.0,341.14,59.04,52.0,9.0,502.71,9425.85,423.34,76.0,1425.0,64.0
050US01009,3.0,0.0,,0.0,0.0,,2.0,0.0,,36.37,113.18,,46.48,167.98,,39.84,130.9,,0.33,0.0,,0.0,0.0,,0.22,0.0,,0.0,0.44,0.56,,57322,5760,51562,0.9,1,0,0.0,288.89,145.82,105.0,53.0,367.77,0.0,189.37,134.0,0.0,69.0
050US01011,0.0,0.0,,0.0,,,0.0,0.0,,47.18,172.47,,75.48,,,74.23,272.7,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,,10914,5307,5607,0.51,0,1,0.0,590.35,,41.0,,473.86,13860.51,296.16,32.0,936.0,20.0
050US01013,0.0,0.0,,0.0,,,0.0,,,54.44,221.63,,76.97,,,78.29,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.22,0.78,,20947,6026,14921,0.71,0,1,0.0,1203.18,585.55,150.0,73.0,626.58,12694.28,130.2,77.0,1560.0,16.0
050US01015,29.0,17.0,6.0,24.0,5.0,,21.0,2.0,,11.61,36.39,120.36,20.27,69.87,,25.84,86.25,,0.94,0.55,0.19,0.77,0.16,,0.68,0.06,,0.68,0.29,0.03,,118572,78617,39955,0.34,0,0,0.0,1005.94,564.34,754.0,423.0,669.59,18595.21,631.94,498.0,13830.0,470.0
050US01017,8.0,4.0,1.0,0.0,0.0,,1.0,0.0,,13.09,39.23,187.22,42.4,173.76,,38.8,136.63,,0.89,0.44,0.11,0.0,0.0,,0.11,0.0,,0.0,0.78,0.22,,34215,17399,16816,0.49,0,1,0.0,928.2,426.97,200.0,92.0,696.16,2915.48,224.27,149.0,624.0,48.0
050US01019,5.0,2.0,2.0,0.0,0.0,,2.0,0.0,,16.36,58.16,170.89,46.98,189.26,,35.24,129.71,,0.83,0.33,0.33,0.0,0.0,,0.33,0.0,,0.0,0.5,0.5,,25989,3707,22282,0.86,0,0,0.0,683.34,476.46,109.0,76.0,785.13,18943.53,502.48,125.0,3016.0,80.0
