HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
140US01001020100,17.11,6.7,19.0,0.0,0.0
140US01001020200,12.28,9.3,27.0,1.0,0.0
140US01001020300,9.29,7.8,51.0,4.0,4.0
140US01001020400,9.37,6.2,56.0,1.0,0.0
140US01001020500,10.72,3.9,59.0,11.0,13.0
140US01001020600,15.57,6.5,31.0,0.0,0.0
140US01001020700,17.55,8.9,23.0,0.0,0.0
140US01001020801,10.79,,,0.0,0.0
140US01001020802,15.1,,,2.0,2.0
140US01001020900,13.73,8.5,49.0,0.0,0.0
140US01001021000,11.92,9.8,20.0,0.0,0.0
140US01001021100,11.85,8.6,20.0,2.0,0.0
140US01003010100,13.25,14.9,47.0,1.0,0.0
140US01003010200,10.24,17.3,46.0,0.0,0.0
140US01003010300,12.66,12.0,96.0,1.0,3.0
140US01003010400,12.8,12.7,69.0,2.0,0.0
140US01003010500,11.15,12.7,89.0,9.0,22.0
140US01003010600,15.09,21.8,82.0,0.0,0.0
140US01003010701,9.65,6.5,90.0,4.0,6.0
140US01003010703,10.71,6.3,121.0,7.0,20.0
140US01003010704,9.57,8.9,111.0,0.0,1.0
140US01003010705,14.63,9.1,128.0,13.0,4.0
140US01003010800,17.15,7.3,81.0,1.0,10.0
140US01003010903,11.69,,,2.0,0.0
140US01003010904,11.44,,,1.0,1.0
140US01003010905,11.2,,,1.0,1.0
140US01003010906,11.01,,,0.0,0.0
140US01003011000,18.64,12.0,52.0,1.0,0.0
140US01003011101,10.9,,,1.0,5.0
140US01003011102,12.38,,,6.0,9.0
140US01003011201,10.28,5.6,41.0,9.0,10.0
140US01003011202,7.91,8.4,73.0,22.0,58.0
140US01003011300,8.94,9.8,60.0,0.0,0.0
140US01003011401,8.68,9.9,131.0,2.0,0.0
140US01003011403,8.76,6.1,74.0,3.0,0.0
140US01003011405,7.77,,,0.0,5.0
140US01003011406,8.68,,,5.0,0.0
140US01003011407,11.84,,,5.0,3.0
140US01003011408,7.58,,,0.0,0.0
140US01003011501,11.33,,,9.0,30.0
140US01003011502,11.94,,,10.0,14.0
140US01003011601,14.17,,,0.0,0.0
140US01003011602,7.68,,,4.0,2.0
140US01005950100,12.56,12.6,48.0,3.0,1.0
140US01005950200,11.7,17.0,37.0,1.0,0.0
140US01005950300,13.22,16.6,20.0,0.0,0.0
140US01005950400,13.06,12.4,21.0,1.0,0.0
140US01005950500,4.91,11.1,29.0,0.0,0.0
140US01005950600,14.65,13.8,32.0,1.0,0.0
140US01005950700,10.41,10.9,23.0,6.0,2.0
140US01005950800,14.1,13.0,39.0,1.0,0.0
140US01005950900,14.8,12.9,73.0,1.0,0.0
140US01007010001,12.26,,,1.0,0.0
140US01007010002,12.5,,,1.0,0.0
