HEROP_ID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age55_59,Age60_64,AgeOv65,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,Age45_49,Age50_54,AgeOv18,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US01,4864680,2244462,2982055,292125,614267,323914,334416,1890372,334011,309004,783832,57.49,16.11,68.19,26.58,4.18,0.53,1.33,0.04,3.32,14.24,77,17.5,6.6,17.12,4745881,335599,2076708,310307,330762,3765887,16.3,8.94,2.11,16.98,25375,26846,0.48,8.9,23.74,13.49,11.76,1026959,49.45,19.81,13.29,26.54,31.45,44.32,378,0.01,0,0.24
040US02,738516,315386,473950,54240,102349,47451,56749,315398,50904,43853,78428,63.91,10.62,64.84,3.27,6.93,14.44,6.3,1.2,9.95,7.28,75,10.8,7.4,19.63,711117,67452,351152,44874,48470,552378,12.0,12.6,4.08,27.51,33413,35874,0.42,9.38,16.63,14.66,10.93,167856,47.8,11.46,4.71,21.31,36.02,0.55,147,0.0,0,0.05
040US04,6946685,2970935,4154582,436102,920099,468197,488355,2757583,420490,408828,1158320,59.22,16.67,77.22,4.39,31.14,4.46,3.29,0.2,10.43,13.23,76,16.1,6.5,15.03,6790680,487684,3045978,420088,425175,5312902,12.9,9.21,3.18,24.65,28815,29265,0.47,8.85,16.15,13.02,12.16,1344429,44.14,12.85,10.47,16.73,36.38,26.15,298,0.0,0,0.1
040US05,2990671,1362040,1797192,190311,395579,201068,204406,1163477,195360,181928,487536,58.49,16.3,77.0,15.41,7.32,0.67,1.47,0.27,5.18,13.81,76,17.6,5.5,15.41,2906459,202572,1292263,182094,194386,2284728,17.2,8.88,2.5,18.55,24977,25635,0.48,9.51,24.09,14.97,13.3,658909,50.99,21.07,12.27,21.68,34.35,26.18,399,0.01,0,0.1
040US06,39148760,14084824,24759648,2480679,5055988,2583578,2809630,16482385,2465921,2192477,5315457,61.35,13.58,60.1,5.79,38.88,0.76,14.32,0.39,18.64,17.07,77,14.3,6.7,7.95,38329281,1618861,18309012,2577771,2578082,30075105,10.6,5.41,3.56,28.27,30797,35021,0.49,8.51,18.55,12.47,10.63,7920148,43.26,10.64,3.69,23.14,45.35,90.41,6054,0.04,0,0.22
040US08,5531141,2352202,3530684,335199,714733,354630,377987,2331051,363001,331165,740638,61.13,13.39,84.17,4.12,21.42,0.99,3.12,0.15,7.45,8.61,77,10.9,4.7,10.15,5411306,375746,2839374,357390,357964,4271322,10.6,8.87,2.81,27.14,34109,36415,0.46,8.73,17.96,12.03,10.84,1151623,40.56,9.41,4.13,17.91,35.12,22.7,1352,0.01,0,0.09
040US09,3581504,1512305,2241299,184983,425141,247182,245490,1359543,266170,235949,587580,55.0,16.41,76.36,10.56,15.69,0.27,4.43,0.03,8.34,9.51,79,10.0,6.5,9.58,3466662,173998,1810445,249188,272950,2828879,11.0,6.17,2.59,19.7,36515,43056,0.5,10.91,17.6,15.58,10.6,729279,40.28,11.57,0.78,29.97,33.66,312.29,1215,0.25,0,0.17
040US10,949495,428251,578940,54854,113842,59798,61022,357416,68175,61626,167129,55.41,17.6,68.97,22.11,9.09,0.36,3.87,0.05,4.64,10.22,79,11.9,5.9,16.46,924444,66590,450946,60008,66445,746069,12.3,8.96,2.8,22.04,32357,33989,0.45,9.71,16.89,15.11,12.16,196456,43.57,11.82,8.26,25.16,28.92,219.81,258,0.13,0,0.22
040US11,684498,311545,481049,44692,61291,37417,54117,350426,36453,33464,81712,66.68,11.94,40.97,46.94,10.92,0.29,3.9,0.05,7.84,9.41,82,16.8,7.4,9.7,644878,26936,369194,38274,38186,562761,11.8,4.81,3.7,29.71,46436,53321,0.53,9.54,4.46,9.0,4.68,92135,24.96,14.06,0.07,21.43,58.21,5095.99,156,2.55,0,0.13
040US12,20598139,9348689,12385211,1117420,2308718,1201106,1284168,7644981,1399430,1314377,4064376,53.75,19.73,75.39,16.1,25.17,0.28,2.71,0.06,5.45,12.05,80,14.8,6.3,18.47,20166501,1452967,9253932,1326465,1422372,16449587,13.4,8.86,3.12,23.96,26895,30197,0.49,7.62,14.18,13.4,12.91,4120574,44.53,13.1,8.96,19.62,34.99,174.26,2137,0.04,0,0.16
