HEROP_ID,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs
050US01001,0.24,0.69,0.26,0.43,0.72,0.07,0.44,0.76,0.02
050US01003,0.41,0.73,0.2,0.35,0.81,0.08,0.51,0.84,0.02
050US01005,0.22,0.43,0.51,0.3,0.48,0.06,0.38,0.51,0.01
050US01007,0.55,0.57,0.39,0.4,0.68,0.04,0.72,0.5,0.0
050US01009,0.45,0.83,0.03,0.39,0.81,0.15,0.26,0.9,0.01
050US01011,0.3,0.19,0.79,0.22,0.25,0.01,0.54,0.18,0.01
050US01013,0.36,0.42,0.55,0.53,0.59,0.01,0.67,0.47,0.04
050US01015,0.44,0.54,0.39,0.42,0.69,0.09,0.6,0.66,0.03
050US01017,0.26,0.51,0.44,0.5,0.52,0.05,0.53,0.62,0.03
050US01019,0.24,0.9,0.06,0.22,0.9,0.02,0.54,0.94,0.0
050US01021,0.36,0.75,0.16,0.43,0.73,0.15,0.75,0.76,0.02
050US01023,0.45,0.39,0.6,0.54,0.66,0.01,0.93,0.15,0.0
050US01025,0.22,0.49,0.5,0.59,0.66,0.01,0.41,0.57,0.01
050US01027,0.19,0.78,0.16,0.41,0.74,0.06,0.62,0.81,0.0
050US01029,0.35,0.91,0.04,0.49,0.89,0.05,0.79,0.95,0.0
050US01031,0.4,0.62,0.25,0.4,0.62,0.11,0.49,0.63,0.03
050US01033,0.28,0.71,0.23,0.34,0.8,0.04,0.36,0.8,0.01
050US01035,0.24,0.46,0.52,0.62,0.59,0.04,0.86,0.43,0.01
050US01037,0.53,0.43,0.56,0.67,0.68,0.01,0.0,0.0,0.0
050US01039,0.42,0.72,0.24,0.29,0.82,0.02,0.57,0.77,0.01
050US01041,0.12,0.7,0.24,0.46,0.71,0.05,0.73,0.68,0.05
050US01043,0.58,0.91,0.05,0.35,0.9,0.07,0.65,0.89,0.01
050US01045,0.31,0.61,0.29,0.43,0.65,0.11,0.49,0.62,0.02
050US01047,0.5,0.2,0.77,0.66,0.28,0.04,0.78,0.26,0.04
050US01049,0.52,0.8,0.03,0.45,0.69,0.26,0.66,0.78,0.01
050US01051,0.22,0.69,0.25,0.38,0.68,0.05,0.53,0.69,0.02
050US01053,0.36,0.5,0.44,0.3,0.72,0.04,0.65,0.66,0.02
050US01055,0.64,0.49,0.42,0.5,0.57,0.12,0.64,0.73,0.05
050US01057,0.46,0.76,0.18,0.62,0.74,0.05,0.32,0.82,0.01
050US01059,0.59,0.57,0.09,0.56,0.58,0.32,0.79,0.57,0.02
050US01061,0.22,0.82,0.11,0.28,0.82,0.05,0.69,0.79,0.02
050US01063,0.08,0.17,0.8,0.81,0.13,0.08,0.0,0.0,0.0
050US01065,0.36,0.34,0.65,0.76,0.39,0.04,0.5,0.62,0.01
050US01067,0.25,0.64,0.33,0.34,0.7,0.04,0.0,0.0,0.0
050US01069,0.48,0.48,0.46,0.31,0.66,0.05,0.41,0.71,0.02
050US01071,0.43,0.85,0.06,0.36,0.86,0.05,0.59,0.84,0.02
050US01073,0.64,0.25,0.69,0.51,0.45,0.09,0.48,0.65,0.05
050US01075,0.04,0.86,0.11,0.29,0.86,0.02,0.0,0.0,0.0
050US01077,0.46,0.68,0.24,0.37,0.77,0.05,0.47,0.82,0.02
050US01079,0.69,0.53,0.38,0.41,0.68,0.04,0.75,0.81,0.01
050US01081,0.35,0.56,0.35,0.19,0.69,0.05,0.43,0.65,0.08
050US01083,0.38,0.69,0.21,0.34,0.74,0.1,0.67,0.7,0.04
050US01085,0.25,0.23,0.76,0.31,0.33,0.01,0.0,0.0,0.0
050US01087,0.58,0.11,0.86,0.6,0.18,0.06,0.99,0.01,0.02
050US01089,0.49,0.45,0.44,0.44,0.54,0.11,0.35,0.68,0.04
050US01091,0.29,0.41,0.58,0.59,0.39,0.02,0.0,0.0,0.0
050US01093,0.33,0.89,0.05,0.35,0.89,0.04,0.44,0.9,0.0
050US01095,0.49,0.74,0.06,0.49,0.67,0.28,0.58,0.81,0.02
050US01097,0.56,0.34,0.6,0.39,0.63,0.07,0.5,0.63,0.06
050US01099,0.35,0.46,0.5,0.59,0.45,0.03,0.32,0.53,0.01
050US01101,0.53,0.23,0.7,0.55,0.32,0.12,0.51,0.46,0.1
050US01103,0.54,0.54,0.27,0.56,0.55,0.18,0.46,0.84,0.02
050US01105,0.19,0.27,0.71,0.27,0.33,0.01,0.36,0.31,0.0
050US01107,0.37,0.46,0.48,0.66,0.4,0.13,0.71,0.33,0.0
050US01109,0.25,0.52,0.43,0.35,0.6,0.01,0.47,0.59,0.05
050US01111,0.27,0.69,0.27,0.29,0.8,0.04,0.73,0.79,0.02
050US01113,0.43,0.37,0.53,0.4,0.43,0.08,0.27,0.58,0.01
050US01115,0.32,0.82,0.14,0.38,0.85,0.04,0.53,0.88,0.02
050US01117,0.28,0.73,0.17,0.38,0.72,0.11,0.45,0.78,0.04
050US01119,0.27,0.23,0.74,0.22,0.27,0.0,0.41,0.32,0.06
050US01121,0.31,0.54,0.42,0.51,0.58,0.06,0.71,0.66,0.03
050US01123,0.33,0.57,0.39,0.61,0.61,0.08,0.73,0.65,0.02
050US01125,0.54,0.38,0.57,0.43,0.59,0.1,0.55,0.67,0.05
050US01127,0.41,0.82,0.13,0.54,0.83,0.07,0.65,0.87,0.02
050US01129,0.25,0.61,0.27,0.48,0.76,0.03,0.64,0.78,0.02
050US01131,0.2,0.25,0.71,0.43,0.35,0.02,0.0,0.0,0.0
050US01133,0.42,0.92,0.01,0.35,0.93,0.05,0.78,0.96,0.01
050US02013,0.0,0.15,0.03,0.0,0.15,0.1,0.0,0.15,0.26
050US02016,0.02,0.24,0.04,0.0,0.24,0.14,0.12,0.25,0.45
050US02020,0.41,0.5,0.1,0.27,0.55,0.11,0.37,0.52,0.14
050US02050,0.17,0.21,0.02,0.05,0.19,0.05,0.18,0.21,0.03
050US02060,0.0,0.54,0.0,0.0,0.54,0.04,0.0,0.54,0.0
050US02068,0.0,0.81,0.01,0.0,0.81,0.0,0.0,0.81,0.05
050US02070,0.34,0.15,0.01,0.27,0.25,0.07,0.26,0.16,0.02
050US02090,0.41,0.63,0.08,0.28,0.67,0.11,0.4,0.66,0.05
050US02100,0.0,0.78,0.0,0.0,0.78,0.04,0.0,0.78,0.03
050US02105,0.01,0.44,0.03,0.01,0.44,0.07,0.01,0.44,0.03
050US02110,0.34,0.61,0.02,0.15,0.65,0.07,0.28,0.59,0.08
050US02122,0.46,0.81,0.01,0.2,0.78,0.05,0.34,0.75,0.03
050US02130,0.27,0.6,0.01,0.2,0.62,0.06,0.44,0.56,0.12
050US02150,0.81,0.75,0.02,0.21,0.48,0.1,0.36,0.39,0.37
050US02158,0.0,0.04,0.0,0.0,0.04,0.01,0.0,0.04,0.0
050US02164,0.0,0.22,0.01,0.0,0.22,0.01,0.0,0.22,0.02
050US02170,0.44,0.77,0.02,0.17,0.78,0.05,0.24,0.79,0.02
050US02180,0.03,0.25,0.01,0.17,0.28,0.06,0.67,0.08,0.02
050US02185,0.32,0.42,0.01,0.28,0.46,0.03,0.77,0.16,0.1
050US02188,0.01,0.16,0.01,0.01,0.16,0.02,0.1,0.14,0.01
050US02195,0.0,0.63,0.01,0.0,0.63,0.1,0.0,0.63,0.09
050US02198,0.08,0.56,0.01,0.4,0.36,0.05,0.22,0.44,0.01
050US02220,0.18,0.65,0.01,0.06,0.62,0.06,0.24,0.59,0.08
050US02230,0.0,0.84,0.01,0.0,0.84,0.05,0.0,0.84,0.02
050US02240,0.23,0.84,0.01,0.21,0.84,0.08,0.54,0.61,0.04
050US02261,0.09,0.69,0.0,0.09,0.71,0.05,0.47,0.68,0.07
050US02275,0.0,0.66,0.0,0.0,0.66,0.05,0.0,0.66,0.03
050US02282,0.0,0.42,0.0,0.0,0.42,0.07,0.0,0.42,0.08
050US02290,0.73,0.19,0.01,0.32,0.22,0.03,0.5,0.15,0.01
