HEROP_ID,ParkArea,Cover,CntBupT,CntMetT,CntNalT,AvBupTime,AvMetTime,AvNalTime,PctBupT,PctMetT,PctNalT,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD13,MlHcvD13,FlHcvD13,AmInHcvD13,AsPiHcvD13,BlkHcvD13,HspHcvD13,U50HcvD13,A50_74HcvD13,O75HcvD13,HcvD14,MlHcvD14,FlHcvD14,AmInHcvD14,AsPiHcvD14,BlkHcvD14,HspHcvD14,U50HcvD14,A50_74HcvD14,O75HcvD14,HcvD15,MlHcvD15,FlHcvD15,AmInHcvD15,AsPiHcvD15,BlkHcvD15,HspHcvD15,U50HcvD15,D50_74Hcv15,O75HcvD15,HcvD16,MlHcvD16,FlHcvD16,AmInHcvD16,AsPiHcvD16,BlkHcvD16,HspHcvD16,U50HcvD16,A50_74HcvD16,O75HcvD16,HcvD17,MlHcvD17,FlHcvD17,AmInHcvD17,AsPiHcvD17,BlkHcvD17,HspHcvD17,U50HcvD17,A50_74HcvD17,O75HcvD17,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,PrMsuse20P,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MedcdExp19,MedcdExp18,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,ExpSsp,NoPrphLw,NtPrFrDsSy,PrExcInj,PrNtRefInj,NoLwRmUnc,MdMarijLaw,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT
040US01,9179680820.0,4.59,1004,599,712,14.66,36.44,30.61,0.85,0.51,0.6,30700,19400,10500,9400,19800,700,9400,20500,234,168,66.0,,,60.0,,,188.0,,246,165,81.0,,,66.0,,13.0,214.0,,187,136,51.0,,,50.0,,17.0,148,,166,120,46.0,,,45.0,,,135.0,,188,142,46.0,,,59.0,,11.0,149.0,11.0,204.2,146.2,58.0,,,56.0,,7.8,166.8,1.4,3.56,1.0,1.0,1,0,1.0,8/1/2004,11/1/2005,4/1/2006,,8/1/2004,6/10/2015,,1.0,0,7/1/2015,7/1/2015,,1.0,1.0,0.0,5916189723,5598446200,4014987200,1583459000,,,0,0,0,0,0,1,0,501051,167017.0,501051,1002102,642843.0,1609448.0,642843.0,1285686.0,1143894,1776465,1143894,2287788
040US02,469000000000.0,8.99,0,0,0,,,,0.0,0.0,0.0,5200,3600,1600,1300,3800,100,200,5000,62,44,18.0,,,,,,37.0,,60,41,19.0,,,,,,35.0,,41,34,,,,,,,14,,50,33,17.0,14.0,,,,,33.0,,38,24,14.0,,,,,,10.0,,50.2,35.2,13.4,2.0,,,,,25.8,,3.61,1.0,1.0,1,0,1.0,9/7/2008,9/1/2008,1/1/2012,,9/7/2008,9/8/2008,,1.0,0,4/1/2016,4/1/2016,,1.0,1.0,0.0,2113813188,2077801600,1088386100,576420900,398204400.0,14790200.0,0,1,0,0,0,0,1,349572,116524.0,349572,699144,19371.0,489925.0,19371.0,38742.0,368943,606449,368943,737886
040US04,49969878090.0,2.54,1434,1258,1410,8.08,20.01,10.75,0.94,0.82,0.92,61500,44400,18800,16300,45400,1400,4100,59300,531,389,142.0,21.0,,33.0,148.0,56.0,431.0,21.0,553,411,142.0,25.0,,24.0,138.0,52.0,450.0,32.0,567,411,156.0,30.0,,26.0,135.0,57.0,459,31.0,500,355,145.0,15.0,,29.0,93.0,33.0,420.0,15.0,480,344,136.0,19.0,,28.0,132.0,32.0,407.0,25.0,526.2,382.0,144.2,22.0,,28.0,129.2,46.0,433.4,24.8,3.89,1.0,1.0,1,0,1.0,9/19/2007,9/1/2007,12/1/2008,,9/19/2007,4/26/2018,,0.67,0,9/1/2016,9/1/2016,,1.0,1.0,0.0,13178700072,11769148600,6371629300,2523317200,2653909200.0,220292800.0,0,0,0,0,0,1,1,754293,251431.0,754293,1508586,1848045.0,3429846.0,1848045.0,3696090.0,2602338,3681277,2602338,5204676
040US05,1893672651.0,1.03,536,232,474,17.79,51.93,24.77,0.78,0.34,0.69,21800,14900,6900,5800,15500,500,4600,17300,171,126,45.0,,,21.0,,14.0,133.0,,160,109,51.0,,,23.0,,,133.0,,183,134,49.0,,,29.0,,,145,,184,133,51.0,,,32.0,,,160.0,,169,121,48.0,,,24.0,,13.0,143.0,,173.4,124.6,48.8,,,25.8,,4.8,142.8,,3.36,1.0,1.0,1,0,1.0,3/11/2011,3/1/2013,5/1/2013,,7/27/2011,7/22/2015,7/22/2015,1.0,1,8/1/2015,8/1/2015,,1.0,1.0,0.0,6899029518,6400396000,3228811200,1323965200,1739970200.0,107649400.0,0,0,1,0,0,0,1,317061,105687.0,317061,634122,531165.0,870184.0,531165.0,1062330.0,848226,975871,848226,1696452
040US06,107000000000.0,15.08,7918,7251,7648,5.15,14.72,8.86,0.98,0.9,0.95,318900,225200,98000,54800,254600,13300,49400,274400,3476,2442,1034.0,55.0,213.0,373.0,967.0,298.0,2809.0,350.0,3409,2417,992.0,51.0,193.0,397.0,997.0,274.0,2800.0,319.0,3245,2281,964.0,57.0,179.0,370.0,959.0,233.0,2645,352.0,2917,2033,884.0,52.0,159.0,367.0,868.0,193.0,2406.0,308.0,2630,1838,792.0,54.0,137.0,330.0,780.0,152.0,2154.0,311.0,3135.4,2202.2,933.2,53.8,176.2,367.4,914.2,230.0,2562.8,328.0,3.69,1.0,1.0,1,0,1.0,1/1/1939,1/1/1990,9/1/2009,,1/1/1998,1/1/2013,1/1/2013,1.0,1,1/1/2008,1/1/2014,,1.0,1.0,0.0,88735876561,89944234400,36497606700,35151528200,17251390500.0,1043709100.0,1,0,0,0,0,0,1,5647680,1882560.0,5647680,11295360,18713541.0,25783987.0,18713541.0,37427082.0,24361221,27666547,24361221,48722442
040US08,51431167579.0,12.22,1168,893,1154,8.39,25.99,10.71,0.94,0.71,0.92,36300,25100,10900,9100,26100,800,3700,32300,349,263,86.0,,,25.0,101.0,29.0,285.0,13.0,352,228,124.0,,,25.0,84.0,23.0,298.0,20.0,362,240,122.0,,,36.0,92.0,16.0,304,10.0,385,288,97.0,,,36.0,99.0,20.0,327.0,20.0,386,251,135.0,,,47.0,91.0,31.0,317.0,13.0,366.8,254.0,112.8,,,33.8,93.4,23.8,306.2,15.2,3.7,1.0,1.0,1,0,1.0,6/3/2005,6/1/2005,2/1/2008,,6/3/2005,5/29/2012,8/10/2016,1.0,1,6/1/2013,5/1/2015,,1.0,1.0,0.0,9299627439,9229483200,3812195000,3792747500,1525136400.0,99404300.0,1,0,0,0,0,0,1,578478,192826.0,578478,1156956,1402407.0,2693737.0,1402407.0,2804814.0,1980885,2886563,1980885,3961770
040US09,1880342992.0,1.17,833,814,830,4.33,11.02,7.11,1.0,0.98,1.0,18300,12900,4900,5600,11700,400,3700,14100,160,111,49.0,,,31.0,28.0,13.0,121.0,,156,116,40.0,,,23.0,38.0,13.0,133.0,,153,119,34.0,,,19.0,27.0,,121,,123,91,32.0,,,24.0,27.0,,99.0,,130,92,38.0,,,24.0,31.0,,103.0,,144.4,105.8,38.6,,,24.2,30.2,4.6,115.4,,3.48,1.0,1.0,1,1,1.0,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,10/1/2011,10/1/2011,1.0,1,10/1/2003,10/1/2017,7/1/2015,1.0,0.25,1.0,8598198181,8579843200,3270834800,3257617600,1822845100.0,228545700.0,1,0,0,0,1,0,1,669357,223119.0,669357,1338714,0.0,1582453.0,0.0,0.0,669357,1805572,669357,1338714
040US10,839131003.3,0.48,218,218,218,5.61,10.79,8.17,1.0,1.0,1.0,6300,4300,2000,1800,4300,100,2300,4000,53,37,16.0,,,16.0,,,25.0,,50,44,,,,20.0,,,31.0,,45,36,,,,13.0,,,29,,47,33,14.0,,,17.0,,,36.0,,49,34,15.0,,,17.0,,,23.0,,48.8,36.8,8.6,,,16.6,,,28.8,,3.34,1.0,1.0,1,0,1.0,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,8/31/2013,8/31/2013,1.0,1,9/1/2014,9/1/2014,,1.0,1.0,0.0,2254530291,2318701900,987366600,761443100,514715800.0,55176500.0,1,0,0,0,0,0,1,440268,146756.0,440268,880536,0.0,270786.0,0.0,0.0,440268,417542,440268,880536
040US11,25548615.98,0.14,179,179,179,1.53,6.21,5.16,1.0,1.0,1.0,12700,7900,5200,1000,11500,500,11900,1200,103,80,23.0,,,96.0,,,89.0,,92,63,29.0,,,80.0,,,72.0,,101,74,27.0,,,88.0,,,94,,95,67,28.0,,,89.0,,,71.0,,83,65,18.0,,,76.0,,,59.0,,94.8,69.8,25.0,,,85.8,,,77.0,,3.62,1.0,1.0,1,0,1.0,2/22/2014,2/1/2014,10/1/2016,,2/22/2014,3/19/2013,3/19/2013,1.0,1,4/1/2013,3/1/2017,3/1/2017,1.0,0.83,0.83,2901113778,2780196600,1634749600,701938800,417278500.0,26229700.0,1,0,0,0,0,0,1,0,,0,0,,,,,0,0,0,0
040US12,36913909440.0,16.36,4161,3255,3933,6.58,22.95,12.3,0.98,0.77,0.93,151000,104300,46600,37200,109000,4400,27300,123900,1261,885,376.0,,10.0,179.0,124.0,92.0,1061.0,84.0,1266,897,369.0,,,159.0,141.0,86.0,1072.0,88.0,1270,897,373.0,,12.0,162.0,131.0,105.0,1074,81.0,1222,859,363.0,,,173.0,143.0,76.0,1030.0,103.0,1222,870,352.0,,13.0,171.0,144.0,99.0,1004.0,110.0,1248.2,881.6,366.6,,6.6,168.8,136.6,91.6,1048.2,93.2,3.45,1.0,1.0,1,0,1.0,6/18/2009,12/1/2010,10/1/2011,,7/1/2009,10/1/2012,,1.0,0,7/1/2015,7/1/2016,,1.0,1.0,0.0,24504283362,23376959100,14473538300,8903420700,,,1,0,0,0,0,0,1,1819119,606373.0,1819119,3638238,5889987.0,11925508.0,5889987.0,11779974.0,7709106,12531881,7709106,15418212
