HEROP_ID,Age15_24P,ForDqP,ForDqTot,TotPcp,TotSp
040US01,13.53,10.68,54.4,3031,5194
040US02,14.11,4.67,24.11,652,933
040US04,13.77,14.24,148.17,4266,8267
040US05,13.56,9.39,46.92,1879,2911
040US06,13.78,13.7,126.0,28810,49880
040US08,13.25,9.84,80.8,4079,7301
040US09,13.76,8.46,55.12,2991,6337
040US10,12.72,7.35,56.28,735,1305
040US11,13.37,7.09,37.66,1069,2607
040US12,12.07,18.45,200.21,13738,26609
040US13,13.98,12.97,110.09,6293,11241
040US15,12.27,5.53,41.27,1296,2115
040US16,13.87,6.28,62.24,985,1677
040US17,13.44,11.71,78.12,10167,17182
040US18,14.1,14.76,95.37,4389,7969
040US19,14.16,7.86,39.23,2260,3124
040US20,14.36,8.33,41.11,2042,3157
040US21,13.45,10.88,53.37,2878,5368
040US22,13.53,10.84,50.2,2958,6077
040US23,11.79,9.54,49.56,1434,2039
040US24,12.89,8.94,85.45,5191,10488
040US25,13.94,9.57,68.72,6848,13731
040US26,13.92,15.31,87.62,7934,13119
040US27,13.0,9.29,63.59,4842,7441
040US28,14.22,13.98,74.98,1646,3032
040US29,13.43,9.58,61.91,4234,7956
040US30,13.24,4.79,20.11,772,1302
040US31,13.98,8.02,36.59,1309,2124
040US32,12.3,19.26,201.96,1595,2975
040US33,13.31,7.69,58.34,1265,2089
040US34,12.7,9.83,66.75,7151,14237
040US35,13.77,7.39,39.08,1601,2383
040US36,13.16,8.35,35.12,16887,35579
040US37,13.56,8.54,64.7,6715,12052
040US38,15.19,4.17,11.68,561,899
040US39,13.29,14.76,82.39,8805,15791
040US40,13.86,9.49,39.61,2469,3832
040US41,12.52,5.21,43.23,3463,5597
040US42,13.04,8.16,44.8,10212,19844
040US44,14.42,12.24,92.47,945,1792
040US45,13.34,10.58,69.99,3125,5726
040US46,13.63,6.84,18.91,656,998
040US47,13.18,10.85,69.9,4622,8487
040US48,14.29,9.65,56.57,14934,28433
040US49,16.14,6.16,60.09,1585,3106
040US50,14.26,5.51,24.1,680,960
040US51,13.45,7.83,72.74,6226,11088
040US53,12.74,5.53,48.09,5904,9499
040US54,12.49,9.28,43.21,1479,2267
040US55,13.56,9.73,57.3,4764,7903
040US56,13.17,4.08,23.06,375,620
