HEROP_ID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
050US01001,55200,54654,5071,23315,24124.0,76.88,19.14,0.29,1.03,0.06,2.61,2.77,0.24,58.83,14.58,3263,7579,3855,3337,21630,3874,3979,4131,2694,8050,41831,33781,19.3,11.31,12.28,1.34,11.96,0,0,0,4.2,15.4,29667.0,29372.0,0.46,9.28,21.32,10.8,8.93,10660.0,44.19,17.21,9.44,18.35,23.2,25.11,39.22,3.0,0.0,0.0,0.22
050US01003,208107,205093,19354,111945,93379.0,86.27,9.5,0.73,0.81,0.0,2.69,4.49,0.22,52.77,19.54,11609,26012,12707,10790,72200,13694,14636,14440,14851,40665,162430,121765,14.0,9.74,11.94,2.29,15.87,51,28,51,4.4,10.6,28632.0,31203.0,0.46,7.94,19.83,12.15,13.71,41899.0,44.87,13.82,29.77,11.68,19.84,26.38,70.42,21.0,0.01,0.0,0.19
050US01005,25782,22882,1561,11937,8720.0,47.38,47.58,0.28,0.37,0.0,4.39,4.29,0.21,55.81,17.97,1390,3127,1434,1658,9871,1672,1780,1657,1651,4634,20346,15712,22.2,26.97,7.67,1.89,8.12,0,0,0,9.5,28.9,18138.0,18461.0,0.47,9.86,36.08,8.78,10.62,5100.0,58.49,32.61,23.05,29.19,34.44,38.6,13.49,3.0,0.0,0.0,0.23
050US01007,22527,20436,1278,9161,8099.0,76.65,22.28,0.04,0.16,0.0,0.87,2.43,0.21,56.45,16.25,1275,2467,1514,1491,8975,1813,1626,1494,1216,3661,17868,14207,16.7,16.79,7.15,1.85,18.3,0,0,0,7.5,14.0,22298.0,20199.0,0.43,9.33,34.24,13.47,9.15,5132.0,63.37,26.75,25.34,28.54,36.47,24.93,14.72,1.0,0.0,0.0,0.26
050US01009,57645,57102,3765,24222,21346.0,95.51,1.5,0.24,0.34,0.03,2.38,9.13,0.23,55.44,17.75,3485,7627,3717,3189,20845,3959,3988,3895,3613,10233,44177,33944,14.2,19.84,8.53,1.78,10.23,0,0,0,4.1,14.4,26509.0,22656.0,0.43,6.34,30.34,13.36,11.76,11991.0,56.17,23.9,14.95,25.22,29.72,21.37,37.56,2.0,0.0,0.0,0.26
050US01011,10352,9922,356,4526,3940.0,21.99,76.25,1.18,0.54,0.0,0.05,0.49,0.21,57.64,15.61,596,1174,772,706,4197,611,711,593,854,1616,8202,6586,14.4,24.77,4.34,2.51,5.05,0,0,0,11.1,31.4,21020.0,20346.0,0.52,9.77,46.85,6.45,6.47,2528.0,64.16,30.67,20.26,33.38,42.88,24.47,7.27,1.0,0.0,0.0,0.26
050US01013,20025,19703,1174,10026,7885.0,52.0,45.22,0.01,1.15,0.0,1.61,0.33,0.23,54.74,19.01,1205,2567,1292,1073,7190,1168,1259,1460,1370,3806,15459,11653,17.7,15.42,7.6,2.94,20.4,0,0,0,6.7,23.5,19627.0,20430.0,0.47,7.44,33.8,12.97,11.24,4757.0,60.33,31.0,33.09,26.18,34.98,30.05,12.91,2.0,0.0,0.0,0.26
050US01015,115098,111986,9549,53682,48157.0,74.33,20.57,0.31,0.93,0.01,3.85,3.65,0.22,56.32,16.84,6562,14002,7773,7626,44261,7148,7810,7851,8078,19386,89902,70516,20.8,15.95,10.66,2.98,18.17,72,19,72,8.8,18.6,23036.0,24706.0,0.47,8.82,26.05,12.92,12.64,26181.0,54.37,21.22,16.11,14.72,28.52,30.53,88.6,7.0,0.01,0.0,0.23
050US01017,33826,33314,2209,16981,14786.0,57.6,39.38,0.29,1.2,0.0,1.54,2.27,0.21,52.99,18.95,1950,3827,1960,2525,12149,2281,2367,2638,2205,6409,26820,20411,16.7,18.6,8.24,2.61,15.22,0,0,0,5.0,16.6,22015.0,22827.0,0.46,6.97,36.07,11.85,10.42,8837.0,59.77,28.07,20.41,14.0,33.0,32.24,28.46,2.0,0.0,0.0,0.23
050US01019,25853,25579,2086,16531,9805.0,92.82,4.9,0.91,0.21,0.0,1.15,1.54,0.2,48.84,21.74,1204,2990,1603,1383,8432,1749,1893,2047,1917,5621,20567,14946,20.0,19.77,10.14,1.5,8.34,0,0,0,5.6,15.0,22353.0,23356.0,0.45,7.48,39.59,15.78,11.01,6414.0,65.42,24.97,35.84,29.19,29.16,21.04,29.87,,,,0.23
