HEROP_ID,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,BedCnt,PntInTm,YrlyBedCnt,UnempP,PovP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AlcTot,AlcDens,AlcPerCap,Ndvi
040US01,4864680,4745881,335599,2244462,2076708,68.19,26.58,0.53,1.33,0.04,3.32,4.18,77,57.49,16.11,292125,614267,323914,334416,1890372,310307,330762,334011,309004,783832,3765887,2982055,16.3,14.24,8.94,2.11,16.98,6815,5642,6704,6.6,17.5,25375,26846,0.48,8.9,23.74,13.49,11.76,1026959,49.45,19.81,17.12,13.29,26.54,31.45,44.32,378,0.01,0,0.24
040US02,738516,711117,67452,315386,351152,64.84,3.27,14.44,6.3,1.2,9.95,6.93,75,63.91,10.62,54240,102349,47451,56749,315398,44874,48470,50904,43853,78428,552378,473950,12.0,7.28,12.6,4.08,27.51,0,0,0,7.4,10.8,33413,35874,0.42,9.38,16.63,14.66,10.93,167856,47.8,11.46,19.63,4.71,21.31,36.02,0.55,147,0.0,0,0.05
040US04,6946685,6790680,487684,2970935,3045978,77.22,4.39,4.46,3.29,0.2,10.43,31.14,76,59.22,16.67,436102,920099,468197,488355,2757583,420088,425175,420490,408828,1158320,5312902,4154582,12.9,13.23,9.21,3.18,24.65,18480,17052,18196,6.5,16.1,28815,29265,0.47,8.85,16.15,13.02,12.16,1344429,44.14,12.85,15.03,10.47,16.73,36.38,26.15,298,0.0,0,0.1
040US05,2990671,2906459,202572,1362040,1292263,77.0,15.41,0.67,1.47,0.27,5.18,7.32,76,58.49,16.3,190311,395579,201068,204406,1163477,182094,194386,195360,181928,487536,2284728,1797192,17.2,13.81,8.88,2.5,18.55,3236,2556,3216,5.5,17.6,24977,25635,0.48,9.51,24.09,14.97,13.3,658909,50.99,21.07,15.41,12.27,21.68,34.35,26.18,399,0.01,0,0.1
040US06,39148760,38329281,1618861,14084824,18309012,60.1,5.79,0.76,14.32,0.39,18.64,38.88,77,61.35,13.58,2480679,5055988,2583578,2809630,16482385,2577771,2578082,2465921,2192477,5315457,30075105,24759648,10.6,17.07,5.41,3.56,28.27,159548,139209,155026,6.7,14.3,30797,35021,0.49,8.51,18.55,12.47,10.63,7920148,43.26,10.64,7.95,3.69,23.14,45.35,90.41,6054,0.04,0,0.22
040US08,5531141,5411306,375746,2352202,2839374,84.17,4.12,0.99,3.12,0.15,7.45,21.42,77,61.13,13.39,335199,714733,354630,377987,2331051,357390,357964,363001,331165,740638,4271322,3530684,10.6,8.61,8.87,2.81,27.14,17644,14667,16848,4.7,10.9,34109,36415,0.46,8.73,17.96,12.03,10.84,1151623,40.56,9.41,10.15,4.13,17.91,35.12,22.7,1352,0.01,0,0.09
040US09,3581504,3466662,173998,1512305,1810445,76.36,10.56,0.27,4.43,0.03,8.34,15.69,79,55.0,16.41,184983,425141,247182,245490,1359543,249188,272950,266170,235949,587580,2828879,2241299,11.0,9.51,6.17,2.59,19.7,12270,11097,11702,6.5,10.0,36515,43056,0.5,10.91,17.6,15.58,10.6,729279,40.28,11.57,9.58,0.78,29.97,33.66,312.29,1215,0.25,0,0.17
040US10,949495,924444,66590,428251,450946,68.97,22.11,0.36,3.87,0.05,4.64,9.09,79,55.41,17.6,54854,113842,59798,61022,357416,60008,66445,68175,61626,167129,746069,578940,12.3,10.22,8.96,2.8,22.04,2226,1858,1917,5.9,11.9,32357,33989,0.45,9.71,16.89,15.11,12.16,196456,43.57,11.82,16.46,8.26,25.16,28.92,219.81,258,0.13,0,0.22
040US11,684498,644878,26936,311545,369194,40.97,46.94,0.29,3.9,0.05,7.84,10.92,82,66.68,11.94,44692,61291,37417,54117,350426,38274,38186,36453,33464,81712,562761,481049,11.8,9.41,4.81,3.7,29.71,29452,22351,28669,7.4,16.8,46436,53321,0.53,9.54,4.46,9.0,4.68,92135,24.96,14.06,9.7,0.07,21.43,58.21,5095.99,156,2.55,0,0.13
040US12,20598139,20166501,1452967,9348689,9253932,75.39,16.1,0.28,2.71,0.06,5.45,25.17,80,53.75,19.73,1117420,2308718,1201106,1284168,7644981,1326465,1422372,1399430,1314377,4064376,16449587,12385211,13.4,12.05,8.86,3.12,23.96,45338,39304,44549,6.3,14.8,26895,30197,0.49,7.62,14.18,13.4,12.91,4120574,44.53,13.1,18.47,8.96,19.62,34.99,174.26,2137,0.04,0,0.16
040US13,10297484,10037150,636725,4241003,4721065,59.04,31.46,0.33,3.91,0.06,5.21,9.4,76,61.21,13.13,655810,1415275,721206,718646,4232187,704947,702308,656064,578604,1352289,7796189,6443900,12.3,13.32,8.22,2.57,21.87,19215,16918,18904,6.4,16.0,28283,29523,0.48,9.28,19.23,11.55,11.71,2108005,44.65,15.06,12.53,9.04,21.2,36.92,73.48,999,0.02,0,0.17
040US15,1422029,1377998,105563,539053,677446,25.01,1.85,0.21,37.75,10.08,25.11,10.4,78,57.43,17.3,90388,168781,77674,96819,557572,86972,89653,92789,89919,245955,1115528,869573,11.2,8.16,9.82,4.36,24.77,0,0,0,4.5,9.9,34016,34035,0.44,9.09,12.73,11.42,11.53,313938,46.34,11.85,15.26,0.2,32.17,41.69,83.93,104,0.02,0,0.12
040US16,1687809,1657779,115045,711731,768701,90.49,0.68,1.35,1.41,0.16,5.91,12.39,74,60.9,15.04,114164,250361,120633,113385,663428,98136,100923,105507,101489,253801,1248633,994832,13.3,9.43,9.24,2.66,23.03,3036,2408,2858,4.7,13.8,26198,26772,0.45,8.98,23.21,13.48,11.99,368213,47.9,13.25,13.12,8.33,18.47,30.73,8.61,120,0.0,0,0.25
040US17,12821497,12523597,595185,5347268,6225964,71.67,14.23,0.25,5.39,0.04,8.43,16.96,77,59.05,14.78,776957,1639302,847578,875317,5154249,835418,871121,868764,780783,1894903,9894936,8000033,10.9,11.11,6.03,2.43,20.26,29116,24595,28041,6.6,13.1,31597,34463,0.48,9.32,19.13,13.59,10.76,2746439,44.11,13.83,9.67,2.46,26.47,33.97,96.32,1288,0.02,0,0.19
040US18,6637426,6449747,390220,2870670,3164414,83.59,9.33,0.22,2.18,0.04,4.62,6.78,76,59.0,15.01,418299,883260,458348,477704,2614698,419401,445154,448932,411619,996063,5063133,4067070,13.8,11.42,7.71,2.78,20.83,12594,10198,11750,5.4,14.1,28562,28461,0.45,9.11,27.0,13.81,11.09,1598278,50.51,16.29,11.04,4.85,24.92,31.05,80.13,913,0.03,0,0.27
040US19,3132499,3032415,188867,1386722,1609481,90.28,3.51,0.37,2.4,0.1,3.35,5.85,77,57.96,16.39,197430,410184,214740,228772,1208062,186082,203506,213388,200535,513312,2402467,1889155,11.6,8.01,7.87,2.64,21.51,5749,4984,5251,3.9,11.7,30824,31085,0.44,10.02,25.91,14.38,11.69,767333,47.68,15.0,9.37,3.73,24.69,28.86,24.83,172,0.0,0,0.19
040US20,2908776,2828708,181453,1266378,1428660,84.59,5.84,0.83,2.87,0.07,5.8,11.71,75,60.08,15.05,194202,402193,200544,217162,1151317,169015,184222,192663,177387,437777,2193231,1755454,13.0,9.27,8.34,2.5,20.39,5095,3823,4860,4.4,12.4,30095,30757,0.46,10.69,22.97,14.01,10.72,658949,46.12,14.5,11.2,4.42,22.38,33.68,15.49,659,0.01,0,0.19
040US21,4440204,4309065,273675,1974406,1959442,87.08,7.98,0.22,1.41,0.06,3.24,3.58,77,57.77,15.57,274440,564733,290396,306631,1726143,287568,306536,309964,279311,691509,3428185,2736676,17.4,14.3,8.02,2.75,20.0,8536,7628,8016,6.1,17.9,25702,26948,0.48,9.52,23.58,14.23,11.93,991654,50.61,17.89,12.45,12.0,25.59,33.03,50.0,602,0.02,0,0.2
040US22,4663616,4534221,250497,2045554,2031115,62.21,32.23,0.56,1.71,0.03,3.26,5.04,76,60.08,14.51,309339,615510,301500,329326,1876915,281619,305087,310932,287507,676707,3555142,2878435,15.0,15.19,7.08,2.56,19.99,9940,8936,9872,6.9,19.4,25737,27027,0.49,9.26,20.89,14.33,11.58,1011686,49.81,20.84,15.13,13.12,26.13,34.73,47.35,277,0.01,0,0.16
040US23,1332813,1296802,107091,739077,665188,94.48,1.34,0.62,1.12,0.02,2.41,1.61,81,50.53,19.45,64437,143379,79747,77353,465663,89226,101508,108271,101153,259176,1078152,818976,15.9,7.69,9.95,3.42,22.32,5352,4531,5175,4.6,12.5,28070,31253,0.45,10.58,19.07,17.16,13.21,312792,47.02,13.66,24.64,8.3,30.39,27.8,23.96,55,0.0,0,0.22
040US24,6003435,5862883,372462,2437740,3051333,56.19,29.78,0.26,6.23,0.05,7.48,9.81,78,58.02,14.58,366174,748555,384501,389347,2368200,411253,440672,421695,371549,875337,4659258,3783921,10.9,9.96,8.04,2.97,22.1,17678,15996,16544,5.6,9.4,38749,40517,0.45,9.93,12.35,13.87,9.55,1190162,39.0,10.69,10.06,1.42,26.36,33.23,251.03,1095,0.11,0,0.19
040US25,6830193,6579553,315859,2882739,3570257,78.48,7.48,0.21,6.48,0.03,7.32,11.55,80,56.8,15.79,362681,766847,459381,492489,2750218,460384,496392,481780,433667,1078224,5450296,4372072,11.6,9.57,5.8,2.69,24.56,42177,39427,41181,5.4,10.8,35972,41794,0.48,11.7,15.56,16.51,10.32,1410862,39.52,10.95,9.74,0.82,29.79,37.7,369.52,1430,0.18,0,0.12
