"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","SomeCollege"
"050US01029","01029",12595,9331,74.08,8840,70.19,8218,65.25,1593,12.65,5466,43.4,11925,94.68,647,5.14,49.09,50.91,96.43,91.59,72.03,71,0.56,4,0.03,12,0.1,0,0,27.35,61.66,5.19
"050US01031","01031",38533,28590,74.2,27034,70.16,25105,65.15,4379,11.36,17312,44.93,31636,82.1,6532,16.95,48.74,51.26,95.07,89.19,67.14,349,0.91,67,0.17,165,0.43,4,0.01,29.53,43.38,14.9
"050US01037","01037",11377,8347,73.37,7914,69.56,7356,64.66,1560,13.71,4559,40.07,7411,65.14,3950,34.72,48.94,51.06,95.85,92.74,79.31,113,0.99,8,0.07,0,0,1,0.01,31.6,56.88,7.96
"050US01039","01039",36850,28202,76.53,26861,72.89,25049,67.98,5985,16.24,14620,39.67,31918,86.62,4835,13.12,47.28,52.72,89.68,84.69,64.29,258,0.7,35,0.09,43,0.12,1,0,27.93,55.73,9.2
"050US01041","01041",14110,10480,74.27,9969,70.65,9268,65.68,2358,16.71,5463,38.72,10372,73.51,3693,26.17,47.55,52.45,90.65,84.41,65.71,128,0.91,25,0.18,7,0.05,4,0.03,24.34,62.38,6.48
"050US01045","01045",47821,34846,72.87,33118,69.25,29732,62.17,3757,7.86,24574,51.39,38744,81.02,7828,16.37,51.89,48.11,107.84,108.79,66.09,1073,2.24,198,0.41,466,0.97,65,0.14,34.45,35.1,18.81
"050US01049","01049",53658,39854,74.27,37949,70.72,35311,65.81,7199,13.42,22783,42.46,52538,97.91,939,1.75,48.44,51.56,93.94,89.42,68.59,281,0.52,90,0.17,38,0.07,6,0.01,27.97,57.33,9.04
"050US01053","01053",38440,28097,73.09,26520,68.99,24485,63.7,4660,12.12,17050,44.35,26056,67.78,11376,29.59,49.58,50.42,98.32,95,65.66,280,0.73,951,2.47,23,0.06,10,0.03,32.83,49.23,10.74
"050US01057","01057",18809,14014,74.51,13324,70.84,12345,65.63,2722,14.47,7840,41.68,16378,87.08,2396,12.74,48.21,51.79,93.09,90.07,71.63,115,0.61,7,0.04,15,0.08,2,0.01,29.56,56.42,6.73
"050US01061","01061",24253,17981,74.14,17056,70.33,15877,65.46,3530,14.55,9914,40.88,21019,86.67,3082,12.71,48.45,51.55,93.98,88.88,69.63,210,0.87,100,0.41,11,0.05,3,0.01,31.09,54,8.95
