"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","BachelorsP","GradSclP","SomeCollege"
"050US01029","01029",14123,11098,78.58,10688,75.68,10150,71.87,1933,13.69,5771,40.86,13380,94.74,523,3.7,49.83,50.17,99.31,96.4,71.98,198,1.4,42,0.3,20,0.14,1,0.01,35.84,37.09,4.86,4.36,13.53
"050US01031","01031",43615,34098,78.18,32809,75.22,31153,71.43,6171,14.15,18071,41.43,33631,77.11,8013,18.37,48.84,51.16,95.48,92.01,68.61,1183,2.71,396,0.91,414,0.95,41,0.09,26.21,26.85,12.33,6.97,20.57
"050US01037","01037",12202,9630,78.92,9311,76.31,8816,72.25,1761,14.43,5081,41.64,7802,63.94,4172,34.19,51.07,48.93,104.39,102.46,78.24,158,1.29,39,0.32,5,0.04,1,0.01,38.33,34.29,5.18,2.85,14.33
"050US01039","01039",37631,29812,79.22,28771,76.46,27296,72.54,6740,17.91,14461,38.43,32436,86.19,4648,12.35,47.81,52.19,91.61,88,65.89,292,0.78,181,0.48,65,0.17,5,0.01,32.96,31.57,7.8,4.42,16.41
"050US01041","01041",13665,10703,78.32,10293,75.32,9803,71.74,2338,17.11,5297,38.76,10088,73.82,3388,24.79,47.3,52.7,89.77,83.61,64.3,87,0.64,51,0.37,15,0.11,1,0.01,29.01,39.92,7.23,3.98,14.68
"050US01045","01045",49129,37495,76.32,36082,73.44,33942,69.09,5807,11.82,21736,44.24,36541,74.38,10002,20.36,49.58,50.42,98.32,95.03,71.75,1642,3.34,297,0.6,529,1.08,72,0.15,29.18,22.22,9.6,4.41,25.93
"050US01049","01049",64452,50347,78.12,48553,75.33,45896,71.21,8882,13.78,27364,42.46,59652,92.55,1083,1.68,48.89,51.11,95.64,92.46,66.58,3578,5.55,518,0.8,124,0.19,36,0.06,34.04,36.19,4.9,3.35,15.44
"050US01053","01053",38440,30267,78.74,29170,75.88,27518,71.59,5236,13.62,16421,42.72,24754,64.4,11837,30.79,50.66,49.34,102.69,102.68,64.6,379,0.99,1157,3.01,94,0.24,10,0.03,34.73,31.48,6.63,3.93,16.01
"050US01057","01057",18495,14635,79.13,14071,76.08,13356,72.21,2976,16.09,7271,39.31,16075,86.92,2207,11.93,48.31,51.69,93.46,89.59,62.09,152,0.82,38,0.21,28,0.15,2,0.01,35.01,33.91,5.75,3.45,15.3
"050US01061","01061",25764,20341,78.95,19581,76,18669,72.46,4203,16.31,10007,38.84,22442,87.11,2743,10.65,48.63,51.37,94.67,90.03,67.92,453,1.76,197,0.76,32,0.12,6,0.02,31.99,34.38,5.57,3.11,17.64
"050US01067","01067",16310,12874,78.93,12385,75.94,11723,71.88,2668,16.36,6298,38.61,10710,65.67,5268,32.3,47.54,52.46,90.63,86.21,63.28,249,1.53,34,0.21,10,0.06,4,0.02,29.11,33.32,9.27,4.81,16.61
