GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
01001,18.19,14.67,35.23,14.67,7.07,76.6,73.22,69.19,12.0,104.46,91.7,75.73,14.47,15.12,78.53,42855,17.67,9643,0.43,232,0.87,474,0.06,32,0.85,466,1.59,869,1.52,828
01003,18.57,12.42,29.89,18.13,8.69,79.67,77.01,73.53,16.77,102.72,93.89,85.77,12.53,12.87,85.67,156153,9.38,17105,0.67,1216,0.74,1348,0.05,89,1.99,3631,1.49,2723,2.85,5186
01005,14.03,28.14,35.38,7.51,6.01,80.8,78.09,74.43,14.24,104.6,116.19,76.48,11.88,12.43,48.0,13180,46.89,12875,0.42,114,0.39,107,0.11,29,3.26,894,0.94,258,3.37,925
01007,15.78,25.45,42.32,7.47,2.56,80.17,77.3,73.7,12.68,112.14,116.87,75.06,11.86,13.3,75.85,17381,22.02,5047,0.28,64,0.1,22,0.06,13,0.81,185,0.89,203,1.35,310
01009,16.6,25.34,36.42,8.36,4.17,78.33,75.39,71.62,14.72,104.9,96.01,79.1,13.29,13.94,92.58,53068,1.33,761,0.54,307,0.2,117,0.07,38,4.09,2347,1.19,684,4.75,2724
01011,17.01,25.31,36.57,8.31,3.7,80.57,77.74,73.81,13.46,106.47,122.21,74.26,12.04,12.82,22.97,2507,70.24,7666,0.21,23,0.18,20,0.39,43,5.21,569,0.79,86,4.44,485
01013,13.84,25.21,38.71,7.82,3.17,78.7,75.86,72.33,16.66,110.93,82.57,65.75,12.63,14.01,54.42,11399,43.42,9095,0.29,60,0.84,177,0.03,7,0.23,48,0.77,161,0.62,130
01015,17.5,21.48,34.47,9.72,6.4,79.78,77.12,72.06,14.33,104.47,89.54,69.39,12.81,13.38,74.92,88840,20.56,24382,0.46,540,0.71,845,0.08,96,1.6,1894,1.67,1975,2.09,2473
01017,16.77,28.15,34.31,7.11,3.73,80.26,77.49,73.74,16.68,104.68,88.26,68.07,12.18,12.75,58.78,20112,38.75,13257,0.2,69,0.49,168,0.03,10,0.63,214,1.13,385,1.06,364
01019,18.45,26.58,35.28,6.27,4.25,81.16,78.58,75.14,17.9,104.95,96.73,81.4,11.67,12.24,92.66,24081,4.65,1208,0.52,135,0.21,54,0.0,1,0.47,123,1.49,387,0.66,171
01021,15.2,24.14,40.47,7.37,4.82,77.82,74.89,71.18,13.57,104.58,96.2,78.02,13.5,14.12,84.12,36713,9.69,4230,0.36,155,0.3,130,0.13,55,4.25,1854,1.16,506,4.81,2098
01023,11.9,28.91,39.25,6.8,4.09,80.25,77.34,73.94,18.18,108.47,89.1,77.52,12.01,13.03,55.78,7731,43.38,6012,0.13,18,0.09,12,0.0,0,0.2,28,0.42,58,0.4,55
01025,12.28,23.86,42.06,8.54,4.91,78.53,75.27,71.29,16.16,100.54,86.66,74.28,13.73,13.8,54.47,14070,43.88,11336,0.4,103,0.3,77,0.02,4,0.26,67,0.68,176,0.71,183
01027,13.97,28.6,38.82,6.38,3.12,80.08,77.43,73.92,17.58,110.76,92.33,79.55,11.87,13.15,81.68,11380,14.83,2066,0.39,55,0.17,24,0.0,0,1.23,172,1.69,235,1.87,261
