"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","SomeCollege"
"040US01","01",3893888,2881414,74,2731640,70.15,2501731,64.25,440015,11.3,1767059,45.38,2872621,73.77,996335,25.59,48.06,51.94,92.54,88,66.27,33299,0.86,7583,0.19,8992,0.23,742,0.02,31.76,43.51,12.55
"040US02","02",401851,286197,71.22,271106,67.46,248019,61.72,11547,2.87,227074,56.51,309728,77.08,13643,3.4,53.01,46.99,112.83,115.88,99.5,9507,2.37,64103,15.95,7369,1.83,685,0.17,38.87,17.47,22.57
"040US04","04",2718215,2025730,74.52,1926728,70.88,1767073,65.01,307362,11.31,1257603,46.27,2240761,82.44,74977,2.76,49.22,50.78,96.93,94.25,79.4,440701,16.21,152745,5.62,20725,0.76,1307,0.05,34.33,27.65,20.61
"040US05","05",2286435,1702332,74.45,1615061,70.64,1489725,65.15,312477,13.67,990843,43.34,1890322,82.68,373768,16.35,48.31,51.69,93.48,89.12,73.85,17904,0.78,9428,0.41,6414,0.28,326,0.01,33.16,44.55,11.47
"040US06","06",23667902,18118479,76.55,17278944,73.01,15914604,67.24,2414250,10.2,11544383,48.78,18030893,76.18,1819281,7.69,49.29,50.71,97.21,94.69,68.77,4544331,19.2,201369,0.85,1192970,5.04,60848,0.26,31.44,26.52,22.43
"040US08","08",2889964,2184834,75.6,2081151,72.01,1905223,65.93,247325,8.56,1487692,51.48,2571498,88.98,101703,3.52,49.63,50.37,98.53,96.31,68.53,339717,11.76,18068,0.63,28315,0.98,1601,0.06,34.58,21.36,21.1
"040US09","09",3107576,2402267,77.3,2284657,73.52,2116734,68.12,364864,11.74,1421200,45.73,2799420,90.08,217433,7,48.2,51.8,93.07,89.35,64.84,124499,4.01,4533,0.15,18623,0.6,347,0.01,34.41,29.67,15.26
"040US10","10",594338,451079,75.9,427743,71.97,390041,65.63,59179,9.96,281175,47.31,487817,82.08,95845,16.13,48.22,51.78,93.13,89.36,65.01,9661,1.63,1328,0.22,3998,0.67,114,0.02,36.21,31.35,14.97
"040US11","11",638333,515624,80.78,494842,77.52,453655,71.07,74287,11.64,324004,50.76,171768,26.91,448906,70.32,46.28,53.72,86.15,82.17,57.87,17679,2.77,1031,0.16,6318,0.99,318,0.05,25.54,32.93,14.07
"040US12","12",9746324,7712135,79.13,7386688,75.79,6892536,70.72,1687573,17.31,4072956,41.79,8184513,83.98,1342688,13.78,47.97,52.03,92.21,88.63,75.93,858158,8.8,19257,0.2,54634,0.56,2106,0.02,35.03,33.33,16.76
"040US13","13",5463105,4027830,73.73,3816975,69.87,3494356,63.96,516731,9.46,2624230,48.04,3947135,72.25,1465181,26.82,48.33,51.67,93.54,89.17,61.95,61260,1.12,7616,0.14,23093,0.42,1364,0.02,28.49,43.58,13.34
"040US15","15",964691,722665,74.91,689108,71.43,630561,65.36,76150,7.89,483145,50.08,318770,33.04,17364,1.8,51.28,48.72,105.25,105.13,101.5,71263,7.39,2768,0.29,452002,46.85,131250,13.61,35.07,26.18,18.41
