"HEROP_ID","FIPS","TotPop","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","Age15_44","Age15_44P","WhitePop","WhiteP","BlackPop","BlackP","MaleP","FemaleP","SRatio","SRatio18","SRatio65","HisPop","HisP","AmIndPop","AmIndP","AsianPop","AsianP","PacIsPop","PacIsP","EduHsP","EduNoHsP","BachelorsP","GradSclP","SomeCollege"
"040US01","01",4040587,3104051,76.82,2981799,73.8,2776242,68.71,522989,12.94,1857895,45.98,2975797,73.65,1020705,25.26,47.92,52.08,92,87.85,64.12,24629,0.61,16506,0.41,21088,0.52,6491,0.16,29.44,33.14,10.14,5.54,21.74
"040US02","02",550043,392558,71.37,377699,68.67,354765,64.5,22369,4.07,294441,53.53,415492,75.54,22451,4.08,52.7,47.3,111.41,113.6,89.3,17803,3.24,85698,15.58,17814,3.24,8588,1.56,28.73,13.37,15.03,8,34.86
"040US04","04",3665228,2782758,75.92,2684109,73.23,2512046,68.54,478774,13.06,1704450,46.5,2963186,80.85,110524,3.02,49.4,50.6,97.64,95.15,76.13,688338,18.78,203527,5.55,51699,1.41,336292,9.18,26.14,21.34,13.32,6.97,32.23
"040US05","05",2350725,1799783,76.56,1729594,73.58,1619715,68.9,350058,14.89,1028120,43.74,1944744,82.73,373912,15.91,48.2,51.8,93.05,88.87,68.96,19876,0.85,12773,0.54,12125,0.52,7171,0.31,32.72,33.65,8.87,4.45,20.31
"040US06","06",29760021,22781986,76.55,22009296,73.96,20598096,69.21,3135552,10.54,14889634,50.03,20524327,68.97,2208801,7.42,50.06,49.94,100.24,98.49,70.43,7687938,25.83,242164,0.81,2735060,9.19,4049669,13.61,22.29,23.81,15.29,8.07,30.54
"040US08","08",3294394,2518425,76.45,2433128,73.86,2284931,69.36,329443,10,1643348,49.88,2905474,88.19,133146,4.04,49.52,50.48,98.09,95.7,70.02,424302,12.88,27776,0.84,57122,1.73,170876,5.19,26.5,15.57,17.99,8.97,30.96
"040US09","09",3287116,2616638,79.6,2537535,77.2,2392261,72.78,445907,13.57,1558159,47.4,2859353,86.99,274269,8.34,48.46,51.54,94.02,90.99,65.42,213116,6.48,6654,0.2,50078,1.52,96762,2.94,29.49,20.79,16.2,10.98,22.54
"040US10","10",666168,519175,77.93,502827,75.48,469241,70.44,80735,12.12,318727,47.84,535094,80.32,112460,16.88,48.48,51.52,94.1,90.86,68.38,15820,2.37,2019,0.3,8888,1.33,7707,1.16,32.68,22.51,13.68,7.73,23.4
"040US11","11",606900,502465,82.79,489808,80.71,454517,74.89,77847,12.83,317456,52.31,179667,29.6,399604,65.84,46.63,53.37,87.36,84.04,57.9,32710,5.39,1466,0.24,10923,1.8,15240,2.51,21.2,26.85,16.11,17.21,18.63
"040US12","12",12937926,10376715,80.2,10071689,77.85,9548934,73.81,2369431,18.31,5597225,43.26,10749285,83.08,1759534,13.6,48.4,51.6,93.79,90.81,74.19,1574143,12.17,36335,0.28,149856,1.16,242916,1.88,30.15,25.55,11.96,6.32,26.02
"040US13","13",6478216,4940195,76.26,4750913,73.34,4425754,68.32,654270,10.1,3210380,49.56,4600148,71.01,1746565,26.96,48.54,51.46,94.32,90.78,62.05,108922,1.68,13348,0.21,73764,1.14,44391,0.69,29.65,29.08,12.91,6.4,21.96
"040US15","15",1108229,856267,77.26,828103,74.72,779554,70.34,125005,11.28,542320,48.94,369616,33.35,27195,2.45,50.88,49.12,103.59,102.72,90.47,81390,7.34,5099,0.46,522967,47.19,183352,16.54,28.72,19.94,15.76,7.13,28.46
