GEOID,SomeCollege,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,FemaleP,MaleP,WhiteP,WhiteE,BlackP,BlackE,AmIndP,AmIndE,AsianP,AsianE,PacIsP,PacIsE,OtherP,OtherE,TwoPlsP,TwoPlsE,HispP,HispE
01,17.23,18.62,31.77,13.84,7.88,79.12,76.31,71.78,13.76,104.16,91.38,73.43,13.08,13.62,68.53,3275394,26.18,1251311,0.59,28218,1.12,53595,0.06,3057,2.03,96910,1.49,71251,2.48,118336
02,22.72,9.29,27.36,17.42,9.58,76.62,73.62,69.24,7.74,106.64,109.45,95.29,14.16,15.1,66.68,473576,3.28,23263,14.77,104871,5.37,38135,1.04,7409,1.56,11102,7.3,51875,3.44,24437
04,21.32,15.04,25.1,16.73,9.58,77.35,74.51,70.07,13.8,104.56,96.89,83.66,13.92,14.55,73.01,4667121,4.05,259008,4.64,296529,2.76,176695,0.2,12648,11.92,761716,3.42,218300,18.64,1191203
05,18.01,18.07,35.31,12.76,6.37,78.35,75.6,71.24,14.4,104.59,93.93,77.22,13.34,13.95,77.0,2245229,15.43,449895,0.76,22248,1.24,36102,0.2,5863,3.41,99571,1.96,57010,3.81,111094
06,19.07,19.32,21.49,19.22,10.84,78.06,75.05,70.4,11.4,105.05,96.93,76.98,13.68,14.37,57.59,21453934,6.17,2299072,0.97,362801,13.05,4861007,0.39,144386,16.96,6317372,4.87,1815384,24.85,9257499
08,18.03,10.69,23.34,23.03,12.85,78.3,75.63,71.48,10.93,105.33,99.1,79.75,13.22,13.92,81.31,4089202,4.01,201737,1.11,56010,2.76,139028,0.13,6623,7.24,364140,3.43,172456,13.21,664462
09,14.0,11.65,28.57,19.86,15.31,80.0,77.14,73.03,14.17,105.03,92.04,72.45,12.5,13.13,77.57,2772410,10.14,362296,0.31,11256,3.79,135565,0.04,1428,5.55,198466,2.59,92676,8.92,318947
10,15.91,12.95,32.17,16.59,11.07,79.83,77.08,72.4,14.4,103.3,91.17,77.71,12.81,13.23,68.89,618617,21.36,191814,0.47,4181,3.18,28549,0.04,400,3.4,30519,2.66,23854,5.14,46136
11,11.91,13.51,19.94,21.95,27.24,85.18,83.25,77.36,11.44,98.28,87.2,67.35,10.37,10.19,38.47,231471,50.71,305125,0.35,2079,3.5,21056,0.05,302,4.05,24374,2.88,17316,7.1,42708
12,16.98,14.7,30.25,16.77,9.14,81.29,78.71,74.62,17.34,104.77,93.28,80.17,11.72,12.28,75.04,14109162,15.96,2999862,0.38,71458,2.42,454821,0.07,12286,3.62,681144,2.51,472577,16.59,3119182
13,16.57,16.52,29.61,17.54,9.67,77.19,74.28,69.81,10.65,104.3,92.45,73.74,14.05,14.66,59.74,5787440,30.46,2950435,0.33,32151,3.25,314467,0.07,6799,4.01,388872,2.14,207489,5.56,539002
15,17.84,10.23,28.97,19.66,9.78,80.21,77.67,73.77,14.35,106.1,98.87,79.1,12.07,12.8,24.74,336599,1.57,21424,0.31,4164,38.6,525078,9.96,135422,1.25,16985,23.57,320629,5.56,75574
16,21.46,11.82,28.84,16.73,7.56,75.59,72.63,68.26,12.42,104.96,98.54,85.7,14.79,15.53,89.09,1396487,0.63,9810,1.37,21441,1.22,19069,0.15,2317,5.07,79523,2.48,38935,6.56,102786
17,17.18,13.79,27.85,18.86,11.42,78.51,75.61,71.35,12.54,104.57,93.74,72.61,13.32,13.93,71.53,9177877,14.55,1866414,0.34,43963,4.57,586934,0.03,4050,6.71,861412,2.26,289982,10.17,1304397
18,16.61,13.79,36.17,14.34,8.09,78.06,75.2,70.61,12.97,104.69,94.33,74.06,13.61,14.25,84.33,5467906,9.12,591397,0.28,18462,1.58,102474,0.04,2348,2.67,173314,1.97,127901,3.63,235369
19,17.09,10.05,34.4,16.99,7.53,78.85,76.1,71.52,14.87,105.19,95.9,74.45,13.13,13.81,91.31,2781561,2.93,89148,0.36,11084,1.74,53094,0.07,2003,1.84,56132,1.75,53333,2.9,88337
20,19.11,10.79,28.87,19.27,10.08,77.34,74.52,70.09,13.18,105.32,96.25,75.6,13.84,14.57,83.8,2391044,5.88,167864,0.99,28150,2.38,67762,0.08,2238,3.86,110127,3.01,85933,6.24,177942
21,16.59,19.04,34.4,12.1,8.24,79.11,76.42,72.17,13.33,104.96,94.43,74.99,12.89,13.53,87.79,3809537,7.78,337520,0.23,10120,1.13,48930,0.06,2501,1.28,55551,1.73,75208,1.91,82887
22,17.02,19.02,34.77,14.04,6.89,78.18,75.34,70.83,12.31,103.91,93.3,74.02,13.57,14.1,62.56,2836192,32.04,1452396,0.67,30579,1.55,70132,0.04,1963,1.53,69227,1.61,72883,3.05,138091
23,15.3,10.24,35.16,17.17,9.38,82.0,79.33,75.28,15.89,105.83,93.43,77.96,11.37,12.04,95.23,1264971,1.18,15707,0.65,8568,1.02,13571,0.03,342,0.32,4261,1.58,20941,0.79,10525
24,15.35,12.24,26.43,19.75,15.95,79.4,76.57,72.33,12.26,104.25,90.63,73.39,12.86,13.41,58.18,3359284,29.45,1700298,0.35,20420,5.52,318853,0.05,3157,3.58,206832,2.85,164708,5.58,322308
25,13.32,11.31,26.74,21.94,16.35,81.0,78.33,73.69,13.79,104.0,90.84,71.52,12.14,12.62,80.41,5265236,6.63,434398,0.29,18850,5.34,349768,0.03,2223,4.66,305151,2.63,172003,6.37,416775
26,18.69,11.96,31.46,15.46,9.56,79.24,76.28,71.69,13.78,104.84,93.73,75.83,13.08,13.72,78.95,7803120,14.17,1400362,0.63,62007,2.41,238199,0.03,2604,1.49,147029,2.33,230319,2.68,264511
27,17.79,8.67,27.84,21.34,10.08,78.59,75.79,71.64,12.88,104.66,96.64,77.38,13.18,13.8,85.3,4524062,5.17,274412,1.15,60916,4.04,214234,0.04,2156,1.94,103000,2.36,125145,2.81,148836
28,17.98,20.38,30.87,12.63,6.83,77.51,74.54,69.83,12.82,104.09,91.28,72.4,14.03,14.6,59.13,1754684,37.02,1098385,0.51,15030,0.87,25742,0.04,1187,1.29,38162,1.15,34107,1.85,54977
29,17.62,13.84,32.57,15.83,9.22,78.99,76.2,71.82,14.0,104.75,93.39,75.46,13.06,13.68,82.8,4958770,11.58,693391,0.46,27376,1.64,98083,0.1,6261,1.34,80457,2.08,124589,2.2,131812
30,18.74,9.04,31.25,19.22,8.65,80.1,77.4,73.23,14.83,106.04,99.39,86.46,12.31,13.06,89.44,884961,0.41,4027,6.32,62555,0.63,6253,0.07,668,0.6,5975,2.52,24976,1.76,17420
31,19.02,10.0,29.64,18.89,8.78,77.63,74.86,70.47,13.51,104.8,96.43,75.85,13.7,14.36,86.12,1572838,4.54,82885,1.01,18427,1.77,32293,0.07,1279,4.33,79109,2.16,39510,5.38,98221
32,21.32,15.72,29.67,14.43,7.42,78.12,75.38,71.42,12.01,105.08,101.06,89.27,13.29,13.97,66.16,1786688,8.1,218626,1.19,32062,7.24,195436,0.62,16871,12.03,324793,4.67,126075,16.83,454534
33,14.74,9.05,29.75,20.97,11.88,81.0,78.18,73.84,13.54,104.51,95.34,79.66,12.1,12.65,93.89,1236050,1.14,15035,0.24,3150,2.16,28407,0.03,384,0.92,12062,1.62,21382,1.74,22934
34,13.89,12.74,29.77,21.64,12.96,79.35,76.51,72.7,13.49,105.18,92.0,71.25,12.7,13.36,68.58,6029248,13.7,1204826,0.33,29026,8.25,725726,0.03,3043,6.37,559722,2.73,240303,12.44,1094143
35,19.32,17.29,26.99,14.62,10.83,77.72,74.81,70.39,13.22,104.02,95.64,81.93,13.8,14.36,68.37,1407876,2.07,42550,9.38,193222,1.37,28208,0.09,1810,14.98,308503,3.74,77010,31.63,651326
36,13.75,15.55,28.24,18.34,13.79,80.45,77.68,73.21,13.51,104.62,90.85,70.73,12.35,12.92,65.75,12740974,15.86,3073800,0.55,106906,7.33,1420244,0.05,8766,7.44,1441563,3.02,585849,12.61,2444400
37,16.96,16.43,28.23,17.41,8.69,78.76,76.07,71.69,12.94,104.72,92.12,73.78,13.11,13.73,68.47,6528950,21.48,2048628,1.28,122110,2.19,208962,0.07,6604,4.34,414030,2.16,206199,5.16,492330
38,18.41,10.58,28.11,19.38,6.93,80.28,77.72,72.58,14.49,105.65,101.32,77.07,12.43,13.13,90.02,605449,1.18,7960,5.44,36591,1.03,6909,0.05,320,0.52,3509,1.76,11853,1.2,8064
39,16.2,12.57,35.85,15.33,8.82,79.17,76.33,71.99,14.06,104.49,92.71,73.19,13.0,13.59,82.69,9539437,12.2,1407681,0.22,25292,1.67,192233,0.04,4066,1.13,130030,2.06,237765,1.9,218924
40,19.12,14.63,32.57,15.21,7.4,77.95,75.22,70.74,13.51,105.01,95.82,77.34,13.54,14.22,72.16,2706845,7.4,277644,8.58,321687,1.73,65076,0.12,4369,4.12,154409,5.9,221321,5.32,199457
41,20.79,11.45,25.6,18.25,10.38,80.0,77.38,73.25,13.93,104.93,96.01,80.43,12.38,12.99,83.65,3204614,1.81,69206,1.39,53203,3.69,141263,0.35,13404,5.34,204625,3.78,144759,7.04,269748
42,12.92,12.59,37.81,16.32,10.07,80.77,78.02,73.46,15.42,104.58,92.46,72.13,12.23,12.79,81.92,10406288,10.85,1377689,0.21,26843,2.75,349088,0.03,3653,2.37,300983,1.87,237835,3.62,459421
