"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP"
"01",4864680,48.43,51.57,3894696,80.06,3765887,77.41,3231752,66.43,783832,16.11,93.9,90.81,76.77,3317453,64609,2182,203146,25576,91619,70055,17.69,14.24,30.91,15.62,9.31
"02",738516,52.21,47.79,571528,77.39,552378,74.8,475536,64.39,78428,10.62,109.25,110.53,98.6,478834,46556,8849,51186,106660,62461,11027,22.46,7.28,28.02,18.43,10.8
"04",6946685,49.71,50.29,5498826,79.16,5312902,76.48,4593897,66.13,1158320,16.67,98.86,97.35,85.51,5364141,228887,14112,2163312,309580,252883,471823,21.59,13.23,24.01,18.02,10.85
"05",2990671,49.1,50.9,2364108,79.05,2284728,76.4,1964643,65.69,487536,16.3,96.46,93.75,79.81,2302874,43988,7969,219052,20037,75852,78981,18.86,13.81,34.07,14.44,8.15
"06",39148760,49.69,50.31,31109195,79.46,30075105,76.82,25877754,66.1,5315457,13.58,98.78,96.98,79.71,23529068,5604339,153366,15221577,296475,1882227,5415410,19.24,17.07,20.56,20.77,12.48
"08",5531141,50.28,49.72,4409148,79.71,4271322,77.22,3694988,66.8,740638,13.39,101.11,100.12,83.91,4655584,172695,8296,1184794,54483,197328,214817,17.85,8.61,21.43,25.2,14.95
"09",3581504,48.78,51.22,2924591,81.66,2828879,78.99,2399697,67,587580,16.41,95.24,92.73,76.16,2734880,158817,1173,561791,9698,113430,185244,13.73,9.51,27.05,21.74,17.2
"10",949495,48.4,51.6,769793,81.07,746069,78.58,640936,67.5,167129,17.6,93.8,91.42,80.32,654905,36723,477,86315,3455,26009,18034,15.44,10.22,31.6,18.3,13.1
"11",684498,47.46,52.54,573275,83.75,562761,82.22,491292,71.77,81712,11.94,90.34,87.1,69.06,280469,26718,340,74776,1993,20143,33518,10.96,9.41,17.16,24.4,33.17
"12",20598139,48.9,51.1,16932309,82.2,16449587,79.86,14277060,69.31,4064376,19.73,95.68,93.42,82.02,15529098,559168,12887,5184720,58118,542340,580152,16.91,12.05,28.81,18.53,10.63
"13",10297484,48.67,51.33,8082220,78.49,7796189,75.71,6649889,64.58,1352289,13.13,94.83,91.88,76.73,6079976,402501,6095,968463,33484,252448,283680,16.96,13.32,27.85,18.9,11.75
"15",1422029,50.19,49.81,1147445,80.69,1115528,78.45,977308,68.73,245955,17.3,100.78,99.59,82.49,355612,536842,143274,147962,2987,341756,15292,17.96,8.16,27.69,21.45,11.02
"16",1687809,50.1,49.9,1298537,76.94,1248633,73.98,1077453,63.84,253801,15.04,100.39,99.05,89.54,1527262,23758,2761,209073,22790,46592,53110,21.7,9.43,27.71,18.24,8.69
"17",12821497,49.1,50.9,10234674,79.82,9894936,77.17,8511386,66.38,1894903,14.78,96.48,94.07,76.56,9189185,690822,4582,2174842,31864,318413,762506,17.24,11.11,26.12,20.75,13.31
"18",6637426,49.28,50.72,5243518,79,5063133,76.28,4331384,65.26,996063,15.01,97.17,94.65,78,5548277,144991,2818,450267,14925,162295,144648,16.86,11.42,33.55,16.53,9.38
"19",3132499,49.62,50.38,2484354,79.31,2402467,76.69,2057989,65.7,513312,16.39,98.51,96.58,79.5,2827889,75083,3129,183296,11549,65770,39168,17.26,8.01,31.14,19.02,9.19
"20",2908776,49.83,50.17,2272565,78.13,2193231,75.4,1882194,64.71,437777,15.05,99.32,97.55,80.34,2460619,83531,2143,340616,24050,101044,67588,19.22,9.27,26.01,20.82,12.07
"21",4440204,49.25,50.75,3542792,79.79,3428185,77.21,2938043,66.17,691509,15.57,97.04,94.56,78.67,3866676,62802,2814,158744,9888,99826,44086,17.53,14.3,33.02,13.85,9.78
"22",4663616,48.89,51.11,3677980,78.87,3555142,76.23,3061584,65.65,676707,14.51,95.65,93.19,77.71,2901106,79872,1468,234920,26272,91563,60419,17.52,15.19,33.97,15.55,8.19
"23",1332813,48.94,51.06,1109357,83.23,1078152,80.89,927686,69.6,259176,19.45,95.85,93.45,82.87,1259217,14917,318,21421,8302,29208,2970,15.77,7.69,31.82,19.65,11.27
"24",6003435,48.48,51.52,4809210,80.11,4659258,77.61,3985361,66.38,875337,14.58,94.09,91.26,75.96,3373181,374277,3059,588912,15644,199369,249815,15.29,9.96,24.83,21.33,18.3
"25",6830193,48.52,51.48,5619991,82.28,5450296,79.8,4642523,67.97,1078224,15.79,94.25,91.54,75.71,5360006,442574,2329,789127,14493,215493,284740,13.06,9.57,24.23,23.77,19.14
"26",9957488,49.2,50.8,8027949,80.62,7761390,77.95,6641572,66.7,1620944,16.28,96.85,94.5,80.01,7818588,304403,2979,497897,53235,283718,119141,18.97,9.47,29.04,17.42,11.18
"27",5527358,49.78,50.22,4379008,79.22,4235751,76.63,3640007,65.85,830112,15.02,99.14,97.27,82.08,4606044,262359,2187,292764,58982,157767,97833,17.1,7.03,24.92,23.35,12.1
"28",2988762,48.53,51.47,2350291,78.64,2268454,75.9,1937910,64.84,449478,15.04,94.28,91.14,76.34,1751193,28313,707,90493,13689,40193,28833,18.62,16.08,30.32,13.53,8.28
