"GEOID","TotPop","MaleP","FemP","Ovr16","Ovr16P","Ovr18","Ovr18P","Ovr21","Ovr21P","Ovr65","Ovr65P","SRatio","SRatio18","SRatio65","BlackE","WhiteE","AsianE","PacIsE","HisE","AmIndE","TwoPlsE","OtherE","WhiteP","BlackP","AsianP","PacIsP","HisP","AmIndP","TwoPlsP","OtherP","SomeCollege","EduNoHsP","EduHsP","BachelorsP","GradSclP","EngProf"
"01",5054253,48.54,51.46,4056609,80.26,3926252,77.68,3389617,67.06,884210,17.49,94.33,91.27,78.7,1318507,3303370,71969,2564,271640,22491,228050,107302,65.36,26.09,1.42,0.05,5.37,0.44,4.51,2.12,17.43,11.87,30.34,16.96,10.79,97.64
"02",733971,52.5,47.5,574021,78.21,555513,75.69,485945,66.21,97815,13.33,110.52,112.03,99.78,22774,445545,47099,11379,52473,101226,89804,16144,60.7,3.1,6.42,1.55,7.15,13.79,12.24,2.2,20.29,6.53,28.94,19.63,11.61,95.73
"04",7268175,49.93,50.07,5862117,80.65,5673395,78.06,4955579,68.18,1349934,18.57,99.7,98.27,86.17,336931,4593653,249816,14434,2255770,296794,1180757,595790,63.2,4.64,3.44,0.2,31.04,4.08,16.25,8.2,20.54,10.91,23.48,20.03,12.58,92.15
"05",3032651,49.33,50.67,2409758,79.46,2326772,76.72,2022491,66.69,525644,17.33,97.35,94.85,81.21,452127,2148886,47309,12040,265833,16893,263525,91871,70.86,14.91,1.56,0.4,8.77,0.56,8.69,3.03,17.82,11.44,34.39,15.88,9.23,96.75
"06",39242785,49.96,50.04,31545603,80.39,30513773,77.76,26488214,67.5,5994486,15.28,99.84,98.16,82.11,2173343,17248779,5997069,147827,15630830,445219,6410245,6820303,43.95,5.54,15.28,0.38,39.83,1.13,16.33,17.38,18.18,15.4,20.4,22.4,14.1,82.72
"08",5810774,50.64,49.36,4717446,81.18,4569892,78.65,3992646,68.71,882557,15.19,102.59,101.7,86.11,232985,4268784,187534,8647,1291078,58576,738535,315713,73.46,4.01,3.23,0.15,22.22,1.01,12.71,5.43,16.87,7.24,20.08,27.68,17.05,94.5
"09",3598348,49.05,50.95,2955944,82.15,2864350,79.6,2472926,68.72,650772,18.09,96.28,94.2,80.33,384753,2431342,170954,1806,640668,9569,343180,256744,67.57,10.69,4.75,0.05,17.8,0.27,9.54,7.14,13.65,8.67,25.55,22.98,18.97,91.42
"10",1005872,48.47,51.53,820630,81.58,795476,79.08,693327,68.93,201255,20.01,94.08,91.77,82.32,220645,621799,41164,403,107829,3744,76884,41233,61.82,21.94,4.09,0.04,10.72,0.37,7.64,4.1,15.64,8.61,29.02,20.32,14.96,94.44
"11",672079,47.61,52.39,556577,82.81,546404,81.3,486548,72.39,85501,12.72,90.89,87.39,71.19,290772,262549,27465,378,77760,2044,56533,32338,39.07,43.26,4.09,0.06,11.57,0.3,8.41,4.81,10.19,7.15,14.52,26.07,37.49,94.89
"12",21928881,49.13,50.87,18129301,82.67,17623515,80.37,15464965,70.52,4630733,21.12,96.58,94.43,83.21,3363769,13136701,628137,13136,5865737,66779,3497792,1222567,59.91,15.34,2.86,0.06,26.75,0.3,15.95,5.58,15.99,10.37,27.42,20.73,12.48,87.9
