GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"05",,,,,,,,"AUTAUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",32259,15848,16411,24814,7225,58,0,0,41,3,13,7,8,6,4,0,0,80,31896,197,29,27,110,539,1003,983,525,558,1869,2510,674,708,752,700,689,646,624,555,1484,2231,2232,4293,3373,1316,511,660,1848,795,181,296,527,522,274,306,968,1327,350,379,401,347,335,328,283,271,719,1082,1050,2061,1690,636,247,306,818,273,52,243,476,461,251,252,901,1183,324,329,351,353,354,318,341,284,765,1149,1182,2232,1683,680,264,354,1030,522,129
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"08",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",78556,38359,40197,65840,12048,432,0,0,13,4,9,20,13,30,7,0,0,140,77761,354,31,41,369,1247,2501,2366,1245,1279,4120,5340,1413,1523,1596,1568,1429,1320,1289,1122,3576,5726,5443,9024,7799,3979,1604,2198,6447,2726,676,661,1249,1202,666,662,2123,2691,756,791,818,805,753,638,619,559,1766,2778,2702,4409,3792,1813,764,1027,2986,1118,211,586,1252,1164,579,617,1997,2649,657,732,778,763,676,682,670,563,1810,2948,2741,4615,4007,2166,840,1171,3461,1608,465
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"09",,,,,,,,"BARBOUR COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",24756,11668,13088,13693,11003,30,0,0,9,7,2,2,3,0,2,0,0,5,24488,192,12,5,59,416,777,765,371,405,1405,1812,493,524,534,570,430,384,374,348,1056,1688,1734,2391,2368,1290,547,742,2110,970,252,228,386,413,205,195,754,953,259,278,265,270,213,186,169,158,508,796,827,1122,1087,535,253,322,875,338,73,188,391,352,166,210,651,859,234,246,269,300,217,198,205,190,548,892,907,1269,1281,755,294,420,1235,632,179
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"05",,,,,,,,"BIBB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",15723,7628,8095,12029,3675,2,0,0,0,0,0,1,7,0,3,0,0,6,15547,110,0,18,48,256,477,511,299,247,849,1176,309,315,294,336,295,279,239,226,781,1171,1023,1736,1452,759,272,358,1282,632,149,129,233,247,158,140,430,595,165,164,149,173,146,138,113,122,382,615,502,854,700,344,121,160,553,251,44,127,244,264,141,107,419,581,144,151,145,163,149,141,126,104,399,556,521,882,752,415,151,198,729,381,105
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"02",,,,,,,,"BLOUNT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",36459,18043,18416,35761,598,56,0,0,1,0,0,11,5,0,1,0,0,26,36255,99,5,1,99,516,1014,1024,522,556,1919,2519,651,703,696,709,624,638,615,506,1607,2677,2703,4642,3891,1757,724,929,2826,1203,288,269,525,507,283,266,971,1312,357,391,377,353,327,314,326,265,817,1329,1328,2312,1914,821,346,420,1327,497,89,247,489,517,239,290,948,1207,294,312,319,356,297,324,289,241,790,1348,1375,2330,1977,936,378,509,1499,706,199
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"06",,,,,,,,"BULLOCK COUNTY","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",10596,4880,5716,3427,7160,1,0,0,1,1,0,0,0,0,2,0,0,4,10436,130,1,2,27,169,355,370,165,181,643,733,220,205,236,250,206,180,162,161,473,736,639,926,848,512,222,323,1078,442,161,77,179,175,79,82,333,366,106,113,110,117,108,89,82,61,229,346,308,437,349,219,102,143,453,168,49,92,176,195,86,99,310,367,114,92,126,133,98,91,80,100,244,390,331,489,499,293,120,180,625,274,112
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",21680,10097,11583,13260,8397,5,0,0,3,0,4,3,2,0,0,1,0,5,21391,213,1,6,69,412,708,712,367,369,1128,1482,368,402,451,437,343,305,350,306,931,1488,1295,2031,2067,1117,490,689,2060,1053,319,207,331,360,186,195,576,723,191,193,222,210,177,139,161,134,441,700,663,965,969,490,231,305,825,396,107,205,377,352,181,174,552,759,177,209,229,227,166,166,189,172,490,788,632,1066,1098,627,259,384,1235,657,212
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"03",,,,,,,,"CALHOUN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",119761,58681,61080,97313,21074,215,5,1,57,37,57,192,28,30,44,37,26,645,118432,572,325,29,403,1701,3533,3485,1737,1694,5670,7729,1962,2139,2181,2255,3439,3439,3321,2817,7395,9934,8797,12713,11723,5586,2084,2818,7562,3235,812,842,1773,1786,870,821,2898,3948,1046,1113,1099,1207,2002,1898,1759,1464,3798,4880,4392,6249,5497,2527,926,1292,3190,1149,255,859,1760,1699,867,873,2772,3781,916,1026,1082,1048,1437,1541,1562,1353,3597,5054,4405,6464,6226,3059,1158,1526,4372,2086,557
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"04",,,,,,,,"CHAMBERS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39191,18469,20722,25222,13894,14,2,0,2,0,9,0,9,0,3,0,0,36,38834,255,17,22,63,559,1127,1180,644,662,2015,2697,748,743,736,737,692,620,586,557,1780,2796,2651,3875,3851,2065,893,1265,3698,1596,418,285,579,614,319,320,985,1419,412,363,371,371,358,325,292,253,837,1369,1263,1913,1765,890,393,545,1521,587,120,274,548,566,325,342,1030,1278,336,380,365,366,334,295,294,304,943,1427,1388,1962,2086,1175,500,720,2177,1009,298
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",18760,9247,9513,17185,1550,13,2,0,3,0,0,1,4,0,0,0,0,2,18660,76,4,0,20,287,528,519,271,290,950,1239,294,336,327,320,312,315,333,292,920,1344,1349,2244,2010,991,388,563,1519,646,173,151,256,276,131,156,487,652,169,181,176,159,158,169,178,150,472,685,667,1094,954,478,183,253,697,254,61,136,272,243,140,134,463,587,125,155,151,161,154,146,155,142,448,659,682,1150,1056,513,205,310,822,392,112
