GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G010","1980","A","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,"ALABAMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3893888,1871534,2022354,2872621,996335,7502,52,29,1401,1505,964,1795,1994,1333,520,152,70,7615,3860589,18869,2299,1546,10585,62806,117642,115964,59135,59457,195558,259361,68735,73816,74787,74987,75939,77877,76093,73269,211825,315460,283292,429714,388995,190062,72355,96744,278382,127614,34019,31888,59603,58859,30145,30280,100190,132616,35269,37549,38292,38193,38311,38447,37598,35473,104479,154658,138949,207296,183780,87747,33109,43430,118192,47202,9979,30918,58039,57105,28990,29177,95368,126745,33466,36267,36495,36794,37628,39430,38495,37796,107346,160802,144343,222418,205215,102315,39246,53314,160190,80412,24040
"G020","1980","A","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,"ALASKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",401851,213041,188810,309728,13643,21869,34144,8090,1595,522,3092,1536,241,383,402,149,134,6323,392344,4615,965,166,3761,8753,15708,14488,6956,6670,21417,27320,6962,7380,7503,7588,6962,7721,8404,8728,27958,48645,42163,54022,34243,12617,3672,4424,8312,2616,619,4452,8148,7440,3610,3356,10977,14027,3693,3824,3982,4008,3729,4276,4677,4823,14686,25564,22676,29561,18693,6777,1934,2369,4278,1234,247,4301,7560,7048,3346,3314,10440,13293,3269,3556,3521,3580,3233,3445,3727,3905,13272,23081,19487,24461,15550,5840,1738,2055,4034,1382,372
"G040","1980","A","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"ARIZONA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2718215,1337942,1380273,2240761,74977,152498,138,109,4074,6820,3348,2449,2102,1932,808,353,146,227700,2277514,396410,4048,1071,39172,47545,84415,81923,40975,39779,130313,174898,44675,47962,49303,49699,50798,54255,54602,53076,156105,236051,207764,297988,251820,132507,50179,74221,202120,85364,19878,24340,42774,41961,20990,20133,66527,88833,22750,24340,25128,25305,25923,27587,27747,26900,78839,119140,104855,147169,121833,61155,23063,34619,92876,36125,7030,23205,41641,39962,19985,19646,63786,86065,21925,23622,24175,24394,24875,26668,26855,26176,77266,116911,102909,150819,129987,71352,27116,39602,109244,49239,12848
"G050","1980","A","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,"ARKANSAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2286435,1104688,1181747,1890322,373768,9364,47,17,755,1275,918,583,832,2051,258,62,6,6177,2268531,10886,828,617,5573,37546,69313,68733,34935,34330,111100,146980,38511,42655,43677,43594,41939,42457,40940,39250,113579,174313,161024,247415,217759,113577,45590,64741,192447,93676,26354,19298,35419,35421,17880,17673,56734,75188,19744,21793,22212,22262,21244,21130,20088,19408,55517,85136,78989,120449,103357,52325,21087,29593,86203,37406,9132,18248,33894,33312,17055,16657,54366,71792,18767,20862,21465,21332,20695,21327,20852,19842,58062,89177,82035,126966,114402,61252,24503,35148,106244,56270,17222
"G060","1980","A","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,"CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23667902,11666485,12001417,18030893,1819281,198155,1734,1480,261822,322309,357492,103845,57901,89601,23086,17673,20089,2362541,19123571,3637466,93038,61004,752823,377712,675881,654807,320673,309167,1020508,1428394,367625,394656,413416,426119,432864,463410,468066,464384,1423515,2232964,2010051,2814938,2359934,1202140,422068,570360,1470978,725255,218017,193310,346015,334314,163663,158123,521964,727943,187297,200403,210884,218898,222428,239071,243276,240503,729289,1132811,1008606,1405997,1157215,573119,200105,267502,648108,271347,64294,184402,329866,320493,157010,151044,498544,700451,180328,194253,202532,207221,210436,224339,224790,223881,694226,1100153,1001445,1408941,1202719,629021,221963,302858,822870,453908,153723
"G080","1980","A","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,"COLORADO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2889964,1434293,1455671,2571498,101703,17734,236,98,9870,3897,2908,5316,2298,4026,861,567,173,168779,2550247,207204,4246,1489,126778,48034,85975,82486,40892,39767,132476,181051,45096,49353,51254,52429,55690,59862,60376,59490,182740,302601,266944,346953,270860,125711,43690,58909,148666,74296,24363,24577,43963,42414,20948,20308,67705,92146,22999,25283,26171,26756,28581,30818,30958,30726,92635,153566,136128,173905,133931,60307,21058,27836,65555,27695,7324,23457,42012,40072,19944,19459,64771,88905,22097,24070,25083,25673,27109,29044,29418,28764,90105,149035,130816,173048,136929,65404,22632,31073,83111,46601,17039
"G090","1980","A","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,"CONNECTICUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3107576,1498005,1609571,2799420,217433,4431,68,34,1864,4691,3132,2116,4995,1825,177,101,69,67220,2983077,4475,88361,5610,26053,39161,73323,72704,37239,36846,131673,201161,55122,58080,59199,58411,55852,56841,55230,55542,161610,249260,241873,369302,338901,178712,65989,90681,219717,109418,35729,20172,37303,37004,19222,18975,67311,102467,28115,29497,30154,29729,28428,28467,27411,27470,80481,123182,117419,179457,163863,85285,31062,42016,94818,38384,10313,18989,36020,35700,18017,17871,64362,98694,27007,28583,29045,28682,27424,28374,27819,28072,81129,126078,124454,189845,175038,93427,34927,48665,124899,71034,25416
"G100","1980","A","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,"DELAWARE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",594338,286599,307739,487817,95845,1307,13,8,421,998,813,490,1071,205,65,43,6,5236,584677,1537,4801,596,2727,8951,16549,15651,7829,7544,26703,38345,10525,11162,11661,11675,12344,12906,12452,12274,33397,49622,45414,68268,63210,31847,11556,15274,36630,17280,5269,4632,8392,7960,3955,3852,13634,19456,5439,5652,5920,5854,6015,6131,5977,5897,16465,24242,22144,33228,30646,15051,5525,7216,15789,6098,1429,4319,8157,7691,3874,3692,13069,18889,5086,5510,5741,5821,6329,6775,6475,6377,16932,25380,23270,35040,32564,16796,6031,8058,20841,11182,3840
"G110","1980","A","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",638333,295417,342916,171768,448906,996,19,16,752,2476,1297,338,950,505,237,66,15,9992,620654,3132,1430,975,12142,7472,13741,13152,6588,6572,23458,33064,9069,9593,10274,10508,12648,14601,13938,13997,41628,66343,56209,74265,63341,34093,12537,16955,46230,21672,6385,3779,6924,6582,3338,3402,11945,16534,4605,4732,5136,5233,6102,6761,6643,6489,19146,31205,26805,35695,29270,15209,5597,7054,18361,7169,1701,3693,6817,6570,3250,3170,11513,16530,4464,4861,5138,5275,6546,7840,7295,7508,22482,35138,29404,38570,34071,18884,6940,9901,27869,14503,4684
"G120","1980","A","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,"FLORIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9746324,4675626,5070698,8184513,1342688,18922,199,136,5579,13422,14218,4671,9144,7600,1378,476,252,143126,8888166,79392,94775,470250,213741,123569,224987,221668,114045,114022,393467,540576,144440,157415,162169,163278,160614,167864,165674,161056,484697,739848,671563,1038778,989160,555209,223364,341288,1059153,511078,117342,63355,114737,113194,58468,58334,200452,276000,73914,80377,82593,83506,81092,83890,82328,80297,241620,366758,329786,503959,470166,250526,99429,152485,470453,214918,42989,60214,110250,108474,55577,55688,193015,264576,70526,77038,79576,79772,79522,83974,83346,80759,243077,373090,341777,534819,518994,304683,123935,188803,588700,296160,74353
