GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G010","1980","A","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,"ALABAMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,553877,410963,704207,278205,270063
"G020","1980","A","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,"ALASKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,19013,17928,82180,47722,44554
"G040","1980","A","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,"ARIZONA",,,,,,,,,,,,,,,,,,,,,,,,,,,,233709,197265,535096,321361,271460
"G050","1980","A","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,"ARKANSAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,358670,236967,443429,153375,144677
"G060","1980","A","4","9","California","06",,,,,,,,,,,,,,,,,,,"CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995944,1728792,4415732,3150653,2752865
"G080","1980","A","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,"COLORADO",,,,,,,,,,,,,,,,,,,,,,,,,,,,175724,179681,575365,351108,382013
"G090","1980","A","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,"CONNECTICUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,309994,253766,653884,289956,392564
"G100","1980","A","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,"DELAWARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,51058,57005,124798,51590,60206
"G110","1980","A","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,64417,66860,101817,56081,109478
"G120","1980","A","3","5","Florida","12",,,,,,,,,,,,,,,,,,,"FLORIDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,1101429,981519,2189572,1047471,930134
"G130","1980","A","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,"GEORGIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,730846,613975,878923,411517,450267
"G150","1980","A","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,"HAWAII",,,,,,,,,,,,,,,,,,,,,,,,,,,,88545,54793,192042,100813,111415
"G160","1980","A","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,"IDAHO",,,,,,,,,,,,,,,,,,,,,,,,,,,,64830,70351,187912,109859,81413
"G170","1980","A","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,"ILLINOIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,1235826,1001414,2343719,1015515,1082285
"G180","1980","A","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,"INDIANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,519044,535242,1309020,379876,392590
"G190","1980","A","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,"IOWA",,,,,,,,,,,,,,,,,,,,,,,,,,,,283918,200038,729369,249722,237055
"G200","1980","A","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,"KANSAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,203355,166880,543823,237617,236427
"G210","1980","A","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,"KENTUCKY",,,,,,,,,,,,,,,,,,,,,,,,,,,,653784,324351,653876,223542,231139
"G220","1980","A","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,"LOUISIANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,568590,397067,705808,292793,317223
"G230","1980","A","1","1","Maine","23",,,,,,,,,,,,,,,,,,,"MAINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,109699,97667,259964,99226,95284
