GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G010","1990","AL",,,,,,,,,,,,,,,"6",,,,,,"3","Alabama","01",,,,,"0131443117","0004332265","Alabama","A","+32844987","-086718688","01",348848,494790,749591,427062,126450,258231,140997
"G020","1990","AK",,,,,,,,,,,,,,,"9",,,,,,"4","Alaska","02",,,,,"1477267515","0222870598","Alaska","A","+65285776","-151646937","01",16621,26623,92925,89319,23444,48617,25880
"G040","1990","AZ",,,,,,,,,,,,,,,"8",,,,,,"4","Arizona","04",,,,,"0294333362","0000942772","Arizona","A","+34595236","-112554041","01",207509,283571,601440,584328,157456,306554,160319
"G050","1990","AR",,,,,,,,,,,,,,,"7",,,,,,"3","Arkansas","05",,,,,"0134875069","0002867313","Arkansas","A","+34770100","-092310815","01",227633,275848,489570,249100,54695,132712,66592
"G060","1990","CA",,,,,,,,,,,,,,,"9",,,,,,"4","California","06",,,,,"0403970679","0020031222","California","A","+37219685","-119765135","01",2085905,2364623,4167897,4225911,1484489,2858107,1508567
"G080","1990","CO",,,,,,,,,,,,,,,"8",,,,,,"4","Colorado","08",,,,,"0268657691","0000960363","Colorado","A","+39116743","-105713562","01",118252,209804,558312,506037,146411,379150,189106
"G090","1990","CT",,,,,,,,,,,,,,,"1",,,,,,"1","Connecticut","09",,,,,"0012549571","0001808456","Connecticut","A","+41807100","-072734983","01",185213,271995,648366,350418,145278,356289,241404
"G100","1990","DE",,,,,,,,,,,,,,,"5",,,,,,"3","Delaware","10",,,,,"0005062455","0001385020","Delaware","A","+39097086","-075503073","01",31009,65463,140030,72620,27655,58615,33107
"G110","1990","DC",,,,,,,,,,,,,,,"5",,,,,,"3","District Of Columbia","11",,,,,"0000159055","0000017991","District of Columbia","A","+38905050","-077016167","01",39107,70759,86756,63677,12547,65892,70393
"G120","1990","FL",,,,,,,,,,,,,,,"5",,,,,,"3","Florida","12",,,,,"0139852965","0030461000","Florida","A","+28553015","-082468232","01",842811,1428263,2679285,1723385,589019,1062649,561756
"G130","1990","GA",,,,,,,,,,,,,,,"5",,,,,,"3","Georgia","13",,,,,"0150009517","0003942570","Georgia","A","+32665980","-083426091","01",483755,686060,1192935,684109,199403,519613,257545
"G150","1990","HI",,,,,,,,,,,,,,,"9",,,,,,"4","Hawaii","15",,,,,"0016636478","0011676353","Hawaii","A","+21225926","-156947946","01",71806,69700,203893,142881,59116,111837,50587
"G160","1990","ID",,,,,,,,,,,,,,,"8",,,,,,"4","Idaho","16",,,,,"0214324967","0002131143","Idaho","A","+44231748","-114293962","01",44219,77568,182892,145291,45187,74443,31692
"G170","1990","IL",,,,,,,,,,,,,,,"3",,,,,,"2","Illinois","17",,,,,"0143986609","0006020697","Illinois","A","+40126675","-089362724","01",750932,984857,2187342,1414555,421248,989808,545188
"G180","1990","IN",,,,,,,,,,,,,,,"3",,,,,,"2","Indiana","18",,,,,"0092903619","0001424225","Indiana","A","+39782000","-086137996","01",297423,552591,1333093,578705,184717,321278,221663
"G190","1990","IA",,,,,,,,,,,,,,,"4",,,,,,"2","Iowa","19",,,,,"0144715985","0001037659","Iowa","A","+42036923","-093466437","01",163335,190465,684368,302600,136638,207269,92123
"G200","1990","KS",,,,,,,,,,,,,,,"4",,,,,,"2","Kansas","20",,,,,"0211921621","0001188863","Kansas","A","+38347421","-098200298","01",120951,172321,514177,342964,85146,221016,109361
"G210","1990","KY",,,,,,,,,,,,,,,"6",,,,,,"3","Kentucky","21",,,,,"0102906735","0001758509","Kentucky","A","+37554214","-085269585","01",442579,383278,741012,354227,94610,189539,128588
"G220","1990","LA",,,,,,,,,,,,,,,"7",,,,,,"3","Louisiana","22",,,,,"0112836222","0021438322","Louisiana","A","+31070949","-092002765","01",372913,430959,803328,437622,83049,267055,142068
"G230","1990","ME",,,,,,,,,,,,,,,"1",,,,,,"1","Maine","23",,,,,"0079939104","0011713985","Maine","A","+45842637","-069295028","01",70153,98307,295074,127799,54928,100788,48564
"G240","1990","MD",,,,,,,,,,,,,,,"5",,,,,,"3","Maryland","24",,,,,"0025316318","0006817578","Maryland","A","+38992333","-076569358","01",246505,427427,878432,580833,163304,486695,339469
"G250","1990","MA",,,,,,,,,,,,,,,"1",,,,,,"1","Massachusetts","25",,,,,"0020300302","0007036819","Massachusetts","A","+42173933","-071185494","01",317943,474714,1178509,624944,287114,657161,421838
"G260","1990","MI",,,,,,,,,,,,,,,"3",,,,,,"2","Michigan","26",,,,,"0147135821","0103329331","Michigan","A","+44733305","-085552462","01",452893,903866,1887449,1191518,392869,638267,375780
"G270","1990","MN",,,,,,,,,,,,,,,"4",,,,,,"2","Minnesota","27",,,,,"0206206745","0018975050","Minnesota","A","+46486988","-094071825","01",239322,249443,913265,526792,237156,431381,173203
"G280","1990","MS",,,,,,,,,,,,,,,"6",,,,,,"3","Mississippi","28",,,,,"0121506404","0003936705","Mississippi","A","+32752886","-089523199","01",240267,309418,423624,259477,79264,149109,77838
"G290","1990","MO",,,,,,,,,,,,,,,"4",,,,,,"2","Missouri","29",,,,,"0178446011","0002100155","Missouri","A","+38217095","-092432032","01",380613,477755,1090940,607163,149347,383678,202083
