Year,Variable
2018,TotTracts
2018,AreaSqMi
2022,ParkArea
2018,StateArea
2018,TotPop
2018,Age18_64
2018,Age0_4
2018,Age5_14
2018,Age15_19
2018,Age20_24
2018,Age15_44
2018,Age55_59
2018,Age60_64
2018,AgeOv65
2018,Age15_24P
2018,Und45P
2018,Ovr65P
2018,ChildrenP
2018,Age45_49
2018,Age50_54
2018,AgeOv18
2018,TotPopHh
2018,NonRelFhhP
2018,NonRelNfhhP
2018,NoHsP
2018,DisbP
2018,WhiteP
2018,BlackP
2018,HispP
2018,AmIndP
2018,AsianP
2018,PacIsP
2018,OtherP
2018,DsmBlk
2018,IntrBlkWht
2018,IsoBlk
2018,DsmHsp
2018,IntrHspWht
2018,IsoHsp
2018,DsmAs
2018,IntrAsWht
2018,IsoAs
2018,TotVetPop
2018,VetP
2020,FqhcCtTmDr
2020,FqhcAvTmDr
2020,FqhcTmDrP
2020,CntBupT
2020,CntMetT
2020,CntNalT
2020,AvBupTime
2020,AvMetTime
2020,AvNalTime
2020,PctBupT
2020,PctMetT
2020,PctNalT
2020,MhCtTmDr
2020,MhAvTmDr
2020,MhTmDrP
2021,OtpCtTmDr
2021,OtpAvTmDr
2021,OtpTmDrP
2019,RxCtTmDr
2019,RxAvTmDr
2019,RxTmDrP
2020,SutpCtTmDr
2020,SutpAvTmDr
2020,SutpTmDrP
2020,HospCtTmDr
2020,HospAvTmDr
2020,HospTmDrP
2018,AlcTot
2018,AlcDens
2018,AlcPerCap
2010,TotPcp
2010,TotSp
2018,TotUnits
2018,VacantP
2018,MobileP
2018,LngTermP
2018,RentalP
2018,UnitDens
2019,NoIntP
2018,Ndvi
2022,Cover
2018,PovP
2018,UnempP
2018,MedInc
2018,PciE
2018,ForDqP
2018,ForDqTot
2018,GiniCoeff
2018,TotWrkE
2018,EduP
2018,HghRskP
2018,HltCrP
2018,RetailP
2018,EssnWrkE
2018,EssnWrkP
2017,AnyGslDt
2017,GslArrDt
2017,AnyGslFr
2017,GslArrFr
2019,MedcdExp19
2018,MedcdExp18
2018,TradFedExp
2018,TradSttExp
2018,ExpnFedExp
2018,ExpnSttExp
2017,MdMarijLaw
2017,AnyNalDt
2017,NalPrStDt
2017,NalPresDt
2017,AnyNalFr
2017,NalPrStFr
2017,NalPresFr
2017,AnyPdmpFr
2017,AnyPdmphFr
2017,OpPdmpFr
2017,MsAcPdmpFr
2017,ElcPdmpFr
2017,AnyPdmpDt
2017,AnyPdmphDt
2017,OpPdmpDt
2017,MsAcPdmpDt
2017,ElcPdmpDt
2018,CrrctExpS
2018,PlcFyrExpS
2018,HlthExpS
2018,WlfrExpS
2018,CrrctExpL
2018,PlcFyrExpL
2018,HlthExpL
2018,WlfrExpL
2018,CrrctExpT
2018,PlcFyrExpT
2018,HlthExpT
2018,WlfrExpT
2019,ExpSsp
2019,NoPrphLw
2019,NtPrFrDsSy
2019,PrExcInj
2019,PrNtRefInj
2019,NoLwRmUnc
2017,TotHcv
2017,MlHcv
2017,FmHcv
2017,Un50Hcv
2017,A50_74Hcv
2017,Ov75Hcv
2017,BlkHcv
2017,NonBlkHcv
2013,HcvD13
2013,MlHcvD13
2013,FlHcvD13
2013,AmInHcvD13
2013,AsPiHcvD13
2013,BlkHcvD13
2013,HspHcvD13
2013,U50HcvD13
2013,A50_74HcvD13
2013,O75HcvD13
2014,HcvD14
2014,MlHcvD14
2014,FlHcvD14
2014,AmInHcvD14
2014,AsPiHcvD14
2014,BlkHcvD14
2014,HspHcvD14
2014,U50HcvD14
2014,A50_74HcvD14
2014,O75HcvD14
2015,HcvD15
2015,MlHcvD15
2015,FlHcvD15
2015,AmInHcvD15
2015,AsPiHcvD15
2015,BlkHcvD15
2015,HspHcvD15
2015,U50HcvD15
2015,D50_74Hcv15
2015,O75HcvD15
2016,HcvD16
2016,MlHcvD16
2016,FlHcvD16
2016,AmInHcvD16
2016,AsPiHcvD16
2016,BlkHcvD16
2016,HspHcvD16
2016,U50HcvD16
2016,A50_74HcvD16
2016,O75HcvD16
2017,HcvD17
2017,MlHcvD17
2017,FlHcvD17
2017,AmInHcvD17
2017,AsPiHcvD17
2017,BlkHcvD17
2017,HspHcvD17
2017,U50HcvD17
2017,A50_74HcvD17
2017,O75HcvD17
2017,AvHcvD
2017,AvMlHcvD
2017,AvFlHcvD
2017,AvAmInHcvD
2017,AvAsPiHcvD
2017,AvBlkHcvD
2017,AvHspHcvD
2017,AvU50HcvD
2017,Av50_74HcvD
2017,AvO75HcvD
2020,OpRxRt20
2020,PrMsuse20P
2014,OdMortRt14
2015,OdMortRt15
2016,OdMortRt16
2017,OdMortRt17
2018,OdMortRt18
2019,OdMortRt19
2020,OdMortRt20
2020,OdMortRtAv
